"mrmr"	"da"	"newDa"	"newDaScores"	"rf"	"MI"	"limma"	"daLFC"	"daRedMrmr"	"random.1"	"random.2"	"random.3"	"random.4"	"random.5"	"random.6"	"random.7"	"random.8"	"random.9"	"random.10"	"top.random.1"	"top.random.2"	"top.random.3"	"top.random.4"	"top.random.5"	"top.random.6"	"top.random.7"	"top.random.8"	"relief"
"DDX3X.DDX3X"	"POU2AF1"	"DDX3X"	"DDX3X"	0.984375	"FCMR"	"MKNK1"	"CNOT7"	"CD22"	"DDX3X"	"SPARC"	"DIAPH1"	"MKNK1"	"PRKCB"	"ABI1"	"SMCHD1"	"HIPK1"	"FGD2"	"LYZ"	"SOX4"	"APOE"	"MTHFR"	"MTHFR"	"AKT1"	"ESR1"	"MTHFR"	"TP53"	"EGFR"	"ARMCX1"
"FLT3"	"ZNF160"	"FLT3"	"FLT3"	0.974761787205544	"ACTN1"	"POU2AF1"	"PTPRC"	"BLK"	"CD22"	"CMPK1"	"RAC1"	"TCL1A"	"PYGL"	"MME"	"MAF"	"SUPT6H"	"ZNF493"	"ALDH7A1"	"SRGN"	"EGFR"	"APOE"	"AKT1"	"VEGFA"	"VEGFA"	"APOE"	"MTHFR"	"TP53"	"MME"
"IKZF1"	"COL5A1"	"IKZF1"	"IKZF1"	0.816444830650278	"PRKCB"	"RHEB"	"HIPK1"	"POU2AF1"	"SF3B2"	"PRMT1"	"FLT3"	"MME"	"UBR2"	"ZNF91"	"ADGRG3"	"ZNF24"	"ANXA1"	"TARDBP"	"TPSAB1"	"MTHFR"	"EGFR"	"ESR1"	"APOE"	"APOE"	"EGFR"	"VEGFA"	"VEGFA"	"POU2AF1"
"KMT2A"	"PYGL"	"KMT2A"	"KMT2A"	0.779233651638503	"POU2AF1"	"ANXA1"	"DIP2A"	"TCL1A"	"BLK"	"PPBP"	"ZNF493"	"CHD9"	"PHLDA1"	"CALCOCO2"	"ACTN1"	"BLK"	"FAM53B"	"P4HB"	"GPR18"	"IL6"	"AKT1"	"APOE"	"IL6"	"MTHFR"	"VEGFA"	"AKT1"	"AKT1"	"MGAT4A"
"CD22"	"BCAR3"	"CSNK1A1"	"CD22"	0.72469795803779	"PYGL"	"P4HB"	"SLC4A1"	"MYB"	"POU2AF1"	"PLCG2"	"RUFY2"	"BEX1"	"TXNRD1"	"THADA"	"CDC25A"	"CD74"	"TARDBP"	"HOPX"	"PRCP"	"AKT1"	"IL6"	"IL6"	"EGFR"	"AKT1"	"AKT1"	"IL6"	"APOE"	"CD22"
"CSNK1A1"	"MKNK1"	"SF3B2"	"CSNK1A1"	0.709041666666667	"SOCS2"	"BLK"	"SEC62"	"IKZF1"	"PLCG2"	"LEPROT"	"ATP5PO"	"PADI2"	"DAB2"	"TXNDC9"	"ARHGDIB"	"RPS24"	"DENND1B"	"PGK1"	"PGK1"	"VEGFA"	"VEGFA"	"TP53"	"TP53"	"IL6"	"TP53"	"APOE"	"MTHFR"	"JUP"
"KAT6A"	"CD22"	"CCND3"	"KAT6A"	0.702130541000599	"ADAM28"	"BACH2"	"DENND1B"	"FUS"	"KAT6A"	"ADAM28"	"KLHL20"	"ADAM28"	"CEBPD"	"WIPI2"	"FBXO9"	"STX8"	"TNPO1"	"TUBA1B"	"LYZ"	"TP53"	"ESR1"	"EGFR"	"MTHFR"	"TP53"	"IL6"	"ESR1"	"IL6"	"SOX4"
"PTPRC"	"FCMR"	"KAT6A"	"PTPRC"	0.69590473077883	"BEX1"	"FGD2"	"ADGRG3"	"PSIP1"	"KMT2A"	"HOPX"	"CYB5R3"	"ETS2"	"VCAN"	"NDUFS4"	"FUS"	"COPA"	"PYGL"	"TIMP1"	"RNASET2"	"ESR1"	"TP53"	"VEGFA"	"ESR1"	"EGFR"	"ESR1"	"EGFR"	"ESR1"	"MS4A3"
"EPAS1"	"ARMCX1"	"CD22"	"EPAS1"	0.633628076654808	"AKR1C3"	"PABPC1"	"P2RY10"	"SF3B2"	"FUS"	"THADA"	"ATF3"	"CST3"	"ABI1"	"ATP5PO"	"TIMP1"	"BEX3"	"VIM"	"CD36"	"ROCK1"	NA	NA	NA	NA	NA	NA	NA	NA	"SMAD7"
"SF3B2"	"PABPC1"	"PTPRC"	"SF3B2"	0.641444444444444	"ANXA1"	"RPS9"	"FGD2"	"CD19"	"MYB"	"PABPC1"	"FCMR"	"ALDH5A1"	"LRRC59"	"CCN2"	"SRGN"	"ATP8B4"	"ABI1"	"BEX3"	"ASAH1"	NA	NA	NA	NA	NA	NA	NA	NA	"MKNK1"
