"mrmr"	"da"	"newDa"	"newDaScores"	"rf"	"MI"	"limma"	"daLFC"	"daRedMrmr"	"random.1"	"random.2"	"random.3"	"random.4"	"random.5"	"random.6"	"random.7"	"random.8"	"random.9"	"random.10"	"top.random.1"	"top.random.2"	"top.random.3"	"top.random.4"	"top.random.5"	"top.random.6"	"top.random.7"	"top.random.8"	"relief"
"BCL11B.BCL11B"	"MKNK1"	"BCL11B"	"BCL11B"	0.98917173185941	"STOM"	"PABPC1"	"PTPRC"	"CD22"	"DDX3X"	"CCR1"	"GIMAP4"	"NRIP1"	"PTPRC"	"RRAS2"	"EAF2"	"ADGRG3"	"BCLAF1"	"MACROH2A1"	"NFE2"	"APOE"	"MTHFR"	"ESR1"	"ESR1"	"TP53"	"TP53"	"VEGFA"	"IL6"	"PRMT1"
"FLT3"	"CD22"	"DDX3X"	"FLT3"	0.971799803874256	"ANXA1"	"BLK"	"HIPK1"	"BLK"	"CD22"	"SEC62"	"AKR1C3"	"BIRC3"	"DNAJA4"	"GIMAP4"	"NUMA1"	"TSC22D1"	"PLCG2"	"FCGR2A"	"VPS35"	"AKT1"	"EGFR"	"MTHFR"	"EGFR"	"MTHFR"	"IL6"	"IL6"	"AKT1"	"MKNK1"
"CD22"	"PYGL"	"FLT3"	"CD22"	0.730538673136668	"NKG7"	"POU2AF1"	"SLC4A1"	"POU2AF1"	"BLK"	"RNASE2"	"RAC1"	"MMP8"	"ADGRG3"	"LRRC59"	"LRRC59"	"PRMT1"	"DNAJA4"	"LAPTM4B"	"FAM53B"	"IL6"	"AKT1"	"APOE"	"VEGFA"	"EGFR"	"MTHFR"	"TP53"	"APOE"	"TUBA1B"
"CBFA2T3"	"PABPC1"	"IL7R"	"CBFA2T3"	0.757495486111111	"PYGL"	"FGD2"	"SEC62"	"TCL1A"	"POU2AF1"	"BIRC3"	"ETS2"	"NBR1"	"FCER1G"	"C5AR1"	"PLCG2"	"CD36"	"ARHGAP25"	"SELENOP"	"PSMD6"	"TP53"	"VEGFA"	"VEGFA"	"MTHFR"	"IL6"	"VEGFA"	"MTHFR"	"ESR1"	"LRRC59"
"IL7R"	"POU2AF1"	"CBFA2T3"	"IL7R"	0.75243513465617	"CST3"	"HNRNPC"	"ADGRG3"	"BIRC3"	"CBFA2T3"	"VPS13D"	"SEPTIN7"	"SEPTIN7"	"SF1"	"PAWR"	"CMPK1"	"HBEGF"	"MCCC2"	"DNAJA4"	"RAP1A"	"VEGFA"	"ESR1"	"TP53"	"AKT1"	"APOE"	"ESR1"	"APOE"	"VEGFA"	"C11orf58"
"KAT6A"	"NKG7"	"CCND3"	"KAT6A"	0.719065599940422	"C5AR1"	"RPS9"	"P2RY10"	"CBFA2T3"	"PLCG2"	"LGALS3"	"RESF1"	"F13A1"	"PSIP1"	"P2RY10"	"MGAM"	"ABHD5"	"BACH2"	"RALGPS2"	"CCR1"	"ESR1"	"IL6"	"IL6"	"APOE"	"VEGFA"	"APOE"	"ESR1"	"TP53"	"MACROH2A1"
"PTPRC"	"ARHGDIB"	"KAT6A"	"PTPRC"	0.699543985749206	"SOCS2"	"BACH2"	"FGD2"	"PSIP1"	"BCLAF1"	"DIAPH1"	"BEX1"	"FAM3C"	"TYMS"	"NRIP1"	"FCN1"	"MCCC2"	"ATP8B4"	"FGD2"	"RRAS2"	"EGFR"	"TP53"	"AKT1"	"TP53"	"ESR1"	"AKT1"	"AKT1"	"MTHFR"	"SF1"
"FUS"	"ZNF611"	"CD22"	"FUS"	0.617351564159887	"POU2AF1"	"MKNK1"	"RHOB"	"ROR1"	"FLT3"	"TAB2"	"PPP4R3B"	"CDA"	"OLR1"	"DIAPH1"	"PPP4R3B"	"TCL1A"	"NKTR"	"GIT2"	"PRDM2"	"MTHFR"	"APOE"	"EGFR"	"IL6"	"AKT1"	"EGFR"	"EGFR"	"EGFR"	"DNAJC2"
"BLK"	"CD19"	"PTPRC"	"BLK"	0.604040968687301	"ETS2"	"P4HB"	"TRIM37"	"FLT3"	"BCL11B"	"ANKRD36B"	"POU2AF1"	"TSC22D1"	"USP25"	"CALCOCO2"	"CD14"	"S100A11"	"FRMD4B"	"S100A11"	"SERPINB2"	NA	NA	NA	NA	NA	NA	NA	NA	"RPS9"
"DDX3X"	"BIRC3"	"CD74"	"DDX3X"	0.613715277777778	"MS4A3"	"CD22"	"ZNF24"	"FUS"	"BIRC3"	"ADGRG3"	"IST1"	"COL5A1"	"LYZ"	"GUCY1A1"	"F13A1"	"WIPI1"	"TMED5"	"BEX1"	"C11orf58"	NA	NA	NA	NA	NA	NA	NA	NA	"MCCC2"
