"mrmr"	"da"	"newDa"	"newDaScores"	"rf"	"MI"	"limma"	"daLFC"	"daRedMrmr"	"random.1"	"random.2"	"random.3"	"random.4"	"random.5"	"random.6"	"random.7"	"random.8"	"random.9"	"random.10"	"top.random.1"	"top.random.2"	"top.random.3"	"top.random.4"	"top.random.5"	"top.random.6"	"top.random.7"	"top.random.8"	"relief"
"DDX3X.DDX3X"	"HNRNPC"	"DDX3X"	"DDX3X"	0.984375	"PYGL"	"BLK"	"PTPRC"	"CD22"	"DDX3X"	"DDX3X"	"ZNF24"	"PRMT1"	"POLR2B"	"SMAD7"	"P2RY10"	"CBFA2T3"	"TAB2"	"UBR4"	"TMEM267"	"MTHFR"	"MTHFR"	"MTHFR"	"APOE"	"EGFR"	"IL6"	"TP53"	"EGFR"	"GNA15"
"FLT3"	"POU2AF1"	"FLT3"	"FLT3"	0.974761787205544	"FCMR"	"MKNK1"	"HIPK1"	"BLK"	"BLK"	"EEF1A1"	"ADGRG3"	"ANXA2"	"TXNRD1"	"IL1R1"	"VIM"	"SMCHD1"	"BCLAF1"	"ADAM28"	"HEXA"	"IL6"	"VEGFA"	"ESR1"	"VEGFA"	"IL6"	"TP53"	"AKT1"	"MTHFR"	"ROR1"
"CD22"	"ATP8B1"	"CBFA2T3"	"CD22"	0.730538673136668	"POU2AF1"	"HNRNPC"	"DIP2A"	"POU2AF1"	"CD22"	"PTX3"	"FCMR"	"CHD9"	"BLNK"	"DYNLRB1"	"SELENOP"	"TUBA1B"	"TPSAB1"	"PTPN18"	"PABPC1"	"TP53"	"AKT1"	"APOE"	"ESR1"	"ESR1"	"APOE"	"VEGFA"	"TP53"	"TYMS"
"CBFA2T3"	"PYGL"	"TOP2A"	"CBFA2T3"	0.757495486111111	"SYK"	"RHEB"	"SLC4A1"	"MYB"	"CBFA2T3"	"PABPC1"	"RPS15"	"CFP"	"SELENOP"	"DENND4A"	"TOP2A"	"CHI3L1"	"MPO"	"PSIP1"	"COQ10B"	"ESR1"	"ESR1"	"VEGFA"	"EGFR"	"TP53"	"MTHFR"	"EGFR"	"ESR1"	"LMO2"
"TOP2A"	"BCAR3"	"KAT6A"	"TOP2A"	0.734403695431405	"ADAM28"	"FGD2"	"WWP2"	"LMO2"	"POU2AF1"	"ZCCHC10"	"SPRY2"	"SIDT1"	"TBC1D9"	"ATP5F1A"	"ADAM28"	"EPAS1"	"PLCG2"	"ETS2"	"RNASET2"	"AKT1"	"IL6"	"IL6"	"AKT1"	"VEGFA"	"VEGFA"	"ESR1"	"VEGFA"	"MYB"
"KAT6A"	"PABPC1"	"CD22"	"KAT6A"	0.72026454216625	"MS4A3"	"CD19"	"SEC62"	"CBFA2T3"	"PLCG2"	"MME"	"ACAT1"	"FLT3"	"CEBPA"	"PXDN"	"CD72"	"TXNRD1"	"TBC1D9"	"SEC62"	"ALDH7A1"	"EGFR"	"APOE"	"AKT1"	"IL6"	"APOE"	"EGFR"	"MTHFR"	"IL6"	"TBC1D9"
"PTPRC"	"FCMR"	"PTPRC"	"PTPRC"	0.701675766903401	"PRKCB"	"BCAR3"	"DENND1B"	"ATP8B1"	"FLT3"	"TCL1A"	"P2RY10"	"CSRP2"	"TARDBP"	"CALCOCO2"	"EPAS1"	"PAWR"	"FAIM"	"CEBPA"	"USP25"	"VEGFA"	"TP53"	"TP53"	"TP53"	"AKT1"	"ESR1"	"APOE"	"AKT1"	"POU2AF1"
"EPAS1"	"CD22"	"EPAS1"	"EPAS1"	0.652200945300969	"LMO2"	"PABPC1"	"ADGRG3"	"TCL1A"	"MYB"	"PAWR"	"LRRC59"	"SORL1"	"TBC1D4"	"USP6NL"	"RAC1"	"GNA15"	"KAT6A"	"TENT5A"	"MKNK1"	"APOE"	"EGFR"	"EGFR"	"MTHFR"	"MTHFR"	"AKT1"	"IL6"	"APOE"	"S100A8"
"CD52"	"DIP2A"	"SUZ12"	"CD52"	0.633616631791121	"PLAUR"	"POU2AF1"	"P2RY10"	"FUS"	"BCLAF1"	"LITAF"	"TMEM267"	"CPA3"	"PTPRE"	"TARDBP"	"PNN"	"EEF1A1"	"NFIL3"	"LRRC59"	"CD19"	NA	NA	NA	NA	NA	NA	NA	NA	"DSN1"
"SUZ12"	"ARMCX1"	"CD52"	"SUZ12"	0.624793557098765	"SOCS2"	"ROR1"	"FGD2"	"FLT3"	"TCL1A"	"TRIM37"	"PRCP"	"DIP2A"	"HIPK1"	"CD74"	"FAR2"	"PRCP"	"SORL1"	"HSD17B12"	"PTGS2"	NA	NA	NA	NA	NA	NA	NA	NA	"ANXA1"
"FUS"	"SEC62"	"CIITA"	"FUS"	0.622501883104492	"HBEGF"	"RPS9"	"RHOB"	"ROR1"	"KAT6A"	"CD19"	"SMIM14"	"TAB2"	"TCL1A"	"ABI1"	"ATXN1"	"RAC1"	"RNASE2"	"ALDH7A1"	"RNASE2"	NA	NA	NA	NA	NA	NA	NA	NA	"SORL1"
"MYB"	"SOCS2"	"CD74"	"MYB"	0.610227568595006	"CEBPD"	"ZNF573"	"TRIM37"	"CEBPA"	"FUS"	"SMAD7"	"TRIM37"	"DYNLRB1"	"COPA"	"LRRC59"	"ALDH5A1"	"TPP2"	"PXDN"	"CFP"	"ATP8B4"	NA	NA	NA	NA	NA	NA	NA	NA	"MPO"
"BLK"	"BLK"	"TMED5"	"BLK"	0.598499308424115	"CXCL8"	"COL5A1"	"ZNF24"	"PSIP1"	"CD74"	"DENND4A"	"FAIM"	"DLEU2"	"ACAT1"	"CMAHP"	"SERPINA1"	"DENND1B"	"TMEM267"	"CD74"	"ETS2"	NA	NA	NA	NA	NA	NA	NA	NA	"BBS10"
"TCL1A"	"TBC1D4"	"MYB"	"TCL1A"	0.572960897435897	"GNA15"	"ATP8B1"	"HSD17B12"	"CD19"	"EPAS1"	"CTSG"	"WTAP"	"JUP"	"FLT3"	"ZNF493"	"PPP4R3B"	"WTAP"	"HBEGF"	"GIT2"	"COPA"	NA	NA	NA	NA	NA	NA	NA	NA	"RNASE2"
