"mrmr"	"da"	"newDa"	"newDaScores"	"rf"	"MI"	"limma"	"daLFC"	"daRedMrmr"	"random.1"	"random.2"	"random.3"	"random.4"	"random.5"	"random.6"	"random.7"	"random.8"	"random.9"	"random.10"	"top.random.1"	"top.random.2"	"top.random.3"	"top.random.4"	"top.random.5"	"top.random.6"	"top.random.7"	"top.random.8"	"relief"
"BCL11B.BCL11B"	"HNRNPC"	"BCL11B"	"BCL11B"	0.98917173185941	"ADAM28"	"PABPC1"	"PTPRC"	"CD22"	"DDX3X"	"DNAJA4"	"PTPN18"	"SEPTIN7"	"ATP5F1A"	"FLT3"	"RAC1"	"NCOA6"	"TSPYL1"	"UBR2"	"STOM"	"EGFR"	"EGFR"	"AKT1"	"TP53"	"EGFR"	"EGFR"	"VEGFA"	"APOE"	"RPS9"
"FLT3"	"LEF1"	"DDX3X"	"FLT3"	0.971799803874256	"RESF1"	"HNRNPC"	"HIPK1"	"BLK"	"CD22"	"CD19"	"GIMAP4"	"PADI2"	"PMPCB"	"CPA3"	"ZMIZ1"	"KRAS"	"ABI1"	"NRIP1"	"ANXA3"	"MTHFR"	"MTHFR"	"MTHFR"	"AKT1"	"APOE"	"IL6"	"MTHFR"	"IL6"	"EEF1A1"
"CD22"	"MKNK1"	"FLT3"	"CD22"	0.730538673136668	"P2RY10"	"CCNC"	"SLC4A1"	"DDX3X"	"SF3B2"	"PTX3"	"MMP9"	"RPS9"	"HNRNPC"	"HSD17B12"	"WIPI2"	"RNASE2"	"BIRC3"	"N4BP2L2"	"PAWR"	"IL6"	"TP53"	"APOE"	"MTHFR"	"VEGFA"	"MTHFR"	"ESR1"	"VEGFA"	"RPS15"
"KRAS"	"CD79A"	"KRAS"	"KRAS"	0.770446915669076	"STOM"	"FGD2"	"SEC62"	"POU2AF1"	"LEF1"	"RAP1A"	"TCF4"	"MPO"	"SPARC"	"TFB2M"	"TSPAN3"	"GIT2"	"STOM"	"LAPTM4B"	"ARG1"	"VEGFA"	"IL6"	"ESR1"	"IL6"	"MTHFR"	"ESR1"	"APOE"	"MTHFR"	"FGD2"
"CBFA2T3"	"PABPC1"	"IL7R"	"CBFA2T3"	0.7631484375	"BEX1"	"MKNK1"	"STMN1"	"DDX10"	"SMC1A"	"CYP4F3"	"GOLGA3"	"CLEC2D"	"BLK"	"C3AR1"	"CDA"	"ELOVL5"	"CSRP2"	"SOCS2"	"TREM1"	"APOE"	"AKT1"	"IL6"	"EGFR"	"TP53"	"AKT1"	"TP53"	"ESR1"	"BLK"
"IL7R"	"TBC1D4"	"CBFA2T3"	"IL7R"	0.737469573966876	"CD79A"	"ASAH1"	"ADGRG3"	"TMED5"	"CCND3"	"TBC1D4"	"STX8"	"ZMYND11"	"ZNF83"	"BEX1"	"MAF"	"MARCHF7"	"PTPN18"	"TAB2"	"LITAF"	"AKT1"	"APOE"	"TP53"	"APOE"	"ESR1"	"TP53"	"EGFR"	"EGFR"	"TUBA1B"
"KAT6A"	"CD19"	"SMC1A"	"KAT6A"	0.720364454018402	"CEBPD"	"SF3B2"	"KIAA1109"	"CCND3"	"BLK"	"IL1R2"	"FNDC3B"	"TCEA1"	"PSTPIP2"	"QPCT"	"TMEM268"	"MGAT4A"	"CDA"	"SEC62"	"RNASE2"	"TP53"	"ESR1"	"EGFR"	"ESR1"	"AKT1"	"VEGFA"	"IL6"	"TP53"	"ATP5F1A"
"PTPRC"	"ARHGDIB"	"LEF1"	"PTPRC"	0.701386453746761	"PAWR"	"P4HB"	"P2RY10"	"STRAP"	"PLCG2"	"TIA1"	"RSU1"	"LEF1"	"HBB"	"FPR2"	"TREM1"	"NBR1"	"DDX10"	"TXNRD1"	"MMP9"	"ESR1"	"VEGFA"	"VEGFA"	"VEGFA"	"IL6"	"APOE"	"AKT1"	"AKT1"	"MACROH2A1"
"LEF1"	"STOM"	"SF3B2"	"LEF1"	0.680902573047204	"C5AR1"	"N4BP2L2"	"FGD2"	"PLCG2"	"STRAP"	"SF3B2"	"P2RY10"	"STRAP"	"CD79A"	"S100A12"	"ALDH5A1"	"BTG1"	"SAMHD1"	"THADA"	"MTREX"	NA	NA	NA	NA	NA	NA	NA	NA	"C11orf58"
"SMC1A"	"CCNC"	"CCND3"	"SMC1A"	0.670325571028962	"RNASE2"	"POU2AF1"	"ZNF24"	"LEF1"	"KRAS"	"ATP5F1A"	"TXNRD1"	"GNG11"	"HSD17B4"	"MRPS27"	"CTBP1"	"KAT6A"	"ZMIZ1"	"SUPT6H"	"RFTN1"	NA	NA	NA	NA	NA	NA	NA	NA	"HBB"
