"mrmr"	"da"	"newDa"	"newDaScores"	"rf"	"MI"	"limma"	"daLFC"	"daRedMrmr"	"random.1"	"random.2"	"random.3"	"random.4"	"random.5"	"random.6"	"random.7"	"random.8"	"random.9"	"random.10"	"top.random.1"	"top.random.2"	"top.random.3"	"top.random.4"	"top.random.5"	"top.random.6"	"top.random.7"	"top.random.8"	"top.random.9"	"top.random.10"	"relief"
"HMGA2.HMGA2"	"SLC2A1"	"ROS1"	"ROS1"	1	"SFTPC"	"SLC2A1"	"PDK4"	"E2F7"	"E2F7"	"CYCSP6"	"AC009951.4"	"GCNT3"	"SYT14"	"AC010997.6"	"B4GALNT1"	"AC007128.1"	"TICRR"	"SCN7A"	"PLAAT1"	"IL6"	"TNF"	"MTHFR"	"VEGFA"	"APOE"	"ESR1"	"AKT1"	"MTHFR"	"APOE"	"IL6"	"PGLYRP3"
"RP1"	"S1PR5"	"ZBTB16"	"MUC21"	0.680555555555556	"AQP4"	"NECTIN1"	"DLX6"	"ZBTB16"	"ZBTB16"	"SLC6A11"	"PBK"	"AC015914.1"	"STARD13.AS"	"ESYT3"	"LINC00710"	"FAXDC2"	"WNK2"	"SLC46A2"	"SHOX2"	"TNF"	"APOE"	"EGFR"	"TP53"	"IL6"	"AKT1"	"MTHFR"	"TP53"	"ESR1"	"VEGFA"	"FADS6"
"SFN"	"LGI3"	"HOXC11"	"HMGA2"	0.653959669672136	"CLDN18"	"GRHL3"	"GABRA3"	"KRT6A"	"ROS1"	"BBOX1.AS1"	"SPC25"	"CACNA1C.AS4"	"CYP2B7P"	"SFTPB"	"SNHG22"	"IGHJ2"	"AL445465.2"	"B4GALNT4"	"CTSV"	"ESR1"	"IL6"	"TGFB1"	"EGFR"	"EGFR"	"TGFB1"	"VEGFA"	"ESR1"	"EGFR"	"MTHFR"	"GPX2"
"HOXC13"	"NECTIN1"	"HMGA2"	"ZBTB16"	0.583333333333333	"LGI3"	"TICRR"	"GPRC5A"	"TFAP2A"	"KRT6A"	"AC116049.2"	"CYP4Z2P"	"CELF2.AS1"	"CENPW"	"KRT6A"	"GPRC5A"	"TDRD10"	"SHOX2"	"PCP4"	"AC002543.1"	"EGFR"	"VEGFA"	"TP53"	"APOE"	"TGFB1"	"VEGFA"	"IL6"	"AKT1"	"TP53"	"TGFB1"	"SPRR1B"
"MMP3"	"CDC45"	"MUC21"	"E2F7"	0.591646359313779	"ADH1B"	"TTK"	"VSIG2"	"WNK2"	"CHRNB4"	"AC007362.1"	"ADAMTSL4.AS1"	"PGLYRP3"	"PPP2R2C"	"TMEM108.AS1"	"C4BPA"	"OGDHL"	"PWAR5"	"CARMN"	"SCN7A"	"VEGFA"	"TP53"	"ESR1"	"AKT1"	"TNF"	"TNF"	"TNF"	"VEGFA"	"VEGFA"	"TNF"	"AKR1B10"
"SUSD2"	"GRHL3"	"APOBEC3B"	"CNTNAP2"	0.536880882739918	"GRHL3"	"TFAP2A"	"C8B"	"CHRNB4"	"HMGA2"	"PCP4"	"AC005537.2"	"AC093895.2"	"NR0B2"	"BBOX1.AS1"	"UCN2"	"SPC25"	"CLDN18"	"MUC21"	"DMRTA2"	"APOE"	"EGFR"	"VEGFA"	"TGFB1"	"TP53"	"APOE"	"ESR1"	"EGFR"	"AKT1"	"TP53"	"HOXC13"
"AKR1B10"	"TFAP2A"	"CNTNAP2"	"CHRNB4"	0.522842572495832	"KIAA0408"	"E2F7"	"HOXC8"	"ROS1"	"WNK2"	"AKR1B10"	"PSAT1"	"SFTPB"	"AC026362.2"	"FAXDC2"	"CYP4Z2P"	"PGLYRP4"	"GJB3"	"FOXM1"	"PWAR5"	"MTHFR"	"TGFB1"	"APOE"	"TNF"	"MTHFR"	"MTHFR"	"TGFB1"	"APOE"	"TGFB1"	"APOE"	"SERPINB4"
"MMP10"	"AP001972.5"	"LRP2"	"HOXC11"	0.512605293767621	"ADCY8"	"FOXM1"	"ZIC2"	"CDC45"	"MUC21"	"DMBT1"	"TWIST1"	"RPL12P20"	"SCARNA5"	"CKMT1B"	"SIX2"	"MAB21L2"	"AC110048.2"	"PBOV1"	"AC022498.2"	"AKT1"	"AKT1"	"IL6"	"IL6"	"AKT1"	"IL6"	"TP53"	"TGFB1"	"IL6"	"ESR1"	"S1PR5"
"TNS4"	"GPRC5A"	"WNK2"	"APOBEC3B"	0.48588941410429	"FRMD5"	"CDC45"	"ROS1"	"GNGT1"	"APOBEC3B"	"AP005230.1"	"AL117329.1"	"LGI3"	"TFAP2A"	"DMBT1"	"TDRD5"	"LINC02428"	"CDC45"	"SCARNA9"	"FAM83D"	"TP53"	"MTHFR"	"TNF"	"ESR1"	"VEGFA"	"TP53"	"EGFR"	"TNF"	"MTHFR"	"AKT1"	"CLDN18"
"COL17A1"	"FRMD5"	"CHRNB4"	"LRP2"	0.481012364797209	"SFTA1P"	"AP001972.5"	"COL17A1"	"HOXC13"	"HOXC13"	"FAM83B"	"AC092139.3"	"AC079160.1"	"ALG1L"	"GJB3"	"ADGRD1"	"CELF2.AS2"	"LINC00710"	"LHX2"	"DLX6.AS1"	"TGFB1"	"ESR1"	"AKT1"	"MTHFR"	"ESR1"	"EGFR"	"APOE"	"IL6"	"TNF"	"EGFR"	"NTRK2"
