"mrmr"	"da"	"newDa"	"newDaScores"	"rf"	"MI"	"limma"	"daLFC"	"daRedMrmr"	"random.1"	"random.2"	"random.3"	"random.4"	"random.5"	"random.6"	"random.7"	"random.8"	"random.9"	"random.10"	"relief"	"top-random-1"	"top-random-2"	"top-random-3"	"top-random-4"	"top-random-5"	"top-random-6"	"top-random-7"	"top-random-8"	"top-random-9"	"top-random-10"
"GABRA3.GABRA3"	"AGER"	"GABRA3"	"GABRA3"	1	"AGER"	"CA4"	"PDK4"	"TEK"	"CA4"	"CPB2"	"STRA6"	"KCNK3"	"SPRR2D"	"CEP55"	"DLX6.AS1"	"ACADL"	"SYT14"	"OTX1"	"AC079160.1"	"LYVE1"	"MTHFR"	"EGFR"	"TP53"	"EGFR"	"TP53"	"TNF"	"ESR1"	"TNF"	"AKT1"	"MTHFR"
"POLQ"	"C2CD4A"	"ADRB1"	"POLQ"	1	"FHL1"	"TEK"	"DLX6"	"POLQ"	"SFTPC"	"CHRM1"	"SP8"	"SERTM1"	"LY6K"	"MYBL2"	"PITX2"	"NUF2"	"COL6A6"	"CYP4B1"	"AURKB"	"FAM107A"	"VEGFA"	"TNF"	"IL6"	"TP53"	"APOE"	"MTHFR"	"VEGFA"	"EGFR"	"VEGFA"	"APOE"
"SFTPD"	"SEMA3G"	"POLQ"	"SFTPD"	0.989177489177489	"TEK"	"ADAMTS8"	"CACNA2D2"	"AGER"	"POLQ"	"GJB2"	"TFAP2A"	"CLDN18"	"PTPRQ"	"CLEC3B"	"CPB2"	"AL049555.1"	"NETO1"	"CEP55"	"HOXB13"	"ETV4"	"EGFR"	"AKT1"	"ESR1"	"IL6"	"ESR1"	"IL6"	"AKT1"	"APOE"	"APOE"	"EGFR"
"MMP3"	"NPSR1.AS1"	"ZBTB16"	"TERT"	0.967054263565891	"KANK3"	"AGER"	"SEMA3G"	"TOP2A"	"TOP2A"	"KIAA0408"	"NUF2"	"WIF1"	"RIMS2"	"TTK"	"KRTAP4.1"	"AL136164.3"	"AC079467.1"	"KANK3"	"IVL"	"AGER"	"APOE"	"TP53"	"EGFR"	"ESR1"	"TNF"	"TP53"	"TP53"	"TP53"	"TP53"	"TGFB1"
"WIF1"	"PYCR1"	"CHRNB4"	"MMP1"	0.965277777777778	"GPM6A"	"CLEC3B"	"ANLN"	"EDNRB"	"SFTPD"	"FENDRR"	"RETN"	"POU6F2"	"SLC44A5"	"ZBTB16"	"IHH"	"EEF1A2"	"UBE2C"	"DLGAP5"	"PPP2R2C"	"ASPA"	"TP53"	"IL6"	"TGFB1"	"VEGFA"	"IL6"	"APOE"	"TGFB1"	"AKT1"	"EGFR"	"AKT1"
"HMGA2"	"LINC00968"	"TEK"	"SFTPC"	0.941919191919192	"CLEC3B"	"LINC01996"	"GABRA3"	"TUBB3"	"TUBB3"	"CNTNAP2"	"GPR17"	"GAL"	"IL1RAPL2"	"NEK2"	"C2orf91"	"UHRF1"	"ABCA12"	"HS6ST2"	"DLL3"	"ALG1L"	"AKT1"	"ESR1"	"VEGFA"	"MTHFR"	"MTHFR"	"ESR1"	"APOE"	"IL6"	"ESR1"	"VEGFA"
"MMP1"	"RASAL1"	"ADRA1A"	"CHRNB4"	0.93858024691358	"ASPA"	"RTKN2"	"ATP1A2"	"PRX"	"FGFR4"	"SHOX2"	"CLEC4M"	"ADM2"	"FAM189A2"	"RETN"	"IL36RN"	"MMP10"	"FEZF1"	"WIF1"	"UBE2T"	"LINC02016"	"TGFB1"	"TGFB1"	"APOE"	"TGFB1"	"EGFR"	"EGFR"	"TNF"	"TGFB1"	"TGFB1"	"TNF"
"SFTPC"	"SLC24A2"	"HOXC11"	"HMGA2"	0.928571428571429	"EDNRB"	"EDNRB"	"MARCO"	"ADRA1A"	"EDNRB"	"B3GNT3"	"NMU"	"ITLN1"	"CAV1"	"ANGPTL7"	"AC079467.1"	"RASAL1"	"CKAP2L"	"TRIM71"	"COL6A6"	"FHL1"	"TNF"	"MTHFR"	"MTHFR"	"AKT1"	"TGFB1"	"AKT1"	"MTHFR"	"MTHFR"	"TNF"	"TP53"
"CHRNB4"	"CD5L"	"TOP2A"	"TUBB3"	0.922348484848485	"RS1"	"KANK3"	"CYP24A1"	"FGFR4"	"TERT"	"KIF14"	"AC236972.3"	"AC093110.1"	"HBA2"	"AC007128.1"	"GALNT14"	"CRABP2"	"GALNT14"	"FMO2"	"GREM1"	"BBOX1.AS1"	"ESR1"	"APOE"	"AKT1"	"TNF"	"AKT1"	"VEGFA"	"IL6"	"VEGFA"	"MTHFR"	"IL6"
"RSPO2"	"RSPO1"	"SFTPD"	"MMP3"	0.912037037037037	"RTKN2"	"VEGFD"	"C8B"	"CA4"	"AGER"	"FEZF1.AS1"	"LINC02864"	"DLGAP5"	"KIF4A"	"PKMYT1"	"CRABP2"	"OVCH1"	"GINS1"	"TEKT1"	"NXPH4"	"RPL13AP17"	"IL6"	"VEGFA"	"TNF"	"APOE"	"VEGFA"	"TGFB1"	"EGFR"	"ESR1"	"IL6"	"ESR1"
"MMP13"	"LGI3"	"EDNRB"	"WIF1"	0.91530612244898	"CLIC5"	"FHL1"	"FHL1"	"BUB1B"	"ADRA1A"	"KCNK3"	"AC131649.2"	"GJB2"	"CASC9"	"STRA6"	"F11"	"DLX6.AS1"	"ASPM"	"CSF3"	"PITX2"	"HTR3C"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SFTPA2"	"LINC02016"	"SCN7A"	"TOP2A"	0.911525974025974	"CA4"	"CAVIN2"	"DEPDC1"	"VEGFD"	"RSPO2"	"NETO1"	"OGN"	"CDCA8"	"CDC25C"	"RHOV"	"TMPRSS11E"	"CYP24A1"	"MNX1.AS1"	"C2orf91"	"UPK3B"	"EDNRB"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"EDNRB"	"ABCA12"	"MMP13"	"RSPO2"	0.901692708333333	"FAM189A2"	"GPIHBP1"	"MYOC"	"MMP12"	"TEK"	"IL36G"	"HMMR"	"FGFR4"	"ABCA8"	"AC236972.3"	"AC093110.1"	"LINC02016"	"C2orf91"	"SFTA1P"	"HOXC11"	"FCN3"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"AGER"	"CLEC3B"	"CBLC"	"MMP12"	0.856643356643357	"SFTPC"	"CLIC5"	"DEPDC1B"	"UHRF1"	"MMP12"	"LINC01996"	"OVCH1"	"TRHDE"	"CLIC5"	"MMP1"	"AL365181.3"	"SPOCK2"	"AL135960.1"	"KCNK3"	"MMP12"	"KCNMB2.AS1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SCGB1A1"	"RTKN2"	"RSPO2"	"MMP13"	0.830499604057054	"TNNC1"	"FAM189A2"	"OTC"	"TERT"	"WIF1"	"ANGPTL7"	"LINC02016"	"OGN"	"ADH1B"	"ACADL"	"AURKB"	"GJB2"	"TOP2A"	"GREM1"	"ZNF695"	"MYOC"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"FGFR4"	"ANGPT4"	"HMGA2"	"FGFR4"	0.826829268292683	"CAVIN2"	"GPM6A"	"ZIC2"	"RRM2"	"VEGFD"	"MS4A15"	"EDNRB"	"CHIAP2"	"ZIC2"	"SPRR2D"	"LINC02016"	"PRAME"	"PPP2R2C"	"CAVIN2"	"GJB6"	"HOXC13"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ADRB1"	"MEX3A"	"MMP3"	"SFTPA2"	0.815200617283951	"AQP4"	"AQP4"	"ADRB1"	"CHRM1"	"BUB1B"	"NPSR1"	"AGTR2"	"RAB3B"	"RSPO2"	"HOXC.AS2"	"MCEMP1"	"SKA1"	"RTKN2"	"TERT"	"PTPRQ"	"TNNC1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"HOXC11"	"FAM189A2"	"WIF1"	"SCGB1A1"	0.800653594771242	"LINC00968"	"TCF21"	"EPN3"	"RSPO2"	"MMP1"	"ZNF695"	"ACADL"	"AC079467.1"	"C12orf56"	"CDC6"	"OGN"	"MFAP4"	"BUB1B"	"ABCA8"	"CST1"	"OTC"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"TERT"	"AC093110.1"	"BUB1B"	"AGER"	0.803118908382066	"GPIHBP1"	"ADAMTS7P3"	"POLQ"	"SFTPD"	"CHRM1"	"UBE2C"	"TRPM8"	"TRPM8"	"AP005230.1"	"OTX1"	"FCN3"	"SERTM1"	"CHRNB4"	"IGF2BP3"	"KRT6B"	"AGTR2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ADRA1A"	"LYVE1"	"FGFR4"	"ADRA1A"	0.773391812865497	"VEGFD"	"LINC00968"	"COL11A1"	"ETV4"	"ADRB1"	"C2CD4A"	"FAM83A"	"TMPRSS4"	"LINC01980"	"MMP3"	"ATP10B"	"IL1RL1"	"AL354714.1"	"PRAME"	"DLGAP5"	"TEK"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"TEK"	"PLA2G4F"	"TERT"	"BUB1B"	0.777564102564103	"LGI3"	"SFTPC"	"MCM10"	"RASAL1"	"CHRNB4"	"LINC02016"	"RIMS2"	"CHRDL1"	"SLC2A1"	"CYP4B1"	"OVCH1"	"AKR1B15"	"SFTPD"	"LGI3"	"KIF4A"	"CALML3"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SFTPA1"	"SCUBE1"	"CA4"	"EDNRB"	0.774303135307112	"ADH1B"	"PRX"	"COL17A1"	"GTSE1"	"HBA2"	"CA4"	"GPM6A"	"MYEOV"	"LINC00511"	"DSG3"	"CA4"	"MCEMP1"	"MMP12"	"C12orf56"	"LINC00968"	"PEBP4"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"BUB1B"	"HBA2"	"SFTPC"	"HOXC11"	0.771080368906456	"AL606469.1"	"AC093110.1"	"ASPM"	"AURKB"	"CBLC"	"SFTPC"	"SEMA3G"	"CHRNB4"	"CTHRC1"	"SCGB3A1"	"C12orf56"	"BUB1B"	"ATP10B"	"HBB"	"AC010998.1"	"AC046195.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"CHRM1"	"PRX"	"CHRM1"	"SFTPA1"	0.718196457326892	"SERTM1"	"RAMP3"	"CLDN18"	"MMP11"	"PRX"	"CBLC"	"EXO1"	"SFTPD"	"CSF3"	"FERMT1"	"PYCR1"	"VEGFD"	"CASC9"	"FAM107A"	"ASPA"	"IGSF9"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"HBB"	"FAM83A"	"KCNK3"	"PGC"	0.715506546804957	"SPOCK2"	"AL606469.1"	"PITX1"	"UBE2C"	"SFTPA1"	"GDF10"	"SYT12"	"CA9"	"FERMT1"	"UPK3B"	"RTKN2"	"GJB6"	"AC046195.1"	"RIMS2"	"ADAMTS7P3"	"ADAMTS8"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ZBTB16"	"GPM6A"	"SFTPA2"	"TEK"	0.695833333333333	"PYCR1"	"CAV1"	"GAL"	"HBA2"	"TMPRSS4"	"ATP10B"	"FOXI3"	"CD5L"	"TMPRSS4"	"RRM2"	"CYP4Z2P"	"POLQ"	"KRT14"	"RRM2"	"SLC46A2"	"PITX1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"S100A7"	"IQGAP3"	"MMP1"	"S100A7"	0.693980276184419	"ACADL"	"ASPA"	"HMMR"	"SFTPC"	"KCNK3"	"CDCA5"	"C2CD4A"	"AC236972.3"	"CLDN18"	"KANK3"	"GNGT1"	"BTNL9"	"LINC02016"	"AC010776.2"	"S100A2"	"SCUBE1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"TOP2A"	"ONECUT2"	"AGER"	"KCNK3"	0.700925925925926	"ADAMTS8"	"TNNC1"	"TRHDE"	"MMP1"	"MMP13"	"FAM83B"	"GREM1"	"CYP4Z2P"	"MMP13"	"BARX1"	"AC131649.2"	"ASPA"	"C2CD4A"	"TPX2"	"BUB1B"	"CNTN6"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"AGTR2"	"RS1"	"TUBB3"	"CBLC"	0.688892641760652	"CAV1"	"FAM107A"	"CD5L"	"EXO1"	"RASAL1"	"NXPH4"	"MNX1.AS1"	"ANKRD1"	"ARC"	"AC026369.3"	"VIPR1"	"SFTPA2"	"GCNT3"	"DMRTA2"	"LYVE1"	"OTX1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"HBA2"	"SPP1"	"MMP12"	"CHRM1"	0.684813793103448	"TCF21"	"RSPO1"	"PPP2R2C"	"C2orf91"	"HBB"	"RAMP3"	"LYPD3"	"PKMYT1"	"B4GALNT4"	"HMMR"	"TNNC1"	"SPRR2D"	"GPIHBP1"	"PSAT1"	"SUSD2"	"RS1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
