"mrmr"	"da"	"newDa"	"newDaScores"	"rf"	"MI"	"limma"	"daLFC"	"daRedMrmr"	"random.1"	"random.2"	"random.3"	"random.4"	"random.5"	"random.6"	"random.7"	"random.8"	"random.9"	"random.10"	"top.random.1"	"top.random.2"	"top.random.3"	"top.random.4"	"top.random.5"	"top.random.6"	"top.random.7"	"top.random.8"	"top.random.9"	"top.random.10"	"relief"
"HMGA2.HMGA2"	"SLC2A1"	"ROS1"	"ROS1"	1	"SFTPC"	"SLC2A1"	"PDK4"	"E2F7"	"E2F7"	"ARNTL2"	"POU6F2"	"AP005131.1"	"SLC25A5P5"	"ATP11A.AS1"	"AC093895.2"	"PSAT1"	"SFN"	"AC096741.1"	"B4GALNT4"	"MTHFR"	"EGFR"	"TP53"	"EGFR"	"TP53"	"TNF"	"ESR1"	"TNF"	"AKT1"	"MTHFR"	"LGI3"
"RP1"	"S1PR5"	"ZBTB16"	"MUC21"	0.680555555555556	"AQP4"	"NECTIN1"	"DLX6"	"ZBTB16"	"ROS1"	"LHFPL3.AS2"	"AC091544.2"	"PITX1"	"IVL"	"GJB2"	"LGI3"	"CNFN"	"GAL"	"AC010997.6"	"COL17A1"	"VEGFA"	"TNF"	"IL6"	"TP53"	"APOE"	"MTHFR"	"VEGFA"	"EGFR"	"VEGFA"	"APOE"	"SPINK1"
"SFN"	"LGI3"	"HMGA2"	"HMGA2"	0.653959669672136	"ADH1B"	"GRHL3"	"GABRA3"	"KRT6A"	"KRT6A"	"GJB3"	"AC092139.3"	"MMP10"	"AC011287.1"	"CNFN"	"PWAR5"	"AC096741.1"	"E2F7"	"RIMS2"	"HOXB13"	"EGFR"	"AKT1"	"ESR1"	"IL6"	"ESR1"	"IL6"	"AKT1"	"APOE"	"APOE"	"EGFR"	"AC027288.1"
"RAD51"	"CDC45"	"MUC21"	"ZBTB16"	0.593552185581111	"LGI3"	"TICRR"	"GPRC5A"	"CHRNB4"	"ZBTB16"	"AC005537.2"	"FRMD5"	"RAD51"	"PDK4"	"AC107308.1"	"AL162581.1"	"MUC21"	"SPRR1B"	"CDC45"	"AC092969.1"	"APOE"	"TP53"	"EGFR"	"ESR1"	"TNF"	"TP53"	"TP53"	"TP53"	"TP53"	"TGFB1"	"TFAP2A"
"HOXC13"	"GRHL3"	"APOBEC3B"	"E2F7"	0.625	"B3GNT3"	"S1PR5"	"VSIG2"	"ROS1"	"CHRNB4"	"AC092969.1"	"CASC9"	"PGLYRP3"	"NR0B2"	"CENPW"	"IGHJ2"	"ARHGEF2.AS1"	"TWIST1"	"RP1"	"SIX2"	"TP53"	"IL6"	"TGFB1"	"VEGFA"	"IL6"	"APOE"	"TGFB1"	"AKT1"	"EGFR"	"AKT1"	"KIAA0408"
"MMP3"	"NECTIN1"	"CNTNAP2"	"CNTNAP2"	0.5747421776191	"GRHL3"	"TTK"	"ARNTL2"	"TFAP2A"	"HMGA2"	"GCNT3"	"ADAMTSL4.AS1"	"AC012085.2"	"ROS1"	"PPP2R2C"	"AC110760.2"	"FSTL5"	"AC022497.1"	"ATP13A4.AS1"	"SNHG22"	"AKT1"	"ESR1"	"VEGFA"	"MTHFR"	"MTHFR"	"ESR1"	"APOE"	"IL6"	"ESR1"	"VEGFA"	"GNGT1"
"SUSD2"	"B3GNT3"	"LRP2"	"CHRNB4"	0.552671496938151	"SLC2A1"	"E2F7"	"HOXC8"	"RAD51"	"MUC21"	"AC096741.1"	"AP005230.1"	"AC116407.1"	"SFN"	"HOXC6"	"TMEM117"	"TESMIN"	"AC005537.2"	"SFTPA2"	"ATOH8"	"TGFB1"	"TGFB1"	"APOE"	"TGFB1"	"EGFR"	"EGFR"	"TNF"	"TGFB1"	"TGFB1"	"TNF"	"CPB2"
"AKR1B10"	"AP001972.5"	"WNK2"	"APOBEC3B"	0.52595473066545	"SFTA1P"	"TFAP2A"	"ZIC2"	"CDC45"	"APOBEC3B"	"INA"	"KCNMB2.AS1"	"GABRA3"	"PIGR"	"MMP3"	"BBOX1.AS1"	"ADH1B"	"TFAP2A"	"ECE2"	"SFTA1P"	"TNF"	"MTHFR"	"MTHFR"	"AKT1"	"TGFB1"	"AKT1"	"MTHFR"	"MTHFR"	"TNF"	"TP53"	"PSAT1"
"MMP10"	"ANXA8"	"CHRNB4"	"LRP2"	0.508333582986224	"FAM83B"	"TMEM117"	"ROS1"	"APOBEC3B"	"WNK2"	"LHX2"	"BMP2KL"	"SRRM3"	"CALML3.AS1"	"SCARNA6"	"AC010329.1"	"RMST"	"SCARNA9"	"LINC01564"	"LHX2"	"ESR1"	"APOE"	"AKT1"	"TNF"	"AKT1"	"VEGFA"	"IL6"	"VEGFA"	"MTHFR"	"IL6"	"TTK"
"COL17A1"	"TICRR"	"E2F7"	"WNK2"	0.492649760719722	"NECTIN1"	"FOXM1"	"RAD51"	"CNTNAP2"	"TFAP2A"	"GRHL3"	"HOXC13.AS"	"INA"	"DMBT1"	"DOCK4.AS1"	"CYP4Z2P"	"SFTPA1"	"SCEL"	"RHOV"	"IVL"	"IL6"	"VEGFA"	"TNF"	"APOE"	"VEGFA"	"TGFB1"	"EGFR"	"ESR1"	"IL6"	"ESR1"	"PITX1"
"TNS4"	"TFAP2A"	"HOXC13"	"KRT6A"	0.471312731681161	"KIAA0408"	"FAM83B"	"COL17A1"	"TESMIN"	"HOXC13"	"TMPRSS11E"	"ECE2"	"LINC01234"	"SNHG22"	"GPR87"	"PIGR"	"SELENBP1"	"ZIC2"	"CPB2"	"ANKRD44.IT1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AC093895.2"
