"mrmr"	"da"	"newDa"	"newDaScores"	"rf"	"MI"	"limma"	"daLFC"	"daRedMrmr"	"random.1"	"random.2"	"random.3"	"random.4"	"random.5"	"random.6"	"random.7"	"random.8"	"random.9"	"random.10"	"top.random.1"	"top.random.2"	"top.random.3"	"top.random.4"	"top.random.5"	"top.random.6"	"top.random.7"	"top.random.8"	"top.random.9"	"top.random.10"	"relief"
"HMGA2.HMGA2"	"NECTIN1"	"ROS1"	"ROS1"	1	"SFTPC"	"NECTIN1"	"PDK4"	"E2F7"	"E2F7"	"FAM83D"	"SHOX2"	"CPB2"	"NCCRP1"	"AL117329.1"	"AC084871.2"	"SPRR1B"	"FOXM1"	"ATOH8"	"ESYT3"	"AKT1"	"AKT1"	"MTHFR"	"MTHFR"	"AKT1"	"TP53"	"IL6"	"ESR1"	"ESR1"	"EGFR"	"PGLYRP3"
"RP1"	"AQP4"	"ZBTB16"	"MUC21"	0.680555555555556	"AQP4"	"SLC2A1"	"DLX6"	"ZBTB16"	"ROS1"	"PCP4"	"TFAP2A"	"AC116407.1"	"NDNF"	"NR0B2"	"MBL1P"	"GPR87"	"ATOH8"	"GPR87"	"OIP5"	"IL6"	"IL6"	"EGFR"	"VEGFA"	"TNF"	"ESR1"	"EGFR"	"EGFR"	"TGFB1"	"ESR1"	"CALML3.AS1"
"SFN"	"S1PR5"	"HOXC11"	"HMGA2"	0.653959669672136	"ADH1B"	"GRHL3"	"GABRA3"	"KRT6A"	"KRT6A"	"MAGEA6"	"MMP3"	"SFTPA2"	"AL117329.1"	"IL36RN"	"IGHJ3"	"LYPD3"	"AKR1B10"	"POU5F2"	"FAM83B"	"APOE"	"TGFB1"	"VEGFA"	"AKT1"	"APOE"	"MTHFR"	"TP53"	"AKT1"	"APOE"	"IL6"	"LINC00491"
"HOXC13"	"SLC2A1"	"HMGA2"	"ZBTB16"	0.583333333333333	"GRHL3"	"TTK"	"GPRC5A"	"CHRNB4"	"ZBTB16"	"SHE"	"SHE"	"PPP1R26P1"	"SPINK1"	"ST7.AS2"	"FOLR1"	"DMBT1"	"ABCA3"	"AC096564.1"	"GNGT1"	"VEGFA"	"ESR1"	"TGFB1"	"ESR1"	"TGFB1"	"TNF"	"ESR1"	"TNF"	"EGFR"	"MTHFR"	"LINC01748"
"MMP3"	"GRHL3"	"MUC21"	"E2F7"	0.591646359313779	"SLC2A1"	"ECE2"	"VSIG2"	"TFAP2A"	"CHRNB4"	"ALDH3B2"	"AC058791.1"	"LINC01748"	"DLX6"	"AC110048.2"	"LRRN4"	"LINC02562"	"ATP11A.AS1"	"AC008268.1"	"KRT16"	"TP53"	"VEGFA"	"APOE"	"EGFR"	"IL6"	"AKT1"	"AKT1"	"APOE"	"IL6"	"VEGFA"	"AC079160.1"
"SUSD2"	"ECE2"	"APOBEC3B"	"CNTNAP2"	0.536880882739918	"BBOX1.AS1"	"TMEM117"	"ARNTL2"	"APOBEC3B"	"HMGA2"	"AL390334.1"	"TESMIN"	"AL136320.1"	"CYCSP6"	"SCARNA7"	"AQP4"	"FSTL5"	"B4GALNT1"	"UCHL1"	"PLAAT1"	"MTHFR"	"MTHFR"	"TNF"	"TP53"	"TP53"	"EGFR"	"MTHFR"	"TGFB1"	"MTHFR"	"TP53"	"KRT6A"
"AKR1B10"	"FRMD5"	"CNTNAP2"	"CHRNB4"	0.522842572495832	"NECTIN1"	"CDC45"	"HOXC8"	"CDC45"	"APOBEC3B"	"KIAA0408"	"AC008268.1"	"SCARNA5"	"AC107308.1"	"AC116049.2"	"ATP13A4.AS1"	"AL031058.1"	"AC007128.1"	"PSAT1"	"HOXC6"	"TNF"	"APOE"	"TP53"	"IL6"	"ESR1"	"VEGFA"	"TNF"	"MTHFR"	"AKT1"	"TNF"	"KCNMB2.AS1"
"MMP10"	"AP001972.5"	"LRP2"	"HOXC11"	0.512605293767621	"AC027288.1"	"PSAT1"	"ZIC2"	"ROS1"	"MUC21"	"AC010997.6"	"NXPH4"	"PTHLH"	"SLC2A1"	"GPR87"	"AC090181.3"	"NXPH4"	"CKMT1B"	"IL36RN"	"CHRNB4"	"TGFB1"	"TP53"	"IL6"	"TNF"	"EGFR"	"TGFB1"	"TGFB1"	"IL6"	"TP53"	"TGFB1"	"SPRR1B"
"TNS4"	"E2F7"	"WNK2"	"APOBEC3B"	0.48588941410429	"NDNF"	"E2F7"	"ROS1"	"WNK2"	"WNK2"	"IGF2BP1"	"ALDH3B2"	"CKMT1B"	"PCP4"	"AC058791.1"	"AC058791.1"	"CDC45"	"NOS1"	"IL36G"	"LINC00491"	"ESR1"	"TNF"	"ESR1"	"TGFB1"	"VEGFA"	"APOE"	"VEGFA"	"VEGFA"	"TNF"	"AKT1"	"PGLYRP4"
"COL17A1"	"PITX1"	"CHRNB4"	"LRP2"	0.481012364797209	"FAM83B"	"TICRR"	"COL17A1"	"GNGT1"	"TFAP2A"	"GRHL3"	"PPP1R26P1"	"SLC44A5"	"SLC25A5P5"	"RHOV"	"MUC21"	"ATOH8"	"FSTL5"	"AC016831.4"	"E2F7"	"EGFR"	"EGFR"	"AKT1"	"APOE"	"MTHFR"	"IL6"	"APOE"	"TP53"	"VEGFA"	"APOE"	"NECTIN1"
"TFAP2A"	"GPRC5A"	"E2F7"	"KRT6A"	0.445907261707911	"ABCA3"	"TFAP2A"	"PITX1"	"TESMIN"	"CNTNAP2"	"LINC01980"	"S100A2"	"LINC00261"	"CFAP65"	"AC110760.2"	"TESMIN"	"AC010997.6"	"AC010997.6"	"KCNA3"	"PRAME"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"FAM83B"
"AC110760.2"	"TFAP2A"	"HOXC13"	"WNK2"	0.432759090909091	"FRMD5"	"AP001972.5"	"ADGRF5"	"SUSD2"	"TESMIN"	"POU6F2"	"BMP2KL"	"STEAP1B"	"POU5F2"	"FADS6"	"VSIG2"	"VSIG2"	"OFCC1"	"PWAR5"	"WNK2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"SPRR3"
"CDC45"	"PSAT1"	"SIX2"	"KRT4"	0.406348507800576	"TFAP2A"	"FOXM1"	"GAL"	"HMGA2"	"HOXC13"	"IGSF1"	"SLC2A1"	"AC092071.1"	"AC007128.1"	"MAB21L2"	"MAGEA6"	"LY6K"	"CYP2B7P"	"SLC25A5P5"	"BBOX1.AS1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"TFAP2A"
