"mrmr"	"da"	"newDa"	"newDaScores"	"rf"	"MI"	"limma"	"daLFC"	"daRedMrmr"	"random.1"	"random.2"	"random.3"	"random.4"	"random.5"	"random.6"	"random.7"	"random.8"	"random.9"	"random.10"	"relief"	"top-random-1"	"top-random-2"	"top-random-3"	"top-random-4"	"top-random-5"	"top-random-6"	"top-random-7"	"top-random-8"	"top-random-9"	"top-random-10"
"GABRA3.GABRA3"	"AGER"	"GABRA3"	"GABRA3"	1	"AGER"	"CLIC5"	"CACNA2D2"	"AGER"	"EDNRB"	"KRT6B"	"AC009093.3"	"SPINK1"	"KRT6A"	"IHH"	"PPP2R2C"	"UPK3B"	"IGFL2"	"ADAMTS8"	"AC010776.2"	"ZFPM2.AS1"	"AKT1"	"AKT1"	"MTHFR"	"MTHFR"	"AKT1"	"TP53"	"IL6"	"ESR1"	"ESR1"	"EGFR"
"WIF1"	"FAM83A"	"ZBTB16"	"WIF1"	1	"EDNRB"	"EDNRB"	"ANLN"	"ADRA1A"	"ADRA1A"	"TROAP"	"MIR924HG"	"C2orf91"	"FAM107A"	"RSPO1"	"GAL"	"MELK"	"IGSF9"	"SPRR2D"	"LINC01996"	"MYOC"	"IL6"	"IL6"	"EGFR"	"VEGFA"	"TNF"	"ESR1"	"EGFR"	"EGFR"	"TGFB1"	"ESR1"
"MMP3"	"RASAL1"	"ADRA1A"	"TERT"	0.973837209302326	"CLEC3B"	"CLEC3B"	"GABRA3"	"EDNRB"	"SFTPC"	"ANLN"	"ANGPT4"	"SEC14L3"	"CNTNAP2"	"C12orf56"	"SFTPA1"	"SCGB1A1"	"UPK3B"	"HJURP"	"MMP13"	"LINC00511"	"APOE"	"TGFB1"	"VEGFA"	"AKT1"	"APOE"	"MTHFR"	"TP53"	"AKT1"	"APOE"	"IL6"
"SFTPD"	"AL606469.1"	"TOP2A"	"SFTPD"	0.957431457431457	"GPM6A"	"LINC01996"	"MARCO"	"TOP2A"	"TOP2A"	"GJB2"	"SPRR1B"	"ACADL"	"HBA1"	"PRAME"	"RTKN2"	"PADI3"	"HOXC13"	"RS1"	"COL22A1"	"CRABP2"	"VEGFA"	"ESR1"	"TGFB1"	"ESR1"	"TGFB1"	"TNF"	"ESR1"	"TNF"	"EGFR"	"MTHFR"
"MMP12"	"TOP2A"	"SFTPD"	"MMP3"	0.936046511627907	"CLIC5"	"AGER"	"CYP24A1"	"TUBB3"	"SFTPD"	"UPK3B"	"DUSP9"	"MCEMP1"	"RTKN2"	"HBA2"	"AL049555.1"	"AC105206.1"	"SFTPC"	"PTPRQ"	"AC104984.2"	"TMEM63C"	"TP53"	"VEGFA"	"APOE"	"EGFR"	"IL6"	"AKT1"	"AKT1"	"APOE"	"IL6"	"VEGFA"
"HMGA2"	"LGI3"	"EDNRB"	"SFTPC"	0.926262626262626	"SFTPC"	"CA4"	"C8B"	"PRX"	"TUBB3"	"RETN"	"PGC"	"DEPDC1"	"AURKB"	"ZFPM2.AS1"	"GGTLC1"	"ADRA1A"	"TOP2A"	"RIMS2"	"VEGFD"	"NPSR1.AS1"	"MTHFR"	"MTHFR"	"TNF"	"TP53"	"TP53"	"EGFR"	"MTHFR"	"TGFB1"	"MTHFR"	"TP53"
"MMP1"	"RTKN2"	"MMP13"	"TUBB3"	0.917283950617284	"AQP4"	"RTKN2"	"DEPDC1"	"BUB1B"	"TERT"	"S100A7"	"RS1"	"IL36RN"	"SFTPD"	"STRA6"	"GPR17"	"MCEMP1"	"HBA1"	"CDC20"	"ABCA12"	"FAM83A"	"TNF"	"APOE"	"TP53"	"IL6"	"ESR1"	"VEGFA"	"TNF"	"MTHFR"	"AKT1"	"TNF"
"SFTPC"	"SLC24A2"	"HMGA2"	"HMGA2"	0.906438631790744	"RTKN2"	"CAVIN2"	"MYOC"	"MMP12"	"AGER"	"FAM83A"	"GGTLC1"	"COL17A1"	"FOXE1"	"BIRC5"	"KRT6B"	"KIF18B"	"TFAP2A"	"CRABP2"	"KIF2C"	"ABCA12"	"TGFB1"	"TP53"	"IL6"	"TNF"	"EGFR"	"TGFB1"	"TGFB1"	"IL6"	"TP53"	"TGFB1"
"SFTPA2"	"RSPO1"	"MMP3"	"MMP1"	0.87983630952381	"TNNC1"	"AQP4"	"DEPDC1B"	"TERT"	"MMP12"	"CD5L"	"AC135012.3"	"TNS4"	"BTNL9"	"OTX1"	"C2orf91"	"IVL"	"NPSR1.AS1"	"PRX"	"BBOX1.AS1"	"HS6ST2"	"ESR1"	"TNF"	"ESR1"	"TGFB1"	"VEGFA"	"APOE"	"VEGFA"	"VEGFA"	"TNF"	"AKT1"
"MMP13"	"LINC02016"	"WIF1"	"TOP2A"	0.876417233560091	"AL606469.1"	"AL606469.1"	"BARX2"	"VEGFD"	"WIF1"	"C2orf91"	"TTK"	"BIRC5"	"MARCO"	"PITX1"	"KIF14"	"LYPD3"	"CEP55"	"MAGEA6"	"IGSF9"	"CD5L"	"EGFR"	"EGFR"	"AKT1"	"APOE"	"MTHFR"	"IL6"	"APOE"	"TP53"	"VEGFA"	"APOE"
"EDNRB"	"ANGPT4"	"BUB1B"	"MMP12"	0.865625	"RS1"	"GPIHBP1"	"ZIC2"	"RRM2"	"CHRM1"	"TCF21"	"LINC00511"	"OVCH1"	"GREM1"	"GJB2"	"SFTPA2"	"CHRM1"	"TUBB3"	"CAVIN2"	"TNNC1"	"PRAME"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SCGB1A1"	"CLEC3B"	"TERT"	"SCGB1A1"	0.816349911589631	"TCF21"	"AC095050.1"	"COL11A1"	"CHRM1"	"VEGFD"	"INMT"	"PI16"	"NPSR1.AS1"	"TMPRSS4"	"F11"	"PTPRQ"	"CASC9"	"SPRR1B"	"AC007128.1"	"ZBTB16"	"SPP1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"AGER"	"AC095050.1"	"CA4"	"MMP13"	0.807575757575758	"GPIHBP1"	"RS1"	"CDH3"	"CA4"	"MMP1"	"KIF2C"	"TERT"	"FAM216B"	"HHIP"	"UBE2C"	"AC105206.1"	"UBE2C"	"COL17A1"	"GRIA1"	"LGI3"	"TMPRSS4"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ADRA1A"	"NPSR1.AS1"	"SFTPC"	"SFTPA2"	0.782051282051282	"CAV1"	"CAV1"	"COL17A1"	"SFTPD"	"BUB1B"	"PPP2R2C"	"CRABP2"	"PEBP4"	"CDH3"	"NAPSA"	"AL590226.1"	"SSTR1"	"MS4A8"	"ZFPM2.AS1"	"PADI3"	"HBA2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"TERT"	"TUBB3"	"CHRM1"	"PGC"	0.794486215538847	"BBOX1.AS1"	"TNNC1"	"CLDN18"	"MMP1"	"CA4"	"KRT14"	"GPA33"	"UPK3B"	"IVL"	"AC008268.1"	"SPINK1"	"CAVIN2"	"PRAME"	"RTKN2"	"GRIA1"	"SYT12"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"TUBB3"	"LINC00511"	"SFTPA2"	"ADRA1A"	0.76	"LINC01996"	"ACADL"	"PITX1"	"UBE2C"	"MMP3"	"ECEL1P2"	"FMO2"	"SLC46A2"	"KRT75"	"HMGA2"	"TROAP"	"CDH3"	"FCN3"	"FAM83A"	"OVCH1"	"CAV1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SFTPA1"	"HTR3C"	"MMP1"	"BUB1B"	0.75810855992814	"LINC00968"	"FAM189A2"	"GAL"	"AURKB"	"TMPRSS4"	"CD300LG"	"FERMT1"	"GABRA3"	"PLPP4"	"MYOC"	"DMRTA2"	"AC131649.2"	"PKHD1L1"	"TCF21"	"MYBL2"	"COL11A1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
