"mrmr"	"da"	"newDa"	"newDaScores"	"rf"	"MI"	"limma"	"daLFC"	"daRedMrmr"	"random.1"	"random.2"	"random.3"	"random.4"	"random.5"	"random.6"	"random.7"	"random.8"	"random.9"	"random.10"	"relief"	"top-random-1"	"top-random-2"	"top-random-3"	"top-random-4"	"top-random-5"	"top-random-6"	"top-random-7"	"top-random-8"	"top-random-9"	"top-random-10"
"GABRA3.GABRA3"	"ADH1B"	"GABRA3"	"GABRA3"	1	"FAM107A"	"AGER"	"PDK4"	"AGER"	"AGER"	"HS6ST2"	"DES"	"MCEMP1"	"IGSF9"	"SCGB3A1"	"CDC6"	"LGI3"	"FENDRR"	"ADAMTS7P3"	"CD300LG"	"HOXC11"	"VEGFA"	"TNF"	"ESR1"	"IL6"	"APOE"	"AKT1"	"IL6"	"ESR1"	"AKT1"	"TP53"
"WIF1"	"PAEP"	"ADRB1"	"WIF1"	1	"C2orf91"	"GPIHBP1"	"DLX6"	"ADRA1A"	"ADRA1A"	"SKA1"	"SFTPA1"	"CACNA2D2"	"AC093110.1"	"RTKN2"	"TMPRSS4"	"FCN3"	"ADAMTS7P3"	"CYP4Z2P"	"OTX1"	"BARX1"	"TGFB1"	"VEGFA"	"TGFB1"	"APOE"	"VEGFA"	"TP53"	"VEGFA"	"EGFR"	"EGFR"	"TNF"
"TERT"	"DLX6.AS1"	"ZBTB16"	"TERT"	0.964912280701754	"SLC6A4"	"CD5L"	"CACNA2D2"	"SFTPC"	"SFTPC"	"ITLN2"	"MMP10"	"CLDN18"	"BBOX1.AS1"	"TNNC1"	"SPP1"	"AQP4"	"FHL1"	"SFTPA2"	"CHIAP2"	"FOXD3.AS1"	"AKT1"	"AKT1"	"AKT1"	"VEGFA"	"ESR1"	"IL6"	"MTHFR"	"MTHFR"	"ESR1"	"MTHFR"
"SFTPD"	"SLC44A5"	"CHRNB4"	"SFTPD"	0.966810966810967	"CAVIN2"	"SFTPC"	"ANLN"	"TOP2A"	"SFTPD"	"RS1"	"SPRR1B"	"FABP4"	"KCNA4"	"CNTN6"	"CXCL13"	"OVCH1"	"AC010998.1"	"GABRA3"	"KIF14"	"NKX1.2"	"APOE"	"MTHFR"	"IL6"	"AKT1"	"IL6"	"MTHFR"	"EGFR"	"TP53"	"TGFB1"	"IL6"
"MMP1"	"PADI1"	"ADRA1A"	"SFTPC"	0.951388888888889	"AC096531.2"	"MYOC"	"GABRA3"	"MMP12"	"CHRNB4"	"POU6F2"	"KLK6"	"PLA2G4F"	"SCARA5"	"CYP4Z2P"	"PRX"	"OVCH2"	"DLX6"	"TCF21"	"ADRA1A"	"PGLYRP3"	"MTHFR"	"TP53"	"EGFR"	"EGFR"	"EGFR"	"TGFB1"	"TNF"	"VEGFA"	"APOE"	"APOE"
"MMP12"	"SPINK1"	"HOXC11"	"CHRNB4"	0.933720930232558	"ADH1B"	"AC095050.1"	"MARCO"	"SFTPD"	"TUBB3"	"KRT6A"	"GAL"	"IGF2BP3"	"LHFPL3.AS2"	"GRHL3"	"ADAMTS7P3"	"NUF2"	"GINS1"	"PTPRH"	"OVCH1"	"EEF1A2"	"TNF"	"ESR1"	"MTHFR"	"TGFB1"	"TP53"	"APOE"	"ESR1"	"TNF"	"MTHFR"	"VEGFA"
"CHRNB4"	"CSF3"	"TOP2A"	"TUBB3"	0.928030303030303	"GPIHBP1"	"AC096531.2"	"CYP24A1"	"GTSE1"	"WIF1"	"CTXND1"	"GPR87"	"C2orf91"	"FHL1"	"AURKB"	"TROAP"	"OTX1"	"GAL"	"HMGA2"	"F11"	"LY6D"	"EGFR"	"TGFB1"	"TNF"	"MTHFR"	"TNF"	"ESR1"	"TGFB1"	"IL6"	"VEGFA"	"EGFR"
"HMGA2"	"HOXC11"	"SFTPD"	"MMP1"	0.92965367965368	"AGER"	"HHIP"	"C8B"	"EDNRB"	"MMP12"	"FMO2"	"FCN3"	"IGFL2"	"PADI1"	"IGFL2"	"ECEL1P2"	"TNNC1"	"ATP10B"	"TERT"	"CBLC"	"CAV1"	"ESR1"	"APOE"	"VEGFA"	"TP53"	"TGFB1"	"EGFR"	"APOE"	"TGFB1"	"IL6"	"TGFB1"
"SFTPC"	"ITLN1"	"EDNRB"	"HMGA2"	0.91637323943662	"CD5L"	"ADH1B"	"FHL1"	"MMP1"	"TERT"	"SPP1"	"HOXC11"	"TNXB"	"COL6A6"	"SPRR2D"	"PGC"	"GPM6A"	"ABCA12"	"RASAL1"	"AC026369.3"	"FAM83B"	"TP53"	"EGFR"	"TP53"	"ESR1"	"AKT1"	"VEGFA"	"AKT1"	"AKT1"	"TNF"	"AKT1"
"SFTPA2"	"AKR1B10"	"SCN7A"	"MMP12"	0.891203703703704	"NPSR1.AS1"	"FHL1"	"DEPDC1"	"PRX"	"MMP1"	"TMPRSS4"	"KRT14"	"BBOX1.AS1"	"RAB3B"	"IGSF9"	"S100A7"	"SPRR2D"	"FAM83A"	"NXPH4"	"CHRDL1"	"AL049555.1"	"IL6"	"IL6"	"APOE"	"TNF"	"MTHFR"	"TNF"	"TP53"	"APOE"	"TP53"	"ESR1"
"MMP13"	"HTR3C"	"MMP13"	"TOP2A"	0.892857142857143	"SFTPC"	"AQP4"	"MYOC"	"VEGFD"	"PGC"	"CDC25C"	"C8B"	"MARCO"	"CHRM1"	"CHIAP2"	"FAM83A"	"GTSE1"	"KLK6"	"GRHL3"	"ZNF695"	"AC010998.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"EDNRB"	"WIF1"	"CBLC"	"MMP13"	0.880681818181818	"SFTPA1"	"NPSR1.AS1"	"DEPDC1B"	"RRM2"	"TOP2A"	"SFTPA1"	"AURKB"	"ZFPM2.AS1"	"AC013457.1"	"DEPDC1B"	"CTHRC1"	"AGER"	"OVCH1"	"HJURP"	"FAM83A"	"MIR924HG"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"AGER"	"AC013457.1"	"HMGA2"	"SCGB1A1"	0.824242424242424	"MYOC"	"ACADL"	"ZIC2"	"CHRNB4"	"SFTPA1"	"CD5L"	"IL1RAPL2"	"TROAP"	"LINC02864"	"C2orf91"	"SCGB3A1"	"ITLN1"	"AC007128.1"	"ACADL"	"BARX1"	"AC096531.2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SCGB1A1"	"TMPRSS11E"	"WIF1"	"SFTPA2"	0.818231162250067	"LINC00968"	"LGI3"	"ADRB1"	"TNXB"	"HMGA2"	"MYEOV"	"ECEL1P2"	"PGC"	"KCNMB2.AS1"	"SLC2A1"	"F11"	"TMPRSS11E"	"FAM83A.AS1"	"MFAP4"	"HOXC13"	"OVCH2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"HOXC11"	"MAGEA3"	"BUB1B"	"ADRA1A"	0.813492063492063	"TMEM100"	"LINC02016"	"EPN3"	"BUB1B"	"C2orf91"	"FOXE1"	"MARCO"	"TEDC2"	"FAM216B"	"GREM1"	"MS4A15"	"IGF2BP1"	"CSF3"	"STRA6"	"RS1"	"PLAC1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ADRB1"	"PI16"	"TERT"	"HOXC11"	0.81358024691358	"AQP4"	"TCF21"	"COL11A1"	"TUBB3"	"VEGFD"	"TEDC2"	"RRM2"	"AC008268.1"	"WIF1"	"OVCH1"	"OVCH1"	"DSG3"	"PEBP4"	"UBE2T"	"CTHRC1"	"HOXC10"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"TUBB3"	"LINC02864"	"CA4"	"BUB1B"	0.7875	"FHL1"	"TNXB"	"MCM10"	"CDC25C"	"SHOX2"	"MCEMP1"	"OVCH1"	"B4GALNT4"	"AURKB"	"MMP10"	"GPIHBP1"	"ATP10B"	"EXO1"	"CALML3"	"GJB6"	"HHIP"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SFTPA1"	"SFTPA1"	"SFTPC"	"AGER"	0.761025965051558	"SFTPA2"	"EDNRB"	"COL17A1"	"EXO1"	"RRM2"	"MARCO"	"NUF2"	"CEP55"	"TMPRSS11E"	"RASAL1"	"PRAME"	"SKA1"	"SPINK1"	"S100A7"	"LY6D"	"GDF10"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ADRA1A"	"KLK6"	"CHRM1"	"PGC"	0.766975308641975	"AC104984.2"	"UBE2T"	"ASPM"	"WIF1"	"SCGB1A1"	"FEZF1.AS1"	"SLC5A9"	"ANKRD1"	"AC026369.3"	"AC007128.1"	"CYP4B1"	"MMP10"	"PTPRH"	"PLA2G4F"	"MMP13"	"RAB3B"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"BUB1B"	"C8B"	"SFTPA2"	"EDNRB"	0.756674294431732	"CHRDL1"	"LINC00511"	"CLDN18"	"AURKB"	"HOXC11"	"CD300LG"	"GJB2"	"CHIAP2"	"CEP55"	"TFAP2A"	"VWA3A"	"RSPO1"	"DLGAP5"	"MS4A15"	"KRT6A"	"CYP24A1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"CHRM1"	"CYP24A1"	"MMP1"	"SFTPA1"	0.703703703703704	"SLC44A5"	"SLC6A4"	"PITX1"	"UBE2C"	"GTSE1"	"SCGB3A1"	"AC026369.3"	"PLPP4"	"S100A7"	"HOXB9"	"PEBP4"	"CNTN6"	"HOXC10"	"ITLN1"	"VIPR1"	"AC008268.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"HBB"	"FOSB"	"AGER"	"S100A7"	0.702023477863165	"SYT14"	"DES"	"GAL"	"CA4"	"TMPRSS4"	"NMU"	"AQP4"	"AC013457.1"	"ITLN1"	"GPR87"	"PLPP4"	"PGC"	"SHOX2"	"KRTAP4.1"	"GAL"	"GPM6A"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"S100A7"	"DLX6"	"TUBB3"	"CBLC"	0.699293043848988	"COL11A1"	"ADAMTS7P3"	"CD5L"	"TPX2"	"MMP13"	"KRT6B"	"MELK"	"AC135012.3"	"PSAT1"	"AC105206.1"	"FMO2"	"RPL13AP17"	"GREM1"	"PAEP"	"TNNC1"	"CSF3"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"CBLC"	"ZFPM2.AS1"	"MMP12"	"ADRB1"	0.691511387163561	"VEGFD"	"INMT"	"PPP2R2C"	"TERT"	"EDNRB"	"FOXD3.AS1"	"GPM6A"	"AC095050.1"	"OVCH2"	"VIPR1"	"ADH1B"	"RRM2"	"SLC24A2"	"GKN2"	"FAM83A.AS1"	"SFTPA1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ZBTB16"	"TMEM63C"	"HOXC13"	"TMPRSS4"	0.692274305555556	"RASAL1"	"SLC46A2"	"GTSE1"	"F11"	"AURKB"	"KRTAP4.1"	"FAM216B"	"ABCA12"	"MCM10"	"HOXC11"	"MYEOV"	"ACADL"	"SPRR3"	"GJB6"	"ADH1B"	"FOXE1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"TOP2A"	"SYT14"	"HBB"	"CYP24A1"	0.683	"HHIP"	"ADAMTS8"	"UBE2T"	"TMPRSS4"	"TFAP2A"	"CDCA5"	"PGLYRP3"	"EEF1A2"	"VIPR1"	"TPX2"	"MYOC"	"KRT14"	"ABCA8"	"S100A2"	"AL136164.3"	"KRT6B"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"HBA2"	"C20orf85"	"SCGB1A1"	"ZBTB16"	0.680742307692308	"CLEC3B"	"CLEC3B"	"PTPRH"	"RASAL1"	"HBA2"	"GPM6A"	"CYP4B1"	"CASC9"	"SPRR3"	"SFTA1P"	"LINC02016"	"HTR3C"	"GPA33"	"CACNA2D2"	"MYBL2"	"FEZF1.AS1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"CYP24A1"	"CST1"	"SFTPA1"	"CHRM1"	0.678889348819551	"VIPR1"	"PRX"	"CPB2"	"MYBL2"	"SFTPA2"	"CA4"	"HJURP"	"DLX6"	"FMO2"	"CDCA8"	"SUSD2"	"KRT6A"	"ANLN"	"ABCA12"	"MIR924HG"	"LYPD3"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"TFAP2A"	"COL17A1"	"COL17A1"	"MMP10"	0.665281227689892	"CLDN18"	"GPM6A"	"IGSF9"	"C2orf91"	"AKR1B10"	"RETN"	"TROAP"	"LY6D"	"SLC46A2"	"ABCA12"	"ZNF695"	"SLC2A1"	"RSPO1"	"RRM2"	"LYPD3"	"S100A2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"HBA1"	"AC009093.3"	"SCARA5"	"HOXC13"	0.662596551724138	"PI16"	"CAVIN2"	"TMPRSS11E"	"CBLC"	"SPP1"	"B3GNT3"	"SPP1"	"LINC00710"	"HBB"	"DUSP9"	"AC093110.1"	"PTPRH"	"AKR1B10"	"HOXC10"	"SUSD2"	"PADI1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
