"mrmr"	"da"	"newDa"	"newDaScores"	"rf"	"MI"	"limma"	"daLFC"	"daRedMrmr"	"random.1"	"random.2"	"random.3"	"random.4"	"random.5"	"random.6"	"random.7"	"random.8"	"random.9"	"random.10"	"relief"	"top-random-1"	"top-random-2"	"top-random-3"	"top-random-4"	"top-random-5"	"top-random-6"	"top-random-7"	"top-random-8"	"top-random-9"	"top-random-10"
"GABRA3.GABRA3"	"AGER"	"GABRA3"	"GABRA3"	1	"AGER"	"CLEC3B"	"PDK4"	"AGER"	"AGER"	"SCGB1A1"	"CA4"	"AC079160.1"	"MIR924HG"	"SEC14L3"	"ADRB1"	"CHRDL1"	"SYT14"	"MS4A15"	"ANGPT4"	"AGER"	"APOE"	"APOE"	"EGFR"	"IL6"	"TGFB1"	"AKT1"	"MTHFR"	"TP53"	"ESR1"	"IL6"
"WIF1"	"SPP1"	"ADRB1"	"WIF1"	1	"CLEC3B"	"ADH1B"	"DLX6"	"TOP2A"	"ADRA1A"	"EDNRB"	"CHIAP2"	"VWA3A"	"BARX1"	"PADI1"	"TNXB"	"S100A7"	"CACNA2D2"	"HOXC13"	"ZIC2"	"CLEC3B"	"AKT1"	"VEGFA"	"ESR1"	"MTHFR"	"EGFR"	"IL6"	"EGFR"	"ESR1"	"AKT1"	"TNF"
"TERT"	"RSPO1"	"ZBTB16"	"TERT"	0.964912280701754	"AQP4"	"AGER"	"CACNA2D2"	"TUBB3"	"SFTPC"	"LINC02016"	"SERPINB5"	"ZBTB16"	"ADRB1"	"AC135012.3"	"CDC25C"	"AL606469.1"	"SLC6A4"	"SCGB3A1"	"SPRR2D"	"GKN2"	"MTHFR"	"EGFR"	"IL6"	"AKT1"	"ESR1"	"TGFB1"	"AKT1"	"EGFR"	"VEGFA"	"AKT1"
"SFTPD"	"MEX3A"	"CHRNB4"	"SFTPD"	0.966810966810967	"FHL1"	"AQP4"	"ANLN"	"EDNRB"	"TOP2A"	"FAM189A2"	"CLEC3B"	"CHRM1"	"KIF2C"	"MMP13"	"SCARA5"	"ACADL"	"OTX1"	"GPM6A"	"IL1RL1"	"FAM107A"	"ESR1"	"TNF"	"MTHFR"	"EGFR"	"AKT1"	"VEGFA"	"ESR1"	"TNF"	"MTHFR"	"EGFR"
"MMP1"	"RASAL1"	"ADRA1A"	"SFTPC"	0.951388888888889	"GPM6A"	"RTKN2"	"GABRA3"	"GTSE1"	"SFTPD"	"AL049555.1"	"PBK"	"CDCA8"	"LINC02016"	"AC008268.1"	"CHRDL1"	"FAM83B"	"CTXND1"	"HOXC11"	"SYT12"	"ZFPM2.AS1"	"TP53"	"ESR1"	"APOE"	"ESR1"	"TP53"	"TNF"	"APOE"	"APOE"	"APOE"	"ESR1"
"MMP12"	"LINC02016"	"HOXC11"	"CHRNB4"	0.933720930232558	"LINC01996"	"LINC01996"	"MARCO"	"BUB1B"	"TUBB3"	"C2orf91"	"EEF1A2"	"TROAP"	"HBA2"	"AKR1B15"	"TMPRSS11E"	"TROAP"	"LINC01996"	"AC135012.3"	"SLC6A4"	"CD300LG"	"TNF"	"AKT1"	"TP53"	"TGFB1"	"MTHFR"	"APOE"	"TP53"	"TGFB1"	"TP53"	"TGFB1"
"CHRNB4"	"SLC24A2"	"TOP2A"	"TUBB3"	0.928030303030303	"RTKN2"	"CA4"	"CYP24A1"	"ADRA1A"	"TERT"	"PSAT1"	"SFTPC"	"GJB6"	"GNGT1"	"TROAP"	"AQP4"	"SFTPC"	"HHIP"	"B4GALNT4"	"GPA33"	"ITLN2"	"TGFB1"	"TGFB1"	"TGFB1"	"APOE"	"VEGFA"	"MTHFR"	"VEGFA"	"IL6"	"EGFR"	"VEGFA"
"HMGA2"	"LINC00968"	"SFTPD"	"MMP1"	0.92965367965368	"CLIC5"	"FHL1"	"C8B"	"PRX"	"MMP12"	"GRIA1"	"IGSF9"	"OVCH1"	"GRIA1"	"HMGA2"	"FAM189A2"	"ATP10B"	"AQP4"	"COL17A1"	"TMPRSS4"	"FHL1"	"VEGFA"	"IL6"	"VEGFA"	"VEGFA"	"APOE"	"TP53"	"TGFB1"	"AKT1"	"TGFB1"	"APOE"
"SFTPC"	"LGI3"	"EDNRB"	"HMGA2"	0.91637323943662	"ADAMTS8"	"EDNRB"	"FHL1"	"MMP12"	"EDNRB"	"CLDN18"	"SFTPA1"	"NEK2"	"LY6D"	"RAB3B"	"TCF21"	"MMP1"	"AC023301.1"	"SLC44A5"	"CLIC5"	"F11"	"EGFR"	"MTHFR"	"TNF"	"TP53"	"TNF"	"EGFR"	"TNF"	"MTHFR"	"TNF"	"MTHFR"
"SFTPA2"	"RTKN2"	"SCN7A"	"MMP12"	0.891203703703704	"ADH1B"	"VEGFD"	"DEPDC1"	"VEGFD"	"MMP1"	"CNTNAP2"	"CTXND1"	"TNNC1"	"LGI3"	"C20orf85"	"HBB"	"RTKN2"	"SFTPA1"	"PRAME"	"PKHD1L1"	"LGI3"	"IL6"	"TP53"	"AKT1"	"TNF"	"IL6"	"ESR1"	"IL6"	"VEGFA"	"IL6"	"TP53"
"MMP13"	"NPSR1.AS1"	"MMP13"	"TOP2A"	0.892857142857143	"BBOX1.AS1"	"FMO2"	"MYOC"	"RRM2"	"WIF1"	"LINC00511"	"WIF1"	"MEX3A"	"GPIHBP1"	"GRIA1"	"HBA1"	"GKN2"	"ZFPM2.AS1"	"LINC01996"	"NKX1.2"	"WIF1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"EDNRB"	"ASPM"	"CBLC"	"MMP13"	0.880681818181818	"TCF21"	"ITLN2"	"DEPDC1B"	"CDC25C"	"BUB1B"	"GINS1"	"KRTAP4.1"	"BUB1B"	"CLDN18"	"TNXB"	"SCGB3A2"	"LINC00968"	"CDCA8"	"COL6A6"	"LINC00710"	"VEGFD"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"AGER"	"FAM83A"	"HMGA2"	"SCGB1A1"	0.824242424242424	"PRX"	"CAVIN2"	"ZIC2"	"TERT"	"VEGFD"	"FAM83A.AS1"	"CA9"	"CHIAP2"	"MELK"	"FMO2"	"LINC00968"	"BARX1"	"CALML3"	"AC026369.3"	"FOXE1"	"SYT12"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
