"mrmr"	"da"	"newDa"	"newDaScores"	"rf"	"MI"	"limma"	"daLFC"	"daRedMrmr"	"random.1"	"random.2"	"random.3"	"random.4"	"random.5"	"random.6"	"random.7"	"random.8"	"random.9"	"random.10"	"relief"	"top-random-1"	"top-random-2"	"top-random-3"	"top-random-4"	"top-random-5"	"top-random-6"	"top-random-7"	"top-random-8"	"top-random-9"	"top-random-10"
"CALM2.CALM2"	"RN7SL2"	"NDUFS5"	"NDUFS5"	6.33001907137964e-06	"SPTBN1"	"BRK1"	"MTND2P28"	"AKT3"	"NDUFB7"	"SNORD15B"	"PPP3CA"	"MLC1"	"SYT1"	"MDH1"	"RAMP1"	"RPL34"	"DNAJC19P8"	"RN7SL2"	"MRFAP1"	"MALAT1"	"AKT1"	"AKT1"	"MTHFR"	"MTHFR"	"AKT1"	"TP53"	"IL6"	"ESR1"	"ESR1"	"EGFR"
"GRIA2"	"RPL10"	"RPL5"	"RPL5"	1	"DNAJC19P8"	"CNBP"	"ENO1"	"KLC1"	"AKT3"	"HSP90AA1"	"ADCYAP1R1"	"DNM1"	"AK5"	"RAMP1"	"NAPB"	"SCARNA5"	"RPLP1"	"BCAS1"	"HSPA1B"	"DNAJC19P8"	"IL6"	"IL6"	"EGFR"	"VEGFA"	"TNF"	"ESR1"	"EGFR"	"EGFR"	"TGFB1"	"ESR1"
"GLUL"	"SCARNA6"	"GLUL"	"GLUL"	0.991573033707865	"SNORA73B"	"ATP6V1F"	"C1QA"	"PCDH9"	"PCDH9"	"DYNLL1"	"RPLP1"	"ENHO"	"EEF1G"	"COX7C"	"OLIG1"	"DPYSL3"	"CPLX2"	"SCARNA9"	"LAPTM4A"	"FCF1P1"	"APOE"	"TGFB1"	"VEGFA"	"AKT1"	"APOE"	"MTHFR"	"TP53"	"AKT1"	"APOE"	"IL6"
"SLC1A2"	"OLFM2"	"CHI3L1"	"CHI3L1"	0.979674796747968	"SNORD3A"	"PTMS"	"C1QC"	"SPTBN1"	"KLC1"	"COX4I1"	"OLFM2"	"STMN1"	"VSNL1"	"ZNF483"	"RPL37A"	"SNORD3A"	"COX7C"	"PPP3CA"	"RTN4"	"SCARNA13"	"VEGFA"	"ESR1"	"TGFB1"	"ESR1"	"TGFB1"	"TNF"	"ESR1"	"TNF"	"EGFR"	"MTHFR"
"RPL5"	"EEF1G"	"AKT3"	"MOBP"	0.977272727272727	"SCARNA6"	"NDUFB7"	"C1QB"	"SPTAN1"	"ACTG1"	"SNORA54"	"ATP1B2"	"PREPL"	"TSC22D4"	"DAD1"	"SLC1A2"	"CPE"	"GNAS"	"CAMK2A"	"CD99"	"EEF1G"	"TP53"	"VEGFA"	"APOE"	"EGFR"	"IL6"	"AKT1"	"AKT1"	"APOE"	"IL6"	"VEGFA"
"FTL"	"SNORA49"	"MOBP"	"UCHL1"	0.965714285714286	"MTCO1P2"	"RPL41P1"	"ID3"	"IDS"	"PPDPF"	"RPL29"	"EEF1A1P5"	"BCAN"	"MOBP"	"SNORD17"	"FCF1P1"	"COX7C"	"TMSB10"	"IFI6"	"SNURF"	"SNORA73B"	"MTHFR"	"MTHFR"	"TNF"	"TP53"	"TP53"	"EGFR"	"MTHFR"	"TGFB1"	"MTHFR"	"TP53"
"KLC1"	"PEA15"	"RHOA"	"PPP3CA"	0.927901689726455	"SNORA49"	"LAPTM4A"	"STMN1"	"GRIA2"	"SPTBN1"	"PREPL"	"ID4"	"TPT1"	"RPL10"	"STMN1"	"SDC3"	"RPL26"	"RPL13A"	"TIMP1"	"DKK3"	"SCARNA9"	"TNF"	"APOE"	"TP53"	"IL6"	"ESR1"	"VEGFA"	"TNF"	"MTHFR"	"AKT1"	"TNF"
"TUBB"	"DST"	"SOX2"	"GPM6A"	0.904761904761905	"EEF1G"	"RAB7A"	"IFI6"	"NACA"	"APOE"	"GLUL"	"RNY3"	"RPS29"	"SCARNA5"	"DNM1"	"RPS18"	"FAU"	"NSF"	"ATP6V1F"	"B2M"	"SPTBN1"	"TGFB1"	"TP53"	"IL6"	"TNF"	"EGFR"	"TGFB1"	"TGFB1"	"IL6"	"TP53"	"TGFB1"
"QKI"	"SNORD3A"	"UCHL1"	"CAMK2A"	0.833333333333333	"SCARNA5"	"MARCKS"	"SNORA73B"	"ITM2B"	"ATRNL1"	"CHCHD2"	"DNAJC19P8"	"C1QA"	"RPL41P1"	"PGAM1"	"IDS"	"COX4I1"	"C1QB"	"GAP43"	"STMN1"	"CDR1"	"ESR1"	"TNF"	"ESR1"	"TGFB1"	"VEGFA"	"APOE"	"VEGFA"	"VEGFA"	"TNF"	"AKT1"
"NES"	"RAB7A"	"PPP3CA"	"HSPA1A"	0.830697597135129	"SNURF"	"PFN1"	"SDC3"	"MAP1B"	"ACTB"	"MTURN"	"SNURF"	"S100A6"	"APOE"	"RPL34"	"ATP1B2"	"SPTBN1"	"CHCHD2"	"SCARNA10"	"PCDH9"	"BCYRN1"	"EGFR"	"EGFR"	"AKT1"	"APOE"	"MTHFR"	"IL6"	"APOE"	"TP53"	"VEGFA"	"APOE"
"GNAS"	"SNORA74B"	"GRIA2"	"ACTB"	0.833333333333333	"RPL41P1"	"PPDPF"	"MARCKSL1"	"ANK2"	"SOX2"	"PCDH9"	"APOC1"	"EEF1A1"	"PLP1"	"UBC"	"SLC25A6"	"RPS29"	"PRKACB"	"CSRP1"	"LGALS1"	"RN7SL2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"YWHAE"	"SCARNA7"	"GPM6A"	"YWHAG"	0.828960055096419	"RMRP"	"SNORD15B"	"NDUFS5"	"PPP3CA"	"ITM2B"	"SNORA74B"	"YWHAH"	"OLFM2"	"CLDND1"	"RPL3"	"RTN4"	"NDRG4"	"ENO1"	"RHOA"	"CNBP"	"SCARNA6"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"IDS"	"PTMS"	"MAP1B"	"CLU"	0.802083333333333	"SNORA54"	"SNORA73B"	"YBX1"	"KIF5C"	"SPTAN1"	"S100B"	"TUBB"	"ENC1"	"SMOC1"	"PPIAP22"	"TUBB"	"CSRP1"	"SNORD15B"	"OLFM1"	"TIMP1"	"MEG3"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"RHOA"	"MATR3"	"CAMK2A"	"PSAT1"	0.802083333333333	"MALAT1"	"AKT3"	"AK5"	"ATRNL1"	"NACA"	"MEG3"	"CALM1"	"C1QL1"	"ACTG1"	"CNN3"	"NEFL"	"ATP1B1"	"SPARC"	"PFN1"	"YWHAG"	"SNORA49"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SOX2"	"SCARNA12"	"TUBB2B"	"SPTAN1"	0.778571428571429	"SCARNA13"	"SLC8A1"	"PRKACB"	"DYNLL1"	"NES"	"SPTBN1"	"MARCKS"	"IGFBP5"	"RPLP1"	"SPTBN1"	"AKT3"	"RPLP2"	"MRFAP1"	"ATRNL1"	"AGT"	"SNORD3A"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"VIM"	"PRDX5"	"TUBB"	"HTRA1"	0.755026107021926	"FCF1P1"	"BCYRN1"	"RPL5"	"DPYSL2"	"PTMS"	"RNY1"	"GAP43"	"GPX1"	"RPS15A"	"HSP90AA1"	"RPL13"	"ACTB"	"RPL34"	"VSNL1"	"FTH1"	"PWAR5"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ATP1B2"	"SNORA73B"	"HSPA1A"	"SLC1A2"	0.744650769636703	"RNY3"	"SPTBN1"	"CNN3"	"RPL31"	"CHCHD2"	"SNORA49"	"CNBP"	"GAP43"	"CALR"	"SCARNA5"	"ARHGAP21"	"HSPA1B"	"SNORA54"	"QKI"	"RNY1"	"SCARNA7"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NDUFB7"	"LAPTM4A"	"QKI"	"KIF5A"	0.709921368547419	"AKT3"	"SCARNA5"	"S100A11"	"SLC1A2"	"MAP1B"	"DST"	"B2M"	"CD63"	"ADCYAP1R1"	"OST4"	"COX4I1"	"DAD1"	"UBC"	"RHOB"	"SYT1"	"MTCO1P2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"APOE"	"AKT3"	"ACTB"	"ITM2B"	0.722222222222222	"SLC8A1"	"SCARNA6"	"S100A6"	"NSF"	"GRIA2"	"OST4"	"CALM2"	"SERINC1"	"RTN3"	"RPL7"	"PFN1"	"GAPDH"	"MTCO1P2"	"CHCHD2"	"PMP2"	"AKT3"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SNAP25"	"SCARNA13"	"YWHAG"	"PCDH9"	0.671052631578947	"PCDH9"	"SCARNA7"	"BCAN"	"GNAS"	"IDS"	"TUBA1B"	"RPL10A"	"RPL39"	"DNM1"	"GAP43"	"BCAN"	"SCARNA6"	"RPS21"	"RPS15A"	"GPI"	"SNORD17"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NDUFS5"	"SCARNA5"	"CLU"	"ACTG1"	0.669023724489796	"DST"	"ANK2"	"NES"	"RPL17"	"ATP1B2"	"AGT"	"APOE"	"RPS4X"	"MATR3"	"COX8A"	"DBI"	"SCARNA13"	"PRDX5"	"DYNLL1"	"DBNDD2"	"SCARNA5"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"CD74"	"ATP1B2"	"PSAT1"	"NCAN"	0.618610944666146	"RN7SL2"	"TRIM2"	"PEA15"	"DST"	"RHOA"	"COX8A"	"YWHAE"	"RAB7A"	"PWAR5"	"GLUL"	"MRFAP1"	"CKB"	"YWHAH"	"MRFAP1"	"SLC25A6"	"KLC1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"TUBB2B"	"BCYRN1"	"DNM1"	"APOE"	0.596590909090909	"CDR1"	"MATR3"	"ATP1B1"	"NDRG4"	"EEF2"	"EEF1G"	"SKP1"	"APOE"	"ATRNL1"	"RPS2"	"TRIM2"	"C1QC"	"RPS24"	"S100A11"	"SLC1A2"	"MATR3"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
