"mrmr"	"da"	"newDa"	"newDaScores"	"rf"	"MI"	"limma"	"daLFC"	"daRedMrmr"	"random.1"	"random.2"	"random.3"	"random.4"	"random.5"	"random.6"	"random.7"	"random.8"	"random.9"	"random.10"	"relief"	"top-random-1"	"top-random-2"	"top-random-3"	"top-random-4"	"top-random-5"	"top-random-6"	"top-random-7"	"top-random-8"	"top-random-9"	"top-random-10"
"CALM2.CALM2"	"BCYRN1"	"NDUFS5"	"NDUFS5"	6.33001907137964e-06	"DNAJC19P8"	"RPL41P1"	"MTND2P28"	"AKT3"	"AKT3"	"RPL41"	"SNAP25"	"SNURF"	"COX7C"	"FTH1"	"CSRP1"	"PSAP"	"ITM2B"	"RTN4"	"KIF5A"	"DNAJC19P8"	"MTHFR"	"EGFR"	"TP53"	"EGFR"	"TP53"	"TNF"	"ESR1"	"TNF"	"AKT1"	"MTHFR"
"GRIA2"	"LAPTM4A"	"GLUL"	"GLUL"	1	"BCYRN1"	"AKT3"	"ENO1"	"KLC1"	"KLC1"	"RPS15A"	"SPTAN1"	"TIMP1"	"TPT1"	"GPM6B"	"RHOA"	"CAMK2A"	"C1QL1"	"C1QC"	"SNORA73B"	"CDR1"	"VEGFA"	"TNF"	"IL6"	"TP53"	"APOE"	"MTHFR"	"VEGFA"	"EGFR"	"VEGFA"	"APOE"
"GLUL"	"EEF1G"	"CHI3L1"	"CHI3L1"	0.991573033707865	"NGRN"	"DNAJC19P8"	"C1QA"	"PCDH9"	"PCDH9"	"HSPA8"	"FOS"	"GRIA2"	"BCYRN1"	"ANXA5"	"RPL10A"	"RPS7"	"SCARNA5"	"SLC8A1"	"MRFAP1"	"MTCO1P2"	"EGFR"	"AKT1"	"ESR1"	"IL6"	"ESR1"	"IL6"	"AKT1"	"APOE"	"APOE"	"EGFR"
"EGFR"	"KLC1"	"AKT3"	"AKT3"	0.992592592592593	"EEF1G"	"BCYRN1"	"C1QC"	"SPTBN1"	"NDUFB7"	"PREPL"	"SPARC"	"SLC1A2"	"HSPA8"	"BCAS1"	"RPL30"	"ATP1B2"	"ATRNL1"	"RPL37A"	"RPS15A"	"FCF1P1"	"APOE"	"TP53"	"EGFR"	"ESR1"	"TNF"	"TP53"	"TP53"	"TP53"	"TP53"	"TGFB1"
"SLC1A2"	"DPYSL3"	"MOBP"	"MOBP"	0.981707317073171	"RMRP"	"SPTBN1"	"C1QB"	"IDS"	"SPTBN1"	"RMRP"	"PCDH9"	"RPS2"	"PRNP"	"STMN1"	"TMSB4XP8"	"COX8A"	"RPLP0"	"RPLP1"	"CKB"	"SNORD3A"	"TP53"	"IL6"	"TGFB1"	"VEGFA"	"IL6"	"APOE"	"TGFB1"	"AKT1"	"EGFR"	"AKT1"
"FTL"	"FCF1P1"	"RHOA"	"UCHL1"	0.968571428571429	"SPTBN1"	"MATR3"	"ID3"	"NACA"	"ACTG1"	"FOS"	"SOX8"	"RPL21"	"KLC1"	"CHI3L1"	"FOS"	"EGFR"	"NDRG4"	"PPP3CA"	"SLC25A5"	"MEG3"	"AKT1"	"ESR1"	"VEGFA"	"MTHFR"	"MTHFR"	"ESR1"	"APOE"	"IL6"	"ESR1"	"VEGFA"
"TUBB"	"AKT3"	"SOX2"	"PPP3CA"	0.944444444444444	"MTCO1P2"	"FCF1P1"	"STMN1"	"ITM2B"	"APOE"	"RPS11"	"NEFL"	"ERMN"	"PPIAP22"	"RPL41P1"	"RNY1"	"SDC3"	"GAP43"	"DYNLL1"	"RPL41"	"EEF1G"	"TGFB1"	"TGFB1"	"APOE"	"TGFB1"	"EGFR"	"EGFR"	"TNF"	"TGFB1"	"TGFB1"	"TNF"
"KLC1"	"SNORD3A"	"UCHL1"	"GPM6A"	0.927601786142186	"KLC1"	"RNY3"	"IFI6"	"SPTAN1"	"ATRNL1"	"UBC"	"CALM3"	"ATRNL1"	"SLC8A1"	"EEF2"	"BCAS1"	"RPS21"	"GABARAPL1"	"SPP1"	"RPL38"	"SPTBN1"	"TNF"	"MTHFR"	"MTHFR"	"AKT1"	"TGFB1"	"AKT1"	"MTHFR"	"MTHFR"	"TNF"	"TP53"
"NES"	"EEF2"	"PPP3CA"	"CAMK2A"	0.830697597135129	"MATR3"	"RMRP"	"SNORA73B"	"GRIA2"	"ITM2B"	"LAPTM4A"	"YWHAH"	"PPP3CA"	"EEF1G"	"PTN"	"LGALS1"	"NAPB"	"ZNF483"	"MAP1A"	"CPLX2"	"IDS"	"ESR1"	"APOE"	"AKT1"	"TNF"	"AKT1"	"VEGFA"	"IL6"	"VEGFA"	"MTHFR"	"IL6"
"GNAS"	"RMRP"	"GRIA2"	"HSPA1A"	0.824074074074074	"FCF1P1"	"EEF1G"	"LAPTM5"	"PPP3CA"	"NACA"	"DNM1"	"HTRA1"	"RPS16"	"PGAM1"	"CPLX2"	"IGFBP7"	"RPL10A"	"HES6"	"BCYRN1"	"PWAR5"	"RN7SL2"	"IL6"	"VEGFA"	"TNF"	"APOE"	"VEGFA"	"TGFB1"	"EGFR"	"ESR1"	"IL6"	"ESR1"
"RHOA"	"ACTG1"	"GPM6A"	"ACTB"	0.820833333333333	"SNORD3A"	"MTCO1P2"	"SDC3"	"KIF5C"	"NES"	"GPM6B"	"STMN1"	"KIF5A"	"SPTBN1"	"RHOA"	"TF"	"LGALS1"	"COX7C"	"MIR3609"	"RPL26"	"BCYRN1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"QKI"	"MATR3"	"MAP1B"	"YWHAG"	0.808080808080808	"AKT3"	"KLC1"	"MARCKSL1"	"ANK2"	"ACTB"	"MTURN"	"YWHAZ"	"RPL13A"	"TUBB"	"SPTAN1"	"PTTG1IP"	"CDR1"	"CHI3L1"	"MBP"	"ENC1"	"KIF5A"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"IDS"	"PTPRZ1"	"CAMK2A"	"CLU"	0.8125	"RNY3"	"SNURF"	"NDUFS5"	"ATRNL1"	"SOX2"	"SCARNA7"	"RPL41"	"RPL10"	"DNM1"	"MBP"	"FCF1P1"	"MIR3609"	"TMSB10"	"PRNP"	"HSP90AA1"	"SLC1A2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SOX2"	"RPL17"	"TUBB2B"	"SPTAN1"	0.776923076923077	"SNURF"	"NGRN"	"YBX1"	"RPL31"	"SPTAN1"	"SERINC1"	"RPS16"	"RPS28P7"	"HSPA1A"	"TRIM2"	"A2M"	"SCARNA10"	"A2M"	"CADM4"	"RN7SL3"	"RPL17"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"VIM"	"PCDH9"	"TUBB"	"HTRA1"	0.755948295658433	"RPL41P1"	"SNORD3A"	"AK5"	"DYNLL1"	"PLTP"	"RHOB"	"GABARAPL1"	"COX4I1"	"S100A11"	"OLIG1"	"CALR"	"SPTAN1"	"RPS11"	"NGRN"	"ATP1B1"	"CAMK2A"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ATP1B2"	"CNBP"	"HSPA1A"	"SLC1A2"	0.745976557357125	"RPL17"	"RPL17"	"PRKACB"	"NSF"	"IDS"	"COX8A"	"RPL6"	"EIF4A2"	"COX6A1"	"ITM2C"	"SLC1A2"	"MTND2P28"	"AK5"	"OLIG1"	"MBP"	"RPL37A"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NDUFB7"	"DNAJC19P8"	"QKI"	"KIF5A"	0.713297353316327	"ZNF483"	"ZNF483"	"CNN3"	"GNAS"	"CHCHD2"	"PRKACB"	"CADM4"	"CHN1"	"SLC25A6"	"ENC1"	"RN7SL2"	"RPS16"	"RPL8"	"RPS2"	"FTL"	"RPL38"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"APOE"	"MTCO1P2"	"ACTB"	"ITM2B"	0.720588235294118	"CDR1"	"EEF1A1P5"	"S100A11"	"NDRG4"	"EEF2"	"MTND2P28"	"MOBP"	"C1QB"	"CAMK2A"	"RPL6"	"SDC3"	"RPL21"	"RPL23"	"IFITM3"	"TUBA1B"	"EEF1A1P5"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"PRNP"	"PTTG1IP"	"EGFR"	"PCDH9"	0.708333333333333	"ATRNL1"	"ATRNL1"	"S100A6"	"SNAP25"	"KIF5C"	"TUBB"	"EEF1A1P5"	"UCHL1"	"GAP43"	"PTMA"	"HSPA1A"	"RPS17"	"PMP2"	"PRKACB"	"GNAS"	"KLC1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"NDUFS5"	"NGRN"	"YWHAG"	"ACTG1"	0.675237567132116	"LAPTM4A"	"CDR1"	"BCAN"	"CAMK2A"	"PFN1"	"PGAM1"	"GAPDH"	"S100A6"	"OLFM1"	"UBC"	"SCARNA5"	"OLFM1"	"ALDOA"	"SLC25A6"	"AQP1"	"CSRP1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
