"mrmr"	"da"	"newDa"	"newDaScores"	"rf"	"MI"	"limma"	"daLFC"	"daRedMrmr"	"random.1"	"random.2"	"random.3"	"random.4"	"random.5"	"random.6"	"random.7"	"random.8"	"random.9"	"random.10"	"relief"	"top-random-1"	"top-random-2"	"top-random-3"	"top-random-4"	"top-random-5"	"top-random-6"	"top-random-7"	"top-random-8"	"top-random-9"	"top-random-10"
"CALM2.CALM2"	"RMRP"	"NDUFS5"	"NDUFS5"	6.33001907137964e-06	"MTCO1P2"	"RPL41P1"	"MTND2P28"	"AKT3"	"NDUFB7"	"ITM2C"	"GPM6B"	"ACTB"	"EGFR"	"PTN"	"DBNDD2"	"TPT1"	"A2M"	"RN7SL4P"	"GPM6A"	"DNAJC19P8"	"VEGFA"	"TNF"	"ESR1"	"IL6"	"APOE"	"AKT1"	"IL6"	"ESR1"	"AKT1"	"TP53"
"GRIA2"	"PTMS"	"GLUL"	"GLUL"	1	"SPTBN1"	"LAPTM4A"	"ENO1"	"KLC1"	"AKT3"	"BCAS1"	"RPL10"	"S100B"	"RPS16"	"TIMP1"	"TUBA1B"	"S100A6"	"B2M"	"RPS16"	"BCYRN1"	"FCF1P1"	"TGFB1"	"VEGFA"	"TGFB1"	"APOE"	"VEGFA"	"TP53"	"VEGFA"	"EGFR"	"EGFR"	"TNF"
"GLUL"	"KLC1"	"CHI3L1"	"CHI3L1"	0.991573033707865	"LINC00504"	"PFN1"	"C1QA"	"PCDH9"	"PCDH9"	"EEF2"	"UBC"	"EGFR"	"IFI6"	"MIR3609"	"CRYAB"	"PFN1"	"MTND2P28"	"S100A6"	"APOE"	"LINC00504"	"AKT1"	"AKT1"	"AKT1"	"VEGFA"	"ESR1"	"IL6"	"MTHFR"	"MTHFR"	"ESR1"	"MTHFR"
"EGFR"	"EEF1G"	"AKT3"	"AKT3"	0.992592592592593	"RMRP"	"NDUFB7"	"C1QC"	"SPTBN1"	"KLC1"	"HES6"	"RN7SL2"	"C1QL1"	"ATP1B1"	"PRDX5"	"HSP90AA1"	"BCYRN1"	"SERINC1"	"GPM6A"	"RPL10"	"EEF1G"	"APOE"	"MTHFR"	"IL6"	"AKT1"	"IL6"	"MTHFR"	"EGFR"	"TP53"	"TGFB1"	"IL6"
"SLC1A2"	"DPYSL3"	"MOBP"	"MOBP"	0.981707317073171	"CDR1"	"AKT3"	"C1QB"	"IDS"	"ACTG1"	"RPL31"	"CRYAB"	"YWHAG"	"SCARNA21"	"TMSB4XP8"	"NDRG4"	"AK5"	"RPL37A"	"NEFL"	"DKK3"	"CDR1"	"MTHFR"	"TP53"	"EGFR"	"EGFR"	"EGFR"	"TGFB1"	"TNF"	"VEGFA"	"APOE"	"APOE"
"FTL"	"BCYRN1"	"RHOA"	"UCHL1"	0.968571428571429	"BCYRN1"	"DNAJC19P8"	"ID3"	"SPTAN1"	"SPTBN1"	"RPS21"	"RPS7"	"CADM4"	"A2M"	"RPL10A"	"PPP3CA"	"LAPTM5"	"ANK2"	"CNN3"	"S100A6"	"RN7SL2"	"TNF"	"ESR1"	"MTHFR"	"TGFB1"	"TP53"	"APOE"	"ESR1"	"TNF"	"MTHFR"	"VEGFA"
"TUBB"	"SNORD3A"	"SOX2"	"PPP3CA"	0.944444444444444	"MATR3"	"BCYRN1"	"STMN1"	"NACA"	"APOE"	"KIF5A"	"ANK2"	"RPS28P7"	"CPLX2"	"NDRG2"	"PRKACB"	"RPS17"	"TMSB10"	"SLC25A6"	"A2M"	"MEG3"	"EGFR"	"TGFB1"	"TNF"	"MTHFR"	"TNF"	"ESR1"	"TGFB1"	"IL6"	"VEGFA"	"EGFR"
"KLC1"	"FCF1P1"	"UCHL1"	"GPM6A"	0.927601786142186	"RPL41P1"	"SPTBN1"	"IFI6"	"ITM2B"	"ITM2B"	"DBNDD2"	"C3"	"RPLP2"	"HSPA1B"	"RPL21"	"C3"	"SCARNA10"	"MLC1"	"OLIG1"	"RPL39"	"SPTBN1"	"ESR1"	"APOE"	"VEGFA"	"TP53"	"TGFB1"	"EGFR"	"APOE"	"TGFB1"	"IL6"	"TGFB1"
"NES"	"NES"	"PPP3CA"	"CAMK2A"	0.830697597135129	"DNAJC19P8"	"LINC00504"	"SNORA73B"	"PPP3CA"	"ATRNL1"	"NEFL"	"SPARC"	"MTURN"	"TIMP1"	"SCARNA13"	"RPL39"	"GAP43"	"TMEM144"	"S100A16"	"CSRP1"	"BCYRN1"	"TP53"	"EGFR"	"TP53"	"ESR1"	"AKT1"	"VEGFA"	"AKT1"	"AKT1"	"TNF"	"AKT1"
"GNAS"	"AKT3"	"GRIA2"	"HSPA1A"	0.824074074074074	"FCF1P1"	"TRIM2"	"LAPTM5"	"GRIA2"	"NACA"	"MAP1A"	"CLU"	"SOX2"	"RPL31"	"MAP1A"	"S100A11"	"PSAP"	"QKI"	"NMB"	"STMN1"	"RPL17"	"IL6"	"IL6"	"APOE"	"TNF"	"MTHFR"	"TNF"	"TP53"	"APOE"	"TP53"	"ESR1"
