"mrmr"	"da"	"newDa"	"newDaScores"	"rf"	"MI"	"limma"	"daLFC"	"daRedMrmr"	"random.1"	"random.2"	"random.3"	"random.4"	"random.5"	"random.6"	"random.7"	"random.8"	"random.9"	"random.10"	"relief"	"top-random-1"	"top-random-2"	"top-random-3"	"top-random-4"	"top-random-5"	"top-random-6"	"top-random-7"	"top-random-8"	"top-random-9"	"top-random-10"
"CALM2.CALM2"	"DNAJC19P8"	"NDUFS5"	"NDUFS5"	6.33001907137964e-06	"MTCO1P2"	"RPL41P1"	"MTND2P28"	"AKT3"	"KLC1"	"ZNF483"	"TUBB2B"	"DPYSL3"	"NACA"	"NDUFB7"	"CD63"	"TUBA1A"	"BCAS1"	"MAP1A"	"VIM"	"DNAJC19P8"	"IL6"	"TNF"	"MTHFR"	"VEGFA"	"APOE"	"ESR1"	"AKT1"	"MTHFR"	"APOE"	"IL6"
"GRIA2"	"RPS16"	"GLUL"	"GLUL"	1	"RPL17"	"DNAJC19P8"	"ENO1"	"KLC1"	"AKT3"	"C1QA"	"NDRG4"	"CALM3"	"MARCKS"	"SNURF"	"GPI"	"GAP43"	"SCARNA9"	"GAPDH"	"ATP6V1F"	"FCF1P1"	"TNF"	"APOE"	"EGFR"	"TP53"	"IL6"	"AKT1"	"MTHFR"	"TP53"	"ESR1"	"VEGFA"
"GLUL"	"TTLL7"	"CHI3L1"	"CHI3L1"	0.991573033707865	"RNY3"	"BCYRN1"	"C1QA"	"PCDH9"	"PCDH9"	"KIF5A"	"RPLP2"	"NDUFS5"	"RHOB"	"QKI"	"RPL37A"	"AK5"	"MDH1"	"RPL7"	"RPL7A"	"EEF1G"	"ESR1"	"IL6"	"TGFB1"	"EGFR"	"EGFR"	"TGFB1"	"VEGFA"	"ESR1"	"EGFR"	"MTHFR"
"EGFR"	"BCYRN1"	"AKT3"	"AKT3"	0.992592592592593	"NGRN"	"SPTBN1"	"C1QC"	"SPTBN1"	"NDUFB7"	"RPL38"	"MTND2P28"	"ACTB"	"HSPA1B"	"APOE"	"PREPL"	"YWHAH"	"NDUFS5"	"RPS4X"	"MOBP"	"LINC00504"	"EGFR"	"VEGFA"	"TP53"	"APOE"	"TGFB1"	"VEGFA"	"IL6"	"AKT1"	"TP53"	"TGFB1"
"SLC1A2"	"AKT3"	"MOBP"	"MOBP"	0.981707317073171	"SPTBN1"	"LINC00504"	"C1QB"	"IDS"	"ACTG1"	"TPT1"	"RPS15A"	"SCARNA10"	"GPX1"	"MOBP"	"CNN3"	"RPS17"	"SNORD3A"	"MALAT1"	"NDUFS5"	"CDR1"	"VEGFA"	"TP53"	"ESR1"	"AKT1"	"TNF"	"TNF"	"TNF"	"VEGFA"	"VEGFA"	"TNF"
"FTL"	"DPYSL3"	"RHOA"	"UCHL1"	0.968571428571429	"DNAJC19P8"	"MATR3"	"ID3"	"ITM2B"	"SPTBN1"	"RPL34"	"HSPB1"	"C1QC"	"RNY3"	"SCARNA5"	"TAGLN2"	"DST"	"UCHL1"	"RPL29"	"ARHGAP21"	"RPL17"	"APOE"	"EGFR"	"VEGFA"	"TGFB1"	"TP53"	"APOE"	"ESR1"	"EGFR"	"AKT1"	"TP53"
"TUBB"	"EEF1G"	"SOX2"	"PPP3CA"	0.944444444444444	"BCYRN1"	"FCF1P1"	"STMN1"	"NACA"	"APOE"	"LGALS1"	"UBC"	"RPS12"	"PLP1"	"SNORD3A"	"ENC1"	"MT2A"	"RTN4"	"HSPA5"	"PSAP"	"MATR3"	"MTHFR"	"TGFB1"	"APOE"	"TNF"	"MTHFR"	"MTHFR"	"TGFB1"	"APOE"	"TGFB1"	"APOE"
"KLC1"	"SNORD3A"	"UCHL1"	"GPM6A"	0.927601786142186	"SNORD3A"	"RNY3"	"IFI6"	"SPTAN1"	"ACTB"	"PTMA"	"RTN4"	"MAP1B"	"CALR"	"DBNDD2"	"SLC25A6"	"COX4I1"	"RPS16"	"RTN4"	"RPS11"	"SNORD3A"	"AKT1"	"AKT1"	"IL6"	"IL6"	"AKT1"	"IL6"	"TP53"	"TGFB1"	"IL6"	"ESR1"
"NES"	"ACTG1"	"PPP3CA"	"CAMK2A"	0.830697597135129	"RMRP"	"RMRP"	"SNORA73B"	"GRIA2"	"ATRNL1"	"UCHL1"	"RPS16"	"GAP43"	"TMSB10"	"RPL41P1"	"SCARNA13"	"CNBP"	"IDS"	"SLC8A1"	"MAP2"	"MTCO1P2"	"TP53"	"MTHFR"	"TNF"	"ESR1"	"VEGFA"	"TP53"	"EGFR"	"TNF"	"MTHFR"	"AKT1"
"GNAS"	"MATR3"	"GRIA2"	"HSPA1A"	0.824074074074074	"FCF1P1"	"EEF1G"	"LAPTM5"	"PPP3CA"	"NACA"	"NDUFB7"	"NMB"	"RN7SL3"	"RNY1"	"RPS17"	"CHCHD2"	"S100B"	"PPP3CA"	"CHN1"	"RPLP0"	"NAP1L1"	"TGFB1"	"ESR1"	"AKT1"	"MTHFR"	"ESR1"	"EGFR"	"APOE"	"IL6"	"TNF"	"EGFR"
