"mrmr"	"da"	"newDa"	"newDaScores"	"rf"	"MI"	"limma"	"daLFC"	"daRedMrmr"	"random.1"	"random.2"	"random.3"	"random.4"	"random.5"	"random.6"	"random.7"	"random.8"	"random.9"	"random.10"	"relief"	"top-random-1"	"top-random-2"	"top-random-3"	"top-random-4"	"top-random-5"	"top-random-6"	"top-random-7"	"top-random-8"	"top-random-9"	"top-random-10"
"SLC4A1.SLC4A1"	"AQP2"	"SLC4A1"	"SLC4A1"	1	"AQP2"	"ACPP"	"SLC4A1"	"AQP2"	"AQP2"	"FABP6"	"CASR"	"CDCA2"	"ALDOB"	"GP2"	"ADAMDEC1"	"F11.AS1"	"AC092078.2"	"FAM245A"	"MT1H"	"TFAP2B"	"IL6"	"TNF"	"MTHFR"	"VEGFA"	"APOE"	"ESR1"	"AKT1"	"MTHFR"	"APOE"	"IL6"
"GABRA2"	"AL391845.2"	"CASR"	"CASR"	1	"PTGER1"	"DUSP9"	"PRSS22"	"UMOD"	"PTGER1"	"TMEM174"	"FOLR3"	"CD70"	"ERBB4"	"CHRNA1"	"LINC02499"	"KLK1"	"MYBL2"	"OLFM4"	"ADAM18"	"GABRA2"	"TNF"	"APOE"	"EGFR"	"TP53"	"IL6"	"AKT1"	"MTHFR"	"TP53"	"ESR1"	"VEGFA"
"CALCA"	"SDS"	"SLC12A3"	"ATP6V0A4"	0.993055555555556	"CLDN19"	"AQP2"	"SLC13A2"	"KCNJ1"	"UMOD"	"FGF9"	"KLK7"	"PTGER1"	"AP006333.1"	"BRINP3"	"PRR35"	"SYT7"	"SDS"	"FABP7"	"TYRP1"	"SCNN1G"	"ESR1"	"IL6"	"TGFB1"	"EGFR"	"EGFR"	"TGFB1"	"VEGFA"	"ESR1"	"EGFR"	"MTHFR"
"CDKN2A"	"CDKN2A"	"SLC12A1"	"CLDN16"	0.984934086629002	"UMOD"	"UMOD"	"TFAP2B"	"SLC12A3"	"SCNN1G"	"ADH1B"	"TSPAN8"	"SPTBN2"	"LINC00645"	"ZNF209P"	"SLC26A7"	"ESRRB"	"SLC30A2"	"LINC01612"	"AP006333.1"	"AQP2"	"EGFR"	"VEGFA"	"TP53"	"APOE"	"TGFB1"	"VEGFA"	"IL6"	"AKT1"	"TP53"	"TGFB1"
"CLDN19"	"ACPP"	"ATP6V0A4"	"NPHS2"	0.982758620689655	"SFRP1"	"LINC02437"	"IYD"	"CDKN2A"	"CLDN19"	"NDUFA4L2"	"CR2"	"LINC02499"	"KLK6"	"PADI1"	"NXPH2"	"FABP1"	"IRX2"	"DMRT2"	"TNFSF9"	"OLFM4"	"VEGFA"	"TP53"	"ESR1"	"AKT1"	"TNF"	"TNF"	"TNF"	"VEGFA"	"VEGFA"	"TNF"
"CR2"	"PTGER1"	"CALCA"	"CR2"	0.973015873015873	"RASL11B"	"GP2"	"SYT7"	"KCNJ10"	"CDKN2A"	"AC010655.2"	"SLC5A2"	"AC114803.1"	"SCN7A"	"RAB25"	"CDKN2A"	"AC122134.1"	"MAPK4"	"LINC02303"	"AQP2"	"MUC15"	"APOE"	"EGFR"	"VEGFA"	"TGFB1"	"TP53"	"APOE"	"ESR1"	"EGFR"	"AKT1"	"TP53"
"PLG"	"OVCH2"	"CLDN16"	"ALDOB"	0.958920187793427	"KNG1"	"PTGER1"	"ACPP"	"SLC12A1"	"KCNJ10"	"NLRP3P1"	"ALDOB"	"PVT1"	"DUSP9"	"AL031726.1"	"CLDN19"	"ACOT12"	"CYP17A1"	"LINC02048"	"LAD1"	"TRPV5"	"MTHFR"	"TGFB1"	"APOE"	"TNF"	"MTHFR"	"MTHFR"	"TGFB1"	"APOE"	"TGFB1"	"APOE"
"LMX1B"	"GP2"	"ATP6V1B1"	"SLC6A3"	0.950980392156863	"SCNN1G"	"SCNN1G"	"DPEP1"	"PTGER1"	"KCNJ1"	"ERVE.1"	"NDNF"	"SLC6A3"	"LINC00475"	"HEPACAM2"	"CNTN1"	"FAM83B"	"CLDN8"	"PRR35"	"TSPAN8"	"PRSS22"	"AKT1"	"AKT1"	"IL6"	"IL6"	"AKT1"	"IL6"	"TP53"	"TGFB1"	"IL6"	"ESR1"
"CA9"	"IRX2"	"NPHS2"	"CDKN2A"	0.950112019777031	"GP2"	"SLC12A1"	"CNTN1"	"SCNN1G"	"SLC12A1"	"TUBAL3"	"AL031726.1"	"LHX1.DT"	"FGF9"	"CLDN8"	"CRABP1"	"TMEM238L"	"TMEM72"	"HTRA4"	"CDCA2"	"FXYD4"	"TP53"	"MTHFR"	"TNF"	"ESR1"	"VEGFA"	"TP53"	"EGFR"	"TNF"	"MTHFR"	"AKT1"
"ATP6V1B1"	"IL20RB"	"CR2"	"KCNJ1"	0.943055555555556	"SLC12A1"	"CLDN19"	"INSRR"	"BSND"	"SLC12A3"	"LINC00887"	"ADH1B"	"AC122134.1"	"TFCP2L1"	"ATP6V0A4"	"LINC01543"	"FBN3"	"CA10"	"MUC15"	"AL109615.1"	"AC023154.1"	"TGFB1"	"ESR1"	"AKT1"	"MTHFR"	"ESR1"	"EGFR"	"APOE"	"IL6"	"TNF"	"EGFR"
"COL4A6"	"LAD1"	"PLG"	"FREM1"	0.925925925925926	"FXYD4"	"MUC15"	"CASR"	"GP2"	"CASR"	"OLFM4"	"LINC00887"	"NPHS2"	"AC092078.2"	"ACPP"	"TNNT2"	"ADAMDEC1"	"HPCAL4"	"F11.AS1"	"NPTX2"	"ERVE.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SCNN1G"	"TMEM238L"	"SLC34A1"	"SCNN1G"	0.91	"CDKN2A"	"PRR35"	"EPN3"	"CLDN19"	"ATP6V0A4"	"POU3F4"	"MAPK4"	"HAMP"	"CR2"	"HMX2"	"SLC4A9"	"SLC12A1"	"LINC02499"	"LHX1.DT"	"PROZ"	"TMPRSS4"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"HSD11B2"	"LINC01230"	"G6PC"	"SCNN1B"	0.895	"DUSP9"	"CDKN2A"	"PTGER3"	"SCNN1B"	"COL4A6"	"KISS1R"	"ANGPTL4"	"IYD"	"ADAM18"	"AC112243.1"	"KLK7"	"GPC5"	"LINC02303"	"RPS24P17"	"CLDN8"	"AL139280.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
