"mrmr"	"da"	"newDa"	"newDaScores"	"rf"	"MI"	"limma"	"daLFC"	"daRedMrmr"	"random.1"	"random.2"	"random.3"	"random.4"	"random.5"	"random.6"	"random.7"	"random.8"	"random.9"	"random.10"	"relief"	"top-random-1"	"top-random-2"	"top-random-3"	"top-random-4"	"top-random-5"	"top-random-6"	"top-random-7"	"top-random-8"	"top-random-9"	"top-random-10"
"SLC4A1.SLC4A1"	"AQP2"	"SLC4A1"	"SLC4A1"	1	"AQP2"	"SCNN1G"	"SLC4A1"	"AQP2"	"SCNN1G"	"CYP17A1"	"HEPACAM2"	"OXGR1"	"ADAMDEC1"	"KCNJ10"	"CTXN3"	"RAB25"	"FABP7"	"CLCNKB"	"SCN7A"	"CA9"	"AKT1"	"AKT1"	"MTHFR"	"MTHFR"	"AKT1"	"TP53"	"IL6"	"ESR1"	"ESR1"	"EGFR"
"GABRA2"	"AL391845.2"	"CASR"	"CASR"	1	"SFRP1"	"AQP2"	"PRSS22"	"UMOD"	"AQP2"	"AC092078.2"	"AL139280.1"	"ADAMDEC1"	"SCNN1G"	"TUBAL3"	"CLDN19"	"TSPAN8"	"MUC12"	"SDS"	"CALB1"	"SLC6A3"	"IL6"	"IL6"	"EGFR"	"VEGFA"	"TNF"	"ESR1"	"EGFR"	"EGFR"	"TGFB1"	"ESR1"
"CALCA"	"APOC1"	"SLC12A3"	"ATP6V0A4"	0.993055555555556	"CLDN19"	"SLC12A1"	"SLC13A2"	"KCNJ1"	"UMOD"	"GABRA2"	"HS3ST2"	"RPS24P17"	"AC124017.1"	"TCEAL2"	"GABRA2"	"AC093904.4"	"RAB25"	"L1CAM"	"FAM3B"	"NDUFA4L2"	"APOE"	"TGFB1"	"VEGFA"	"AKT1"	"APOE"	"MTHFR"	"TP53"	"AKT1"	"APOE"	"IL6"
"CDKN2A"	"RASL11B"	"SLC12A1"	"CLDN16"	0.984934086629002	"TFAP2B"	"DUSP9"	"TFAP2B"	"CDKN2A"	"CLDN19"	"CYP4A11"	"LINC01896"	"SPTBN2"	"AFM"	"CDCA2"	"PVALB"	"GCGR"	"TFCP2L1"	"CDCA2"	"SLC7A13"	"LINC00887"	"VEGFA"	"ESR1"	"TGFB1"	"ESR1"	"TGFB1"	"TNF"	"ESR1"	"TNF"	"EGFR"	"MTHFR"
"CLDN19"	"CDKN2A"	"ATP6V0A4"	"NPHS2"	0.982758620689655	"KCNJ1"	"UMOD"	"IYD"	"SLC12A3"	"KCNJ1"	"GPC5"	"ITGAD"	"MT1G"	"LINC01055"	"TRPV6"	"PAPPA2"	"ACOT12"	"ERVE.1"	"PNCK"	"RHBG"	"OLFM4"	"TP53"	"VEGFA"	"APOE"	"EGFR"	"IL6"	"AKT1"	"AKT1"	"APOE"	"IL6"	"VEGFA"
"PLG"	"TMEM238L"	"CALCA"	"WNK4"	0.971830985915493	"SCNN1G"	"ACPP"	"ACPP"	"SLC12A1"	"PTGER1"	"AFM"	"SLC22A8"	"AC010329.1"	"LINC02747"	"HPD"	"HSD11B2"	"ALB"	"AP000696.1"	"TMPRSS4"	"ATP6V0A4"	"KLRG2"	"MTHFR"	"MTHFR"	"TNF"	"TP53"	"TP53"	"EGFR"	"MTHFR"	"TGFB1"	"MTHFR"	"TP53"
"CA9"	"LINC01230"	"CLDN16"	"ALDOB"	0.952005930779909	"PTGER1"	"CLDN19"	"DPEP1"	"KCNJ10"	"KCNJ10"	"APOC1"	"AL035661.1"	"TNFAIP6"	"CYP2B6"	"EGF"	"PVT1"	"CASR"	"AC114803.1"	"CASR"	"DPEP1"	"LINC02747"	"TNF"	"APOE"	"TP53"	"IL6"	"ESR1"	"VEGFA"	"TNF"	"MTHFR"	"AKT1"	"TNF"
"ATP6V1B1"	"TCF21"	"ATP6V1B1"	"SLC6A3"	0.957142857142857	"SLC12A1"	"KCNJ1"	"CNTN1"	"PTGER1"	"CDKN2A"	"AP006333.1"	"CLDN8"	"SLC6A3"	"GPC5"	"FAM245A"	"ABCA4"	"CHRNA4"	"ASB15"	"SALL3"	"KCNJ10"	"IRX1"	"TGFB1"	"TP53"	"IL6"	"TNF"	"EGFR"	"TGFB1"	"TGFB1"	"IL6"	"TP53"	"TGFB1"
"COL4A6"	"CHRNA1"	"NPHS2"	"CDKN2A"	0.931712962962963	"CDKN2A"	"KNG1"	"INSRR"	"SCNN1G"	"SLC12A1"	"KCNJ1"	"MYO3B"	"C5orf46"	"SLC12A3"	"SLC13A2"	"FRMD7"	"TNNI1"	"ERBB4"	"APOC1"	"SLC22A8"	"GABRD"	"ESR1"	"TNF"	"ESR1"	"TGFB1"	"VEGFA"	"APOE"	"VEGFA"	"VEGFA"	"TNF"	"AKT1"
"SCNN1G"	"CLDN19"	"PLG"	"KCNJ1"	0.918888888888889	"FXYD4"	"PTGER1"	"CASR"	"CLDN19"	"CASR"	"LINC02121"	"AC087045.3"	"AC104237.3"	"NUPR2"	"AC087045.3"	"NUPR2"	"TMEM238L"	"NPHS2"	"LHX1.DT"	"NPHS1"	"CALCA"	"EGFR"	"EGFR"	"AKT1"	"APOE"	"MTHFR"	"IL6"	"APOE"	"TP53"	"VEGFA"	"APOE"
