"mrmr"	"da"	"newDa"	"newDaScores"	"rf"	"MI"	"limma"	"daLFC"	"daRedMrmr"	"random.1"	"random.2"	"random.3"	"random.4"	"random.5"	"random.6"	"random.7"	"random.8"	"random.9"	"random.10"	"relief"	"top-random-1"	"top-random-2"	"top-random-3"	"top-random-4"	"top-random-5"	"top-random-6"	"top-random-7"	"top-random-8"	"top-random-9"	"top-random-10"
"SLC4A1.SLC4A1"	"AQP2"	"SLC4A1"	"SLC4A1"	1	"AQP2"	"CLDN19"	"SLC4A1"	"AQP2"	"CLDN19"	"AC010655.2"	"C5orf46"	"AC011352.3"	"ALDOB"	"SIM2"	"DOC2A"	"DNAJC5B"	"F11"	"EGF"	"AC079760.2"	"OLFM4"	"MTHFR"	"EGFR"	"TP53"	"EGFR"	"TP53"	"TNF"	"ESR1"	"TNF"	"AKT1"	"MTHFR"
"GABRA2"	"HS3ST2"	"CASR"	"CASR"	1	"SFRP1"	"AQP2"	"PRSS22"	"UMOD"	"AQP2"	"LINC01077"	"NPHS2"	"AC092078.2"	"GAL3ST3"	"FREM1"	"SLC9A2"	"GABRD"	"KCNJ1"	"PRSS22"	"FRMD7"	"LHX1"	"VEGFA"	"TNF"	"IL6"	"TP53"	"APOE"	"MTHFR"	"VEGFA"	"EGFR"	"VEGFA"	"APOE"
"CALCA"	"SFRP1"	"SLC12A3"	"ATP6V0A4"	0.993055555555556	"PTGER1"	"UMOD"	"SLC13A2"	"KCNJ10"	"UMOD"	"KLK1"	"ATP6V1G3"	"LINC02437"	"GGT6"	"FAM245A"	"MUC15"	"EHF"	"HRG"	"PLA2G7"	"SLC22A6"	"AQP2"	"EGFR"	"AKT1"	"ESR1"	"IL6"	"ESR1"	"IL6"	"AKT1"	"APOE"	"APOE"	"EGFR"
"CDKN2A"	"CDKN2A"	"SLC12A1"	"CLDN16"	0.984934086629002	"SLC12A1"	"ACPP"	"TFAP2B"	"KCNJ1"	"PTGER1"	"G6PC"	"TYRP1"	"TMEM61"	"KNG1"	"CYP4A11"	"NRK"	"BSND"	"LINC01874"	"AC087045.3"	"ALB"	"CNTN1"	"APOE"	"TP53"	"EGFR"	"ESR1"	"TNF"	"TP53"	"TP53"	"TP53"	"TP53"	"TGFB1"
"CLDN19"	"AC114803.1"	"ATP6V0A4"	"NPHS2"	0.982758620689655	"IRX2"	"CDKN2A"	"IYD"	"SLC12A1"	"SCNN1G"	"CRHBP"	"SLC4A9"	"TMEM238L"	"AC087045.3"	"VWA5B1"	"TMEM207"	"CPNE6"	"AC010329.1"	"ATP6V1G3"	"PADI1"	"TRPV5"	"TP53"	"IL6"	"TGFB1"	"VEGFA"	"IL6"	"APOE"	"TGFB1"	"AKT1"	"EGFR"	"AKT1"
"PLG"	"IRX2"	"CALCA"	"ALDOB"	0.971830985915493	"HRG"	"PTGER1"	"ACPP"	"CDKN2A"	"CDKN2A"	"LINC02048"	"PROZ"	"CLDN8"	"CHRNA1"	"NPHS1"	"FAM151A"	"SLC9A4"	"PVT1"	"G6PC"	"CPNE6"	"SFRP1"	"AKT1"	"ESR1"	"VEGFA"	"MTHFR"	"MTHFR"	"ESR1"	"APOE"	"IL6"	"ESR1"	"VEGFA"
"LMX1B"	"SLC26A7"	"CLDN16"	"SLC6A3"	0.955882352941177	"UMOD"	"SCNN1G"	"DPEP1"	"SLC12A3"	"KCNJ10"	"PTGER1"	"LINC01020"	"AP005233.2"	"SALL3"	"TMEM61"	"CYP4F2"	"DPEP1"	"AFM"	"AC122134.1"	"ENPP6"	"TMPRSS4"	"TGFB1"	"TGFB1"	"APOE"	"TGFB1"	"EGFR"	"EGFR"	"TNF"	"TGFB1"	"TGFB1"	"TNF"
"CA9"	"ITGAD"	"ATP6V1B1"	"CDKN2A"	0.954531145450413	"ADAM18"	"IRX2"	"CNTN1"	"PTGER1"	"KCNJ1"	"INSRR"	"RALYL"	"AC114803.1"	"ADGRF1"	"PROZ"	"GRHL2"	"ITGAD"	"FABP1"	"SLC22A7"	"RAB25"	"GABRA2"	"TNF"	"MTHFR"	"MTHFR"	"AKT1"	"TGFB1"	"AKT1"	"MTHFR"	"MTHFR"	"TNF"	"TP53"
"ATP6V1B1"	"ADAM18"	"NPHS2"	"KCNJ1"	0.946875	"TFAP2B"	"IRX1"	"INSRR"	"SCNN1G"	"ATP6V0A4"	"PRDM16.DT"	"RDH8"	"PTPRQ"	"RHCG"	"SLC12A1"	"ATP6V0D2"	"LINC01055"	"NUPR2"	"AC124017.1"	"LINC01187"	"TFAP2B"	"ESR1"	"APOE"	"AKT1"	"TNF"	"AKT1"	"VEGFA"	"IL6"	"VEGFA"	"MTHFR"	"IL6"
"C3"	"TMEM238L"	"PLG"	"FREM1"	0.946360153256705	"IRX1"	"SLC12A1"	"CASR"	"GP2"	"SLC12A1"	"SLC26A7"	"SLC22A12"	"SLC13A3"	"MFSD6L"	"SPTBN2"	"AL031726.1"	"PVALB"	"NPHS2"	"CNTN1"	"GCGR"	"LHX1.DT"	"IL6"	"VEGFA"	"TNF"	"APOE"	"VEGFA"	"TGFB1"	"EGFR"	"ESR1"	"IL6"	"ESR1"
