"mrmr"	"da"	"newDa"	"newDaScores"	"rf"	"MI"	"limma"	"daLFC"	"daRedMrmr"	"random.1"	"random.2"	"random.3"	"random.4"	"random.5"	"random.6"	"random.7"	"random.8"	"random.9"	"random.10"	"relief"	"top-random-1"	"top-random-2"	"top-random-3"	"top-random-4"	"top-random-5"	"top-random-6"	"top-random-7"	"top-random-8"	"top-random-9"	"top-random-10"
"SLC4A1.SLC4A1"	"AQP2"	"SLC4A1"	"SLC4A1"	1	"SFRP1"	"AQP2"	"SLC4A1"	"AQP2"	"AQP2"	"MUC12"	"OVCH2"	"SLC22A12"	"TMEM238L"	"C7"	"CYP17A1"	"PTGER1"	"AC104237.3"	"DUSP9"	"TMEM52B"	"OVCH2"	"APOE"	"APOE"	"EGFR"	"IL6"	"TGFB1"	"AKT1"	"MTHFR"	"TP53"	"ESR1"	"IL6"
"GABRA2"	"AL391845.2"	"CASR"	"CASR"	1	"AQP2"	"UMOD"	"PRSS22"	"UMOD"	"UMOD"	"TFCP2L1"	"AC068631.1"	"SFRP1"	"NPTX2"	"MST1L"	"LINC01543"	"LINC00955"	"ATP6V0A4"	"PROM2"	"KNG1"	"AQP2"	"AKT1"	"VEGFA"	"ESR1"	"MTHFR"	"EGFR"	"IL6"	"EGFR"	"ESR1"	"AKT1"	"TNF"
"CALCA"	"SDS"	"SLC12A3"	"ATP6V0A4"	0.993055555555556	"SLC12A1"	"ACPP"	"SLC13A2"	"KCNJ1"	"CLDN19"	"COL4A6"	"FABP6"	"AP000696.1"	"TMEM174"	"FABP7"	"C7"	"TMEM207"	"C4orf54"	"AC015910.1"	"GRIK3"	"TFAP2B"	"MTHFR"	"EGFR"	"IL6"	"AKT1"	"ESR1"	"TGFB1"	"AKT1"	"EGFR"	"VEGFA"	"AKT1"
"CDKN2A"	"CDKN2A"	"SLC12A1"	"CLDN16"	0.984934086629002	"PTGER1"	"SLC12A1"	"TFAP2B"	"SLC12A1"	"SCNN1G"	"SLC4A9"	"AC092078.2"	"MYO3B"	"GABRA2"	"GAL3ST3"	"CNTN1"	"AP000696.1"	"BRINP3"	"DPEP1"	"SLC9A4"	"IRX1"	"ESR1"	"TNF"	"MTHFR"	"EGFR"	"AKT1"	"VEGFA"	"ESR1"	"TNF"	"MTHFR"	"EGFR"
"CLDN19"	"LINC01230"	"ATP6V0A4"	"NPHS2"	0.982758620689655	"KCNJ1"	"DUSP9"	"IYD"	"KCNJ10"	"PTGER1"	"CD70"	"ACOT12"	"AC148477.4"	"ALB"	"SLC9A2"	"SCNN1B"	"RALYL"	"AC093904.4"	"GATA3.AS1"	"FXYD4"	"TRPV5"	"TP53"	"ESR1"	"APOE"	"ESR1"	"TP53"	"TNF"	"APOE"	"APOE"	"APOE"	"ESR1"
"PLG"	"ADH1B"	"CALCA"	"WNK4"	0.971830985915493	"TFAP2B"	"CLDN19"	"ACPP"	"CDKN2A"	"KCNJ10"	"CASR"	"ITGAD"	"ERVMER34.1"	"LINC02437"	"ALOX15B"	"PRR35"	"CLDN16"	"OXGR1"	"NPHS1"	"PPP1R1A"	"UMOD"	"TNF"	"AKT1"	"TP53"	"TGFB1"	"MTHFR"	"APOE"	"TP53"	"TGFB1"	"TP53"	"TGFB1"
"CA9"	"CLDN19"	"CLDN16"	"ALDOB"	0.952005930779909	"UMOD"	"SCNN1G"	"DPEP1"	"PTGER1"	"CDKN2A"	"SLC9A2"	"LINC01187"	"RASL11B"	"CHGB"	"TMEM155"	"AC148477.4"	"WNK4"	"LINC01187"	"ABCA4"	"KLK7"	"AC015910.1"	"TGFB1"	"TGFB1"	"TGFB1"	"APOE"	"VEGFA"	"MTHFR"	"VEGFA"	"IL6"	"EGFR"	"VEGFA"
"ATP6V1B1"	"OVCH2"	"ATP6V1B1"	"SLC6A3"	0.957142857142857	"KNG1"	"KNG1"	"CNTN1"	"SCNN1G"	"KCNJ1"	"PRDM16.DT"	"PRDM16.DT"	"AC092078.2"	"SCN7A"	"NAT8L"	"LINC00955"	"ATP6V0D2"	"BSND"	"KLK6"	"GRHL2"	"OLFM4"	"VEGFA"	"IL6"	"VEGFA"	"VEGFA"	"APOE"	"TP53"	"TGFB1"	"AKT1"	"TGFB1"	"APOE"
"COL4A6"	"ITGAD"	"NPHS2"	"CDKN2A"	0.931712962962963	"IRX2"	"PTGER1"	"INSRR"	"SLC12A3"	"SLC12A1"	"SOST"	"NDNF"	"TMEM174"	"SCNN1B"	"ADAM18"	"CDCA2"	"C10orf99"	"SALL3"	"EPN3"	"PRR35"	"CA9"	"EGFR"	"MTHFR"	"TNF"	"TP53"	"TNF"	"EGFR"	"TNF"	"MTHFR"	"TNF"	"MTHFR"
"SCNN1G"	"PTGER1"	"PLG"	"KCNJ1"	0.918888888888889	"SIGLEC8"	"IRX2"	"CASR"	"CLDN19"	"CASR"	"RASL11B"	"PAH"	"FER1L6"	"TFCP2L1"	"TNFAIP6"	"TMEM52B"	"CYP4F2"	"SDS"	"PLA2G4F"	"AL049555.1"	"LINC01187"	"IL6"	"TP53"	"AKT1"	"TNF"	"IL6"	"ESR1"	"IL6"	"VEGFA"	"IL6"	"TP53"
"HSD11B2"	"ACPP"	"WNK4"	"FREM1"	0.902	"GP2"	"KCNJ10"	"EPN3"	"GP2"	"ATP6V0A4"	"C5orf46"	"CALB1"	"PVT1"	"CLDN19"	"SOX11"	"ERBB4"	"SLC26A7"	"TNFSF9"	"BMPR1B"	"PCARE"	"FOXI1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"CLDN16"	"ADAM18"	"SLC34A1"	"SCNN1G"	0.882352941176471	"MUC15"	"LINC02437"	"PTGER3"	"WNK4"	"COL4A6"	"AQP2"	"LINC00645"	"LINC01543"	"FABP1"	"PAH"	"CALB1"	"FAM245A"	"KLK1"	"LINC02121"	"GAL3ST3"	"AC104237.3"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"DPEP1"	"SIGLEC8"	"G6PC"	"SCNN1B"	0.877667604099979	"ADAM18"	"TMEM207"	"COL23A1"	"COL4A6"	"WNK4"	"AC092078.2"	"C4orf54"	"GAL3ST3"	"CLCNKB"	"TMEM238L"	"SLC5A2"	"ESRRB"	"CYP2B6"	"LINC00645"	"FAM245A"	"DMRT2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"GABRD"	"MT1G"	"SCN7A"	"SLC6A19"	0.884615384615385	"ACPP"	"CDKN2A"	"PTPRN"	"CLDN16"	"SLC12A3"	"DIO1"	"CHIT1"	"SLC36A2"	"HEPACAM2"	"FGF9"	"MST1L"	"PLA2G4F"	"AC023154.1"	"AC124017.1"	"VTCN1"	"FXYD4"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"KCNJ1"	"F11"	"ALDOB"	"HSD11B2"	0.879251700680272	"RASL11B"	"GP2"	"RIMBP2"	"GABRA2"	"CLDN16"	"CALML3"	"SCN7A"	"AL031726.1"	"PRR35"	"GGT6"	"TMEM155"	"LINC01230"	"NPHS1"	"C7"	"ESRP1"	"ERVE.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SLC12A3"	"SFRP1"	"SLC5A2"	"KCNJ10"	0.865277777777778	"FXYD4"	"RASL11B"	"SLC9A3"	"SCNN1B"	"ATP6V1B1"	"ATP6V0D2"	"LINP1"	"TUBAL3"	"ERVMER34.1"	"XPNPEP2"	"AC092078.2"	"RIMBP2"	"AC068631.1"	"SCN7A"	"TMEM207"	"SLC12A1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ERBB4"	"TMEM238L"	"SLC6A3"	"CLCNKA"	0.860054347826087	"CLDN19"	"MUC15"	"SLC12A3"	"CASR"	"CLCNKB"	"LINC01055"	"AC112243.1"	"MAB21L4"	"SCNN1G"	"CNTN1"	"FABP7"	"SLC22A6"	"ABCA4"	"ALB"	"PTPRN"	"MUC15"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SLC22A12"	"IL20RB"	"PRDM16"	"COL4A6"	0.849019607843137	"DDN"	"IRX1"	"MYO3B"	"NPHS2"	"SCNN1B"	"SLC13A2"	"CA10"	"RHCG"	"SLC9A4"	"SLC13A2"	"SLC26A7"	"RANBP3L"	"SLC22A7"	"AL139280.1"	"ITGAD"	"LINC01230"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"CLCNKA"	"GP2"	"CDKN2A"	"SLC22A12"	0.829059829059829	"IRX1"	"MFSD4A"	"SLC12A1"	"CLCNKA"	"BSND"	"FAM83B"	"NRK"	"ATP12A"	"CALML3"	"LHX1"	"EGF"	"AC112243.1"	"RHCG"	"TRPV5"	"CYP17A1"	"PTPRQ"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"EGF"	"WNK4"	"KCNJ1"	"SLC5A2"	0.812609724634076	"NPHS2"	"TFAP2B"	"ATP12A"	"HRG"	"SLC4A1"	"FXYD4"	"TMEM155"	"VGLL1"	"PROM2"	"TMEM207"	"PLG"	"TSPAN8"	"LINC02437"	"PLPPR1"	"LINC01762"	"FABP6"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SLC12A1"	"UMOD"	"GABRA2"	"CALCA"	0.764285714285714	"ITGAD"	"SFRP1"	"AFM"	"KNG1"	"FREM1"	"KLK1"	"ASB15"	"F11"	"NUPR2"	"AC019117.3"	"FABP1"	"HPCAL4"	"TRPV6"	"PRR35"	"SLC13A2"	"GABRA2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"PTGER1"	"LHX1"	"PTGER1"	"PLG"	0.738095238095238	"DUSP9"	"KCNJ1"	"GRHL2"	"DUSP9"	"GABRA2"	"DMRT2"	"HPD"	"AC112243.1"	"PLPPR1"	"SCNN1G"	"DNAJC5B"	"NOS1"	"L1CAM"	"RAB25"	"SFRP1"	"AC023154.1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"BSND"	"LINP1"	"NPHS1"	"UMOD"	0.743181818181818	"CASR"	"HRG"	"AQP6"	"BSND"	"ITGAD"	"SOX11"	"ATP6V0D2"	"PIK3C2G"	"UMOD"	"BRINP3"	"SLC12A3"	"CLDN8"	"C7"	"ATP6V0A4"	"EPN3"	"CLDN8"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SLC5A2"	"HRG"	"BSND"	"AQP2"	0.738095238095238	"CDKN2A"	"ITGAD"	"F11"	"ITGAD"	"HSD11B2"	"ESRRB"	"DDN"	"NDNF"	"CLCNKA"	"L1CAM"	"SLC6A3"	"NAT8L"	"PRDM16"	"C10orf99"	"KLK1"	"IRX2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"PRDM16"	"IRX2"	"CLDN19"	"BSND"	0.74156746031746	"SCNN1G"	"DMRT2"	"CHGB"	"SIM2"	"ERBB4"	"SLC12A1"	"ADAM18"	"CPN2"	"CHIT1"	"GP2"	"CALCA"	"CPNE6"	"FXYD4"	"ATP6V0D2"	"LINC00645"	"DDN"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"UMOD"	"MYBL2"	"FREM1"	"SLC12A3"	0.68	"CNTN1"	"LINC01077"	"NOS1"	"EGF"	"EGF"	"SERPINA5"	"AC025154.2"	"SDS"	"TMEM155"	"LINC01230"	"NUPR2"	"MT1H"	"CDKN2A"	"FGF9"	"TMEM213"	"PLA2G4F"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"L1CAM"	"CHRNA1"	"SCNN1G"	"ATP6V1B1"	0.675868962163105	"MFSD4A"	"APOC1"	"TREM2"	"PRR35"	"GP2"	"FOXI1"	"NPHS2"	"TMEM238L"	"AC087045.3"	"NDNF"	"LINC02048"	"CHRNA1"	"ADGRF1"	"XPNPEP2"	"C10orf99"	"KCNJ1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"CLCNKB"	"SLC26A7"	"AQP2"	"NPHS1"	0.669312169312169	"GATA3.AS1"	"SLC26A7"	"PVALB"	"CLCNKB"	"CA9"	"CHRNA1"	"PCK1"	"C4orf54"	"IRX2"	"CA10"	"VGLL1"	"AC104237.3"	"FGF9"	"AC122134.1"	"RAB25"	"BSND"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
