"mrmr"	"da"	"newDa"	"newDaScores"	"rf"	"MI"	"limma"	"daLFC"	"daRedMrmr"	"random.1"	"random.2"	"random.3"	"random.4"	"random.5"	"random.6"	"random.7"	"random.8"	"random.9"	"random.10"	"relief"	"top-random-1"	"top-random-2"	"top-random-3"	"top-random-4"	"top-random-5"	"top-random-6"	"top-random-7"	"top-random-8"	"top-random-9"	"top-random-10"
"TUBB4A.TUBB4A"	"SIM2"	"TUBB4A"	"TUBB4A"	1	"EPHA10"	"EPHA10"	"TNMD"	"PDLIM5"	"CACNA1D"	"ELAVL2"	"TRGC2"	"HSD17B13"	"CT75"	"TGM3"	"ASPA"	"ANXA13"	"ANXA13"	"KLK15"	"LINC02492"	"CIDEC"	"AKT1"	"AKT1"	"MTHFR"	"MTHFR"	"AKT1"	"TP53"	"IL6"	"ESR1"	"ESR1"	"EGFR"
"NR4A3"	"TSPAN19"	"NR4A3"	"NR4A3"	1	"PCSK6"	"SNCG"	"PDK4"	"PCSK6"	"PDLIM5"	"CYP11A1"	"AC139783.1"	"KIAA0087"	"REG4"	"HSD17B13"	"TMEM238L"	"CT75"	"IGHV3.49"	"HOXC6"	"HS3ST5"	"AC100826.1"	"IL6"	"IL6"	"EGFR"	"VEGFA"	"TNF"	"ESR1"	"EGFR"	"EGFR"	"TGFB1"	"ESR1"
"TERT"	"LINC00683"	"KCNH5"	"TERT"	0.982456140350877	"SIM2"	"SIM2"	"MATK"	"DLX1"	"TERT"	"AC008759.3"	"PCP4L1"	"DRAIC"	"MSLN"	"NLRP12"	"NPPC"	"ELAVL2"	"KIAA0087"	"RPE65"	"AC011523.1"	"FOLH1"	"APOE"	"TGFB1"	"VEGFA"	"AKT1"	"APOE"	"MTHFR"	"TP53"	"AKT1"	"APOE"	"IL6"
"WIF1"	"AC008555.2"	"WIF1"	"CACNA1D"	0.863636363636364	"QPRT"	"PCSK6"	"DNAH5"	"CACNA1D"	"PCSK6"	"OR51A9P"	"TMEM178A"	"LINC00992"	"MYH6"	"AC008759.3"	"IGHV3.49"	"KCNJ15"	"LINC02492"	"NR4A3"	"SERPINA11"	"SLC4A4"	"VEGFA"	"ESR1"	"TGFB1"	"ESR1"	"TGFB1"	"TNF"	"ESR1"	"TNF"	"EGFR"	"MTHFR"
"KCNH5"	"FABP7"	"CACNA1D"	"KCNH5"	0.875	"LINC00683"	"QPRT"	"ZIC2"	"TERT"	"DLX1"	"SIM2"	"ELFN2"	"AL031123.3"	"PROSER2.AS1"	"CIDEC"	"LINGO2"	"SIM2"	"TRPM8"	"AP000844.2"	"SMPDL3B"	"AL031663.3"	"TP53"	"VEGFA"	"APOE"	"EGFR"	"IL6"	"AKT1"	"AKT1"	"APOE"	"IL6"	"VEGFA"
"CACNA1D"	"MCF2"	"ERG"	"WIF1"	0.88	"PLAAT5"	"LINC00683"	"LMO3"	"KCNH5"	"KCNH5"	"AP000842.3"	"EMX2"	"ABCC4"	"GOLM1"	"ZIC5"	"IL21.AS1"	"DCAF12L1"	"CYP11A1"	"AC100826.1"	"B3GAT1"	"CA14"	"MTHFR"	"MTHFR"	"TNF"	"TP53"	"TP53"	"EGFR"	"MTHFR"	"TGFB1"	"MTHFR"	"TP53"
"ERG"	"AL031123.2"	"TERT"	"ERG"	0.816239316239316	"SNCG"	"DNAH5"	"ALX4"	"DNAH5"	"DNAH5"	"NKX6.1"	"C1QL1"	"FUT3"	"SPINK2"	"MCF2"	"DLX2"	"SERTM1"	"CLCA2"	"EVA1A"	"IGHV3.49"	"GLDN"	"TNF"	"APOE"	"TP53"	"IL6"	"ESR1"	"VEGFA"	"TNF"	"MTHFR"	"AKT1"	"TNF"
"PDLIM5"	"MORC1"	"PTPRT"	"PDLIM5"	0.792151957524002	"CYP11A1"	"SLIT1"	"GAL"	"KLK15"	"FEV"	"SMR3B"	"LRRTM3"	"COMP"	"CXCL13"	"IL21.AS1"	"DLX1"	"MYH6"	"APOF"	"TGM3"	"MNX1.AS1"	"LINC00683"	"TGFB1"	"TP53"	"IL6"	"TNF"	"EGFR"	"TGFB1"	"TGFB1"	"IL6"	"TP53"	"TGFB1"
"KLK15"	"SLIT1"	"FEV"	"KLK15"	0.726254275980426	"CIDEC"	"AL031123.2"	"EPHA8"	"DCC"	"KLK15"	"EMX2"	"H2AC13"	"KLK15"	"AC144450.1"	"KRT24"	"SLIT1"	"SMTNL2"	"FOLH1"	"PPM1E"	"OR51H2P"	"CACNA1D"	"ESR1"	"TNF"	"ESR1"	"TGFB1"	"VEGFA"	"APOE"	"VEGFA"	"VEGFA"	"TNF"	"AKT1"
"DLX1"	"MFSD2A"	"PDLIM5"	"DCC"	0.653756042975212	"CACNA1D"	"CYP11A1"	"SLC4A4"	"ARHGEF38"	"DCC"	"ANKRD34B"	"OR51E2"	"PROSER2.AS1"	"AL031123.3"	"LMO3"	"HS3ST6"	"CA14"	"TPO"	"CYP4F22"	"SPINK2"	"PCA3"	"EGFR"	"EGFR"	"AKT1"	"APOE"	"MTHFR"	"IL6"	"APOE"	"TP53"	"VEGFA"	"APOE"
"DCC"	"ONECUT2"	"EBF2"	"DLX1"	0.661208280932031	"CLU"	"PNMT"	"NKAIN1"	"CYP11A1"	"ARHGEF38"	"LINGO2"	"ELFN1.AS1"	"OR51E2"	"PLAAT5"	"KRT222"	"REG4"	"SNAP25"	"PCSK6"	"TRGV9"	"RMDN2.AS1"	"SMTNL2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"PTPRT"	"AP006748.1"	"KLK15"	"EBF2"	0.636363636363636	"AL031123.2"	"ARHGEF38"	"FOLH1"	"EPHA10"	"PTPRT"	"CST2"	"PAEP"	"GAL"	"PCAT1"	"HSPB3"	"LINC01019"	"LMX1B"	"TRGC2"	"HS3ST5"	"SLC4A4"	"TRPM8"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"EBF2"	"CYP11A1"	"ARHGEF38"	"PTPRT"	0.625878339309317	"PNMT"	"PDLIM5"	"SLC26A3"	"FEV"	"CYP11A1"	"KCNJ15"	"PDLIM5"	"LINC01475"	"LINC00839"	"PRSS1"	"CST6"	"CST6"	"CLU"	"TSPAN19"	"SERTM1"	"ARHGEF38"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"FEV"	"AL359314.1"	"DCC"	"FEV"	0.610862825629841	"KRT222"	"CLU"	"TDRD1"	"DLX2"	"DLX2"	"SCGB3A1"	"IL1RAPL1"	"CXCL13"	"ERVH48.1"	"RHOXF1P1"	"GALR1"	"AL117329.1"	"PADI3"	"FUT3"	"SNCG"	"LINGO2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"PCSK6"	"LMX1B"	"CNTNAP2"	"PCSK6"	0.607589110139422	"HPN"	"HPN"	"CRTAC1"	"AMACR"	"CA14"	"PATE4"	"FAM163A"	"ANXA13"	"LMX1B"	"NKAIN1"	"KCNH5"	"GLYATL1"	"PCAT1"	"ANXA13"	"ERVH48.1"	"RPL7P16"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"MMP10"	"LINC00992"	"DLX1"	"MMP10"	0.584957688888889	"ARHGEF38"	"HJURP"	"CPNE6"	"CNTNAP2"	"NLRP12"	"CABS1"	"SLC46A2"	"EVA1A"	"PAEP"	"FFAR2"	"PADI3"	"AC141930.1"	"ANKRD34B"	"OR51C1P"	"ASPA"	"CYP4F62P"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"MNX1"	"SNCG"	"DLX2"	"CNTNAP2"	0.52810253968254	"DLX1"	"AMACR"	"MCF2"	"KRT24"	"ERG"	"REG4"	"PI16"	"SLC46A2"	"FFAR2"	"ACTC1"	"SLCO4C1"	"MMP10"	"ADAMTS18"	"SIM2"	"WIF1"	"MYH6"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"DNAH5"	"KRT24"	"OTX1"	"DLX2"	0.516223073954807	"AL359314.1"	"DLX1"	"VGLL1"	"NLRP12"	"EBF2"	"KCNH5"	"AL031123.3"	"RHOXF1P1"	"AL023802.1"	"SMTNL2"	"EDDM3A"	"STAC2"	"CPB1"	"FBXL21P"	"UNC5A"	"GALR1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"CNTNAP2"	"NLRP12"	"CA14"	"MNX1"	0.521304012345679	"APOF"	"CACNA1D"	"TAF7L"	"FOLH1"	"EPHA10"	"PANTR1"	"LMX1B"	"IL1RAPL1"	"OTX1"	"AMACR"	"AP006748.1"	"PNMT"	"CST6"	"PIK3C2G"	"HOXC4"	"CPB1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"DLX2"	"PNMT"	"DNAH5"	"DNAH5"	0.507158957788351	"PDLIM5"	"AC008555.2"	"MSLN"	"CA14"	"AMACR"	"FBXL21P"	"CIDEC"	"PADI3"	"GALR1"	"AC139783.1"	"AL031123.2"	"AP000696.1"	"PPM1E"	"MNX1"	"TMEM238L"	"FFAR2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SERPINA11"	"EPHA10"	"MMP10"	"KRT24"	0.5	"DNAH5"	"GOLM1"	"QPRT"	"TDRD1"	"TUBB4A"	"TDRD1"	"NR4A3"	"AC092535.5"	"GLDN"	"QPRT"	"MGAM"	"CXCL13"	"EDDM3A"	"AC009119.1"	"PATE4"	"KRT24"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SERPINA5"	"PCP4L1"	"GATA5"	"ARHGEF38"	0.5	"AL031123.3"	"AC009119.1"	"ANXA13"	"MNX1"	"CNTNAP2"	"KRT24"	"ONECUT2"	"SLC4A4"	"TAF7L"	"OR51C1P"	"GOLM1"	"MCF2"	"HS3ST6"	"APOF"	"LINC01518"	"SERPINA5"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ARHGEF38"	"SMR3B"	"B3GAT1"	"B3GNT6"	0.499755601851852	"PIK3C2G"	"ASPA"	"ADAM2"	"GOLM1"	"WIF1"	"TRGV9"	"PDK4"	"TRGC1"	"SMR3B"	"PIP"	"PCAT7"	"SULT2A1"	"FOLR1"	"DCC"	"RPL7P16"	"PDLIM5"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"KRT24"	"SLC45A2"	"PCSK6"	"B3GAT1"	0.478260869565217	"SLC45A2"	"SMPDL3B"	"TUBB4A"	"SIM2"	"B3GAT1"	"H19"	"CLDN2"	"OR51A9P"	"KRT24"	"AL031123.3"	"OR51E2"	"AC008555.2"	"LMO3"	"SPINK2"	"CD300LG"	"PCAT14"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"B3GAT1"	"CACNA1D"	"MNX1"	"OTX1"	0.455818441502028	"HJURP"	"AP004608.1"	"SULT2A1"	"B3GAT1"	"MNX1"	"DNAH5"	"KCNH5"	"NPPC"	"SLIT1"	"EPHA8"	"LINC01475"	"HSPB3"	"ALX4"	"SLC39A2"	"MNX1.AS2"	"SNCG"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
