"mrmr"	"da"	"newDa"	"newDaScores"	"rf"	"MI"	"limma"	"daLFC"	"daRedMrmr"	"random.1"	"random.2"	"random.3"	"random.4"	"random.5"	"random.6"	"random.7"	"random.8"	"random.9"	"random.10"	"relief"	"top-random-1"	"top-random-2"	"top-random-3"	"top-random-4"	"top-random-5"	"top-random-6"	"top-random-7"	"top-random-8"	"top-random-9"	"top-random-10"
"TUBB4A.TUBB4A"	"GSTP1"	"GABRA3"	"GABRA3"	1	"DLX1"	"SIM2"	"TNMD"	"DLX1"	"PDLIM5"	"PDLIM5"	"EBF2"	"CCL3L3"	"DRAIC"	"NPY4R"	"C4A"	"ROPN1B"	"IGFN1"	"AL162411.1"	"UGT2B4"	"KRT222"	"APOE"	"APOE"	"EGFR"	"IL6"	"TGFB1"	"AKT1"	"MTHFR"	"TP53"	"ESR1"	"IL6"
"NR4A3"	"CIDEC"	"TUBB4A"	"NR4A3"	1	"AC084880.1"	"GSTP1"	"MATK"	"PCSK6"	"CACNA1D"	"SPINK2"	"PCAT7"	"AC008555.2"	"SLC45A2"	"PIK3C2G"	"BMP5"	"AC118658.1"	"TBX1"	"FBXL21P"	"SLC6A2"	"HSPA6"	"AKT1"	"VEGFA"	"ESR1"	"MTHFR"	"EGFR"	"IL6"	"EGFR"	"ESR1"	"AKT1"	"TNF"
"PDLIM5"	"MORC1"	"NR4A3"	"CACNA1D"	0.89919951935157	"LINC00683"	"PCSK6"	"GABRA3"	"CACNA1D"	"PCSK6"	"HOXC6"	"SMIM32"	"ELFN1.AS1"	"CST6"	"UNC5A"	"LINC01694"	"DLGAP5"	"DRAIC"	"ASCL2"	"EPHA8"	"MMP10"	"MTHFR"	"EGFR"	"IL6"	"AKT1"	"ESR1"	"TGFB1"	"AKT1"	"EGFR"	"VEGFA"	"AKT1"
"CACNA1D"	"AC009119.1"	"KCNS1"	"PDLIM5"	0.896296296296296	"GSTP1"	"HPN"	"ZIC2"	"GABRA3"	"GABRA3"	"DLX2"	"AC118658.1"	"ERVH48.1"	"CABS1"	"ZIC2"	"CABS1"	"EMX2"	"LINC02137"	"AC009119.1"	"HS3ST5"	"TDRD1"	"ESR1"	"TNF"	"MTHFR"	"EGFR"	"AKT1"	"VEGFA"	"ESR1"	"TNF"	"MTHFR"	"EGFR"
"KCNG3"	"SLC6A2"	"CACNA1D"	"TUBB4A"	0.875	"SIM2"	"SNCG"	"CCN5"	"PDLIM5"	"GSTP1"	"AP000696.1"	"TRH"	"PCAT14"	"PLA2G3"	"KRT222"	"AC004947.1"	"ADAMTS18"	"ALDH1L1.AS2"	"AQP2"	"PLA2G4C.AS1"	"ERG"	"TP53"	"ESR1"	"APOE"	"ESR1"	"TP53"	"TNF"	"APOE"	"APOE"	"APOE"	"ESR1"
"ERG"	"NIPAL4"	"ERG"	"ERG"	0.861538461538462	"ALDH1L1.AS2"	"AC144450.1"	"GAL"	"GSTP1"	"DLX1"	"TMEM238L"	"SYT8"	"EBF2"	"HOXC6"	"UGT2B4"	"MMP9"	"MYH6"	"AP000696.1"	"TBX1"	"G0S2"	"AQP5"	"TNF"	"AKT1"	"TP53"	"TGFB1"	"MTHFR"	"APOE"	"TP53"	"TGFB1"	"TP53"	"TGFB1"
"NPY4R"	"PNMT"	"KCNG3"	"KCNG3"	0.76923085144981	"HPN"	"NKX2.3"	"EPHA8"	"SLC6A2"	"SLC6A2"	"IL21.AS1"	"ADAM2"	"CACNA1D"	"AL031123.3"	"CHP2"	"AC008060.1"	"AL359314.1"	"MMP26"	"AC012307.1"	"AC084026.2"	"CIDEC"	"TGFB1"	"TGFB1"	"TGFB1"	"APOE"	"VEGFA"	"MTHFR"	"VEGFA"	"IL6"	"EGFR"	"VEGFA"
"KCNS1"	"AQP5"	"PDLIM5"	"NPY4R"	0.75	"CIDEC"	"LINC00683"	"GTSE1"	"DLX2"	"RRM2"	"ELFN1.AS1"	"LINC00683"	"CCKBR"	"SLC26A3"	"GSTP1"	"PCSK6"	"CHP2"	"LINC01475"	"LUZP2"	"LINC02137"	"PCSK9"	"VEGFA"	"IL6"	"VEGFA"	"VEGFA"	"APOE"	"TP53"	"TGFB1"	"AKT1"	"TGFB1"	"APOE"
"LEMD1"	"LINC01475"	"EBF2"	"KCNS1"	0.675785590277777	"PNMT"	"PDLIM5"	"ATP12A"	"RRM2"	"KCNG3"	"SDS"	"ALDH1L1.AS2"	"AC004066.2"	"SLC46A2"	"GPX2"	"ZIC2"	"SEMG1"	"AQP2"	"PIK3C2G"	"C10orf99"	"PLA2G3"	"EGFR"	"MTHFR"	"TNF"	"TP53"	"TNF"	"EGFR"	"TNF"	"MTHFR"	"TNF"	"MTHFR"
"DLX1"	"TRGC1"	"NPY4R"	"DLX1"	0.660710894496225	"PIK3C2G"	"AC141930.1"	"GSTP1"	"KRT24"	"EBF2"	"TRH"	"CIDEC"	"SIM2"	"SPINK2"	"CHGB"	"NIPAL4"	"FOLH1"	"CST2"	"C2orf72"	"APOF"	"SNCG"	"IL6"	"TP53"	"AKT1"	"TNF"	"IL6"	"ESR1"	"IL6"	"VEGFA"	"IL6"	"TP53"
