"mrmr"	"da"	"newDa"	"newDaScores"	"rf"	"MI"	"limma"	"daLFC"	"daRedMrmr"	"random.1"	"random.2"	"random.3"	"random.4"	"random.5"	"random.6"	"random.7"	"random.8"	"random.9"	"random.10"	"relief"	"top-random-1"	"top-random-2"	"top-random-3"	"top-random-4"	"top-random-5"	"top-random-6"	"top-random-7"	"top-random-8"	"top-random-9"	"top-random-10"
"TUBB4A.TUBB4A"	"HPN"	"GABRA3"	"GABRA3"	1	"GSTP1"	"HPN"	"MATK"	"PDLIM5"	"PDLIM5"	"FEV"	"KY"	"ERVH48.1"	"ONECUT2"	"MSLN"	"COL17A1"	"AL133370.1"	"SLC22A31"	"PCAT1"	"LDHC"	"PCAT14"	"MTHFR"	"EGFR"	"TP53"	"EGFR"	"TP53"	"TNF"	"ESR1"	"TNF"	"AKT1"	"MTHFR"
"WIF1"	"EMX2"	"TUBB4A"	"WIF1"	1	"HPN"	"GSTP1"	"GABRA3"	"DLX1"	"CACNA1D"	"HOXC4"	"AL359314.1"	"SRARP"	"CKM"	"PCAT1"	"SBSPON"	"ELFN1.AS1"	"S100A14"	"TDRD1"	"TFF3"	"TDRD1"	"VEGFA"	"TNF"	"IL6"	"TP53"	"APOE"	"MTHFR"	"VEGFA"	"EGFR"	"VEGFA"	"APOE"
"TERT"	"AC026356.2"	"KCNS1"	"TERT"	0.969298245614035	"AC026356.2"	"SIM2"	"DNAH5"	"CACNA1D"	"PCSK6"	"LMX1B"	"HJURP"	"RHCG"	"PCA3"	"AC009119.1"	"SIM2"	"PABPC1L2A"	"AL353803.1"	"CGREF1"	"HPN"	"DLX1"	"EGFR"	"AKT1"	"ESR1"	"IL6"	"ESR1"	"IL6"	"AKT1"	"APOE"	"APOE"	"EGFR"
"KCNS1"	"AL391335.1"	"WIF1"	"CACNA1D"	0.916666666666667	"SIM2"	"PCSK6"	"ZIC2"	"PCSK6"	"DLX1"	"PABPC1L2B"	"ZIC5"	"PLA2G4C.AS1"	"RPE65"	"AL133325.3"	"GLDN"	"TDRD1"	"TRGC2"	"SNCG"	"MNX1"	"DLX2"	"APOE"	"TP53"	"EGFR"	"ESR1"	"TNF"	"TP53"	"TP53"	"TP53"	"TP53"	"TGFB1"
"ERG"	"KRT222"	"CACNA1D"	"TUBB4A"	0.897435897435897	"KRT222"	"DNAH5"	"ALX4"	"TERT"	"TERT"	"PNMT"	"B3GNT6"	"RNF157"	"FFAR2"	"UNC5A"	"MCF2"	"LINC01518"	"IP6K3"	"ZIC2"	"BMP5"	"CIDEC"	"TP53"	"IL6"	"TGFB1"	"VEGFA"	"IL6"	"APOE"	"TGFB1"	"AKT1"	"EGFR"	"AKT1"
"CACNA1D"	"DNAH5"	"ERG"	"ERG"	0.88	"DNAH5"	"CGREF1"	"NPFFR2"	"GSTP1"	"GSTP1"	"GLYATL1"	"LINC00683"	"MMP26"	"LINC01475"	"OR51A8P"	"NPY"	"OR51A9P"	"PTGDS"	"IL21.AS1"	"DUOX2"	"AP004608.1"	"AKT1"	"ESR1"	"VEGFA"	"MTHFR"	"MTHFR"	"ESR1"	"APOE"	"IL6"	"ESR1"	"VEGFA"
"SRMS"	"DLX2"	"KCNF1"	"KCNS1"	0.792639993857887	"AC026356.1"	"AC026356.1"	"CCN5"	"KLK15"	"GABRA3"	"FOXD1"	"MMP26"	"EMX2OS"	"NPY"	"LINGO2"	"TRGC1"	"SFTPA2"	"PATE1"	"TRGV9"	"PIP"	"HOXC4"	"TGFB1"	"TGFB1"	"APOE"	"TGFB1"	"EGFR"	"EGFR"	"TNF"	"TGFB1"	"TGFB1"	"TNF"
"PDLIM5"	"LMX1B"	"TERT"	"PDLIM5"	0.749332932792975	"CACNA1D"	"PDLIM5"	"COL17A1"	"DNAH5"	"KLK15"	"KRT23"	"PCAT5"	"LINC01518"	"MFSD2A"	"HOXC6"	"PLA2G3"	"LINC01019"	"OR51A9P"	"LINC00244"	"MMP26"	"TMEM178A"	"TNF"	"MTHFR"	"MTHFR"	"AKT1"	"TGFB1"	"AKT1"	"MTHFR"	"MTHFR"	"TNF"	"TP53"
"KCNG3"	"AQP5"	"KCNG3"	"KLK15"	0.75	"PCSK6"	"AC009119.1"	"GAL"	"GABRA3"	"FEV"	"PCAT14"	"RNF157"	"ARLNC1"	"SBSPON"	"KRT222"	"UNC5A"	"TRGV9"	"C2orf72"	"PTPRT"	"KIAA0087"	"NLRP12"	"ESR1"	"APOE"	"AKT1"	"TNF"	"AKT1"	"VEGFA"	"IL6"	"VEGFA"	"MTHFR"	"IL6"
"KLK15"	"AC008555.2"	"PTPRT"	"KCNG3"	0.702311827321731	"KY"	"AC008555.2"	"EPHA8"	"FEV"	"DNAH5"	"KCNF1"	"LINC02492"	"TFF3"	"PTPRT"	"EMX2OS"	"HSPB3"	"DNAH5"	"TUBB4A"	"TMEM238L"	"TGM3"	"OR51C1P"	"IL6"	"VEGFA"	"TNF"	"APOE"	"VEGFA"	"TGFB1"	"EGFR"	"ESR1"	"IL6"	"ESR1"
"FEV"	"SIM2"	"SRMS"	"SRMS"	0.720978887618378	"AP004608.1"	"HJURP"	"GSTP1"	"DLX2"	"KCNF1"	"PATE1"	"EDDM3A"	"SLC22A31"	"C6orf141"	"IGSF1"	"ZIC2"	"PIP"	"LINC01019"	"RPL7P16"	"DLX2"	"BMP5"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"KRT5"	"ERVH48.1"	"FEV"	"FEV"	0.686386337285272	"DLX2"	"ARHGEF38"	"FOLH1"	"AMACR"	"KRT5"	"GOLM1"	"MNX1"	"AC105450.1"	"ADAM2"	"DUOX2"	"ERG"	"PLAAT5"	"FOLH1"	"SERPINA5"	"SULT4A1"	"KY"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"PTPRT"	"KRT24"	"PDLIM5"	"KRT5"	0.694444444444444	"AOX1"	"AMACR"	"JPH4"	"CA14"	"KCNG3"	"AC139783.1"	"RPL7P16"	"KRT24"	"C2orf72"	"SEMG1"	"AC009407.1"	"AC012531.1"	"LMX1B"	"PON3"	"AP000842.3"	"LRRTM3"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"KCNF1"	"AP004608.1"	"EBF2"	"PTPRT"	0.653846153846154	"AC008555.2"	"DLX1"	"TDRD1"	"KCNG3"	"DLX2"	"SMR3B"	"TFF3"	"CKM"	"SLC39A2"	"AC009407.1"	"SLC22A31"	"SOSTDC1"	"BEND4"	"FAM163A"	"IP6K3"	"SLIT1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"DLX1"	"KY"	"KLK15"	"KCNF1"	0.637859239498611	"CA14"	"LINC00683"	"CRTAC1"	"ARHGEF38"	"TUBB4A"	"OR51H2P"	"B3GAT1"	"AC008870.1"	"EDDM3A"	"SULT4A1"	"KCNF1"	"ERVH48.1"	"OR51A8P"	"DNAH5"	"C10orf99"	"ELFN1.AS1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"BMP5"	"CGREF1"	"ARHGEF38"	"DLX1"	0.626972907407408	"AL133325.3"	"SNCG"	"PLA2G3"	"WIF1"	"ERG"	"LINC02137"	"KRT24"	"OR51H2P"	"HSPB3"	"TRGJP2"	"JPH4"	"SEMG1"	"KRT23"	"PTGDS"	"TRGC2"	"PCA3"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
