"mrmr"	"da"	"newDa"	"newDaScores"	"rf"	"MI"	"limma"	"daLFC"	"daRedMrmr"	"random.1"	"random.2"	"random.3"	"random.4"	"random.5"	"random.6"	"random.7"	"random.8"	"random.9"	"random.10"	"relief"	"top-random-1"	"top-random-2"	"top-random-3"	"top-random-4"	"top-random-5"	"top-random-6"	"top-random-7"	"top-random-8"	"top-random-9"	"top-random-10"
"PTGS1.PTGS1"	"SIM2"	"GABRA3"	"GABRA3"	1	"DLX1"	"SIM2"	"TNMD"	"DLX1"	"CACNA1D"	"FAM163A"	"TGM5"	"MNX1.AS2"	"LINC00607"	"CLCA2"	"C10orf99"	"PCAT14"	"AC110285.6"	"DUOXA2"	"SLC38A11"	"CIDEC"	"IL6"	"TNF"	"MTHFR"	"VEGFA"	"APOE"	"ESR1"	"AKT1"	"MTHFR"	"APOE"	"IL6"
"CACNA1D"	"LINC02005"	"PTGS1"	"CACNA1D"	1	"DLX2"	"SNCG"	"WNT16"	"PCSK6"	"DLX1"	"DUOX2"	"TRGC1"	"SMTNL2"	"HPN"	"MNX1.AS2"	"TRGC1"	"VGLL1"	"CYP4F30P"	"NETO2"	"CACNA1D"	"BMP5"	"TNF"	"APOE"	"EGFR"	"TP53"	"IL6"	"AKT1"	"MTHFR"	"TP53"	"ESR1"	"VEGFA"
"DRD2"	"AC026356.2"	"TUBB4A"	"PTGS1"	0.96875	"AC026356.2"	"DLX1"	"MATK"	"CACNA1D"	"PCSK6"	"UNC5A"	"SLC18A3"	"FAM163A"	"KIAA0087"	"SBSPON"	"SERTM1"	"LMX1B"	"INSM1"	"AP002498.1"	"TRGC1"	"LINGO2"	"ESR1"	"IL6"	"TGFB1"	"EGFR"	"EGFR"	"TGFB1"	"VEGFA"	"ESR1"	"EGFR"	"MTHFR"
"ERG"	"PNMT"	"DRD2"	"DRD2"	0.931623931623932	"SNCG"	"PCSK6"	"GABRA3"	"PTGS1"	"GABRA3"	"INSM1"	"GSTM1"	"ADAM2"	"CCDC27"	"OR51C1P"	"FAM163A"	"AC009407.1"	"SLC18A3"	"AC011523.1"	"CXADRP2"	"OR51C1P"	"EGFR"	"VEGFA"	"TP53"	"APOE"	"TGFB1"	"VEGFA"	"IL6"	"AKT1"	"TP53"	"TGFB1"
"GRIN3A"	"DLX2"	"CACNA1D"	"ERG"	0.875	"SIM2"	"ALDH1L1.AS2"	"DNAH5"	"DLX2"	"DNAH5"	"PCAT1"	"NXPE4"	"OR4K12P"	"GJA3"	"C10orf99"	"AC092535.5"	"SDK1"	"LINGO2"	"MMP10"	"LINC01504"	"LY6D"	"VEGFA"	"TP53"	"ESR1"	"AKT1"	"TNF"	"TNF"	"TNF"	"VEGFA"	"VEGFA"	"TNF"
"PTPRT"	"CIDEC"	"ERG"	"GRIN3A"	0.746666666666667	"CACNA1D"	"HPN"	"C6"	"DNAH5"	"DRD2"	"FFAR2"	"IL21.AS1"	"CCL18"	"SFRP5"	"LINC02005"	"LY6D"	"ELFN1.AS1"	"AQP2"	"ADAM2"	"SBSPON"	"SLC4A4"	"APOE"	"EGFR"	"VEGFA"	"TGFB1"	"TP53"	"APOE"	"ESR1"	"EGFR"	"AKT1"	"TP53"
"TUBB4A"	"LINC01475"	"KCNG3"	"PTPRT"	0.7525	"ALDH1L1.AS2"	"NKX2.3"	"ZIC2"	"DRD2"	"DLX2"	"SNCG"	"C1QL1"	"GJA3"	"UNC5A"	"GLYATL1P4"	"INSM1"	"TGM3"	"OR51C1P"	"CCN5"	"FAM87A"	"UPK1A"	"MTHFR"	"TGFB1"	"APOE"	"TNF"	"MTHFR"	"MTHFR"	"TGFB1"	"APOE"	"TGFB1"	"APOE"
"KRT4"	"MORC1"	"PTPRT"	"KRT4"	0.759514186799076	"SLC45A2"	"AC144450.1"	"LMO3"	"CYP11A1"	"KCNG3"	"APOF"	"BMP5"	"LINC02005"	"DRD2"	"UNC5A"	"TRPM2.AS"	"GRIN3A"	"TMEM178A"	"SLC38A11"	"AP001610.3"	"ANXA13"	"AKT1"	"AKT1"	"IL6"	"IL6"	"AKT1"	"IL6"	"TP53"	"TGFB1"	"IL6"	"ESR1"
"KCNG3"	"SLC45A2"	"GRIN3A"	"TUBB4A"	0.75	"HPN"	"DLX2"	"ALX4"	"AMACR"	"PTPRT"	"SDK1"	"AC144450.1"	"PADI3"	"CYP11A1"	"CACNA1D"	"CYP4F22"	"AC079298.3"	"ADAM2"	"KRT4"	"TRPC3"	"HOXC4"	"TP53"	"MTHFR"	"TNF"	"ESR1"	"VEGFA"	"TP53"	"EGFR"	"TNF"	"MTHFR"	"AKT1"
"EBF2"	"AL031123.3"	"KRT4"	"KCNG3"	0.689373243297219	"AC144450.1"	"AC139783.1"	"NPFFR2"	"GABRA3"	"PTGS1"	"CXADRP2"	"OR51E2"	"SDK1"	"AC009407.1"	"MMP26"	"PROSER2.AS1"	"AC003986.3"	"C2orf72"	"AC012531.1"	"SERTM1"	"SIM2"	"TGFB1"	"ESR1"	"AKT1"	"MTHFR"	"ESR1"	"EGFR"	"APOE"	"IL6"	"TNF"	"EGFR"
