"mrmr"	"da"	"newDa"	"newDaScores"	"rf"	"MI"	"limma"	"daLFC"	"daRedMrmr"	"random.1"	"random.2"	"random.3"	"random.4"	"random.5"	"random.6"	"random.7"	"random.8"	"random.9"	"random.10"	"relief"	"top-random-1"	"top-random-2"	"top-random-3"	"top-random-4"	"top-random-5"	"top-random-6"	"top-random-7"	"top-random-8"	"top-random-9"	"top-random-10"
"ZNF536.ZNF536"	"GRHL3"	"SLC5A5"	"SLC5A5"	9.62010423091463e-05	"GRHL3"	"GABRB2"	"PROM1"	"ETV4"	"GPC3"	"DMBX1"	"CDH3"	"CSF2"	"AC011298.1"	"RAG2"	"CDH4"	"RASGRF1"	"BMP8A"	"CDH16"	"ARHGAP36"	"CDH16"	"APOE"	"APOE"	"EGFR"	"IL6"	"TGFB1"	"AKT1"	"MTHFR"	"TP53"	"ESR1"	"IL6"
"EPHA5"	"HAPLN1"	"TPO"	"EPHA5"	1	"AL391845.2"	"CDH6"	"TENM1"	"SLC5A5"	"SLC5A5"	"OIT3"	"PCAT14"	"SEC14L3"	"CLDN16"	"SCARA5"	"SLC5A8"	"REN"	"SERPINA5"	"RXRG"	"CDH4"	"GRHL3"	"AKT1"	"VEGFA"	"ESR1"	"MTHFR"	"EGFR"	"IL6"	"EGFR"	"ESR1"	"AKT1"	"TNF"
"LRP1B"	"FGF10"	"EPHA5"	"LRP1B"	1	"UNC5B.AS1"	"GRHL3"	"DCN"	"HMGA2"	"EPHA5"	"HCN4"	"LINC01502"	"IGSF1"	"MAN1A2P1"	"DCSTAMP"	"ESPN"	"GDF15"	"VTCN1"	"OCA2"	"CDH6"	"ODAM"	"MTHFR"	"EGFR"	"IL6"	"AKT1"	"ESR1"	"TGFB1"	"AKT1"	"EGFR"	"VEGFA"	"AKT1"
"SLC5A5"	"PTCHD4"	"IGSF1"	"TPO"	0.990740740740741	"GABRB2"	"LINC01977"	"CNTN1"	"GPC3"	"LRP1B"	"LINC01975"	"MYOC"	"GJB3"	"ACTBL2"	"STAB2"	"SLC6A15"	"PRR15"	"KLK10"	"LINC02471"	"HMGA2"	"EPHA5"	"ESR1"	"TNF"	"MTHFR"	"EGFR"	"AKT1"	"VEGFA"	"ESR1"	"TNF"	"MTHFR"	"EGFR"
"DIO1"	"PPY"	"SLC34A2"	"DIO1"	0.975	"FAXC"	"GPC3"	"MYOC"	"EPHA5"	"TPO"	"VTCN1"	"TFF1"	"WARS1P1"	"OCA2"	"SMOC2"	"ACTBL2"	"AC006305.2"	"DPT"	"DRAXIN"	"SLC6A15"	"LINC02454"	"TP53"	"ESR1"	"APOE"	"ESR1"	"TP53"	"TNF"	"APOE"	"APOE"	"APOE"	"ESR1"
"IGSF1"	"AL391845.2"	"LRP1B"	"IGSF1"	0.944186046511628	"RELN"	"LYVE1"	"RASGRF1"	"DPP4"	"HMGA2"	"DGKI"	"KLK2"	"EDN3"	"DPT"	"CARTPT"	"KLK6"	"PROM1"	"SERPINA1"	"CNMD"	"KLK7"	"KIAA1324"	"TNF"	"AKT1"	"TP53"	"TGFB1"	"MTHFR"	"APOE"	"TP53"	"TGFB1"	"TP53"	"TGFB1"
"GPC3"	"KLK4"	"EPHA10"	"GPC3"	0.850781116902571	"HAPLN1"	"PLEKHN1"	"CDH3"	"FN1"	"IGSF1"	"CHRDL1"	"FN1"	"HAGLROS"	"IGSF1"	"GDF15"	"SYT12"	"TM4SF4"	"AC062015.1"	"TFF3"	"LHCGR"	"MAPK4"	"TGFB1"	"TGFB1"	"TGFB1"	"APOE"	"VEGFA"	"MTHFR"	"VEGFA"	"IL6"	"EGFR"	"VEGFA"
"TPO"	"LYVE1"	"DIO1"	"HMGA2"	0.864285714285714	"LYVE1"	"RYR2"	"NGEF"	"TPO"	"SLC34A2"	"MAPK4"	"CNMD"	"AC062015.1"	"KLK2"	"Z93241.1"	"STAB2"	"LINC02471"	"IPCEF1"	"PDE4C"	"WSCD2"	"PNPLA5"	"VEGFA"	"IL6"	"VEGFA"	"VEGFA"	"APOE"	"TP53"	"TGFB1"	"AKT1"	"TGFB1"	"APOE"
"HMGA2"	"GABRB2"	"GPC3"	"FN1"	0.832767316473448	"CCL21"	"AL391845.2"	"FGF10"	"TFF3"	"DIO1"	"TFCP2L1"	"STRA6"	"FOXJ1"	"LRP4"	"BRINP2"	"WARS1P1"	"FAM167A.AS1"	"FAM111B"	"FAM111B"	"TPO"	"ZMAT4"	"EGFR"	"MTHFR"	"TNF"	"TP53"	"TNF"	"EGFR"	"TNF"	"MTHFR"	"TNF"	"MTHFR"
"FN1"	"UGT2B11"	"ETV4"	"SLC34A2"	0.824175016132531	"PLEKHN1"	"STAB2"	"SLC6A15"	"LRP1B"	"FN1"	"RTL4"	"AGR2"	"AC135584.1"	"PLA2G12B"	"LIPH"	"SLC22A31"	"LRG1"	"IGHE"	"FAM180B"	"INAVA"	"RPSAP52"	"IL6"	"TP53"	"AKT1"	"TNF"	"IL6"	"ESR1"	"IL6"	"VEGFA"	"IL6"	"TP53"
