"mrmr"	"da"	"newDa"	"newDaScores"	"rf"	"MI"	"limma"	"daRedMrmr"	"random.1"	"random.2"	"random.3"	"random.4"	"random.5"	"random.6"	"random.7"	"random.8"	"random.9"	"random.10"	"daLFC"	"relief"	"top-random-1"	"top-random-2"	"top-random-3"	"top-random-4"	"top-random-5"	"top-random-6"	"top-random-7"	"top-random-8"	"top-random-9"	"top-random-10"
"ZNF536.ZNF536"	"AL391845.2"	"SLC5A5"	"SLC5A5"	9.62010423091463e-05	"AL391845.2"	"GABRB2"	"TENM1"	"GPC3"	"FOSB"	"B4GALNT2"	"VTCN1"	"SLC22A31"	"GLI1"	"RNU5F.1"	"SEZ6L2"	"VGLL1"	"MYOC"	"TMEM215"	"GPC3"	"ODAM"	"MTHFR"	"EGFR"	"TP53"	"EGFR"	"TP53"	"TNF"	"ESR1"	"TNF"	"AKT1"	"MTHFR"
"EPHA5"	"LRP1B"	"TPO"	"EPHA5"	1	"OIT3"	"LYVE1"	"DCN"	"EPHA5"	"AC011298.1"	"FAM178B"	"TSPAN19"	"KLK12"	"TFF3"	"ASPHD1"	"RTL4"	"SLC6A20"	"PAX1"	"GRM4"	"HMGA2"	"AC104137.1"	"VEGFA"	"TNF"	"IL6"	"TP53"	"APOE"	"MTHFR"	"VEGFA"	"EGFR"	"VEGFA"	"APOE"
"LRP1B"	"AC005906.2"	"EPHA5"	"LRP1B"	1	"GABRB2"	"OIT3"	"MYOC"	"LRP1B"	"XKRX"	"DCN"	"PSG1"	"XKRX"	"CATSPER1"	"CHRDL1"	"PLA2G12B"	"CITED1"	"METTL7B"	"SYTL5"	"EPHA5"	"AC026116.1"	"EGFR"	"AKT1"	"ESR1"	"IL6"	"ESR1"	"IL6"	"AKT1"	"APOE"	"APOE"	"EGFR"
"DIO1"	"IGSF1"	"IGSF1"	"TPO"	0.974747474747475	"RELN"	"CDH6"	"C6"	"IGSF1"	"ADH1B"	"CUX2"	"EPHA10"	"SLC6A15"	"TMPRSS6"	"PLA2G12B"	"TSPAN19"	"CDH2"	"Z93241.1"	"HES2"	"SLC5A5"	"TUSC3"	"APOE"	"TP53"	"EGFR"	"ESR1"	"TNF"	"TP53"	"TP53"	"TP53"	"TP53"	"TGFB1"
"SLC5A5"	"HAPLN1"	"SLC34A2"	"DIO1"	0.95125	"GRHL3"	"GRHL3"	"FSTL4"	"SLC5A5"	"LRP1B"	"GRM4"	"TRPC5"	"PCAT14"	"VGLL1"	"MYOC"	"NECTIN4"	"MAN1A2P1"	"ADCY8"	"CWH43"	"TFF3"	"SEZ6L2"	"TP53"	"IL6"	"TGFB1"	"VEGFA"	"IL6"	"APOE"	"TGFB1"	"AKT1"	"EGFR"	"AKT1"
"IGSF1"	"AP000997.4"	"LRP1B"	"IGSF1"	0.91578947368421	"LYVE1"	"AL391845.2"	"CDH3"	"HMGA2"	"AC254633.1"	"PCAT14"	"AC005082.1"	"AGR3"	"KLK4"	"AC011298.1"	"KLK2"	"ADH1B"	"EPHA5.AS1"	"FOSB"	"FN1"	"PNPLA5"	"AKT1"	"ESR1"	"VEGFA"	"MTHFR"	"MTHFR"	"ESR1"	"APOE"	"IL6"	"ESR1"	"VEGFA"
"GPC3"	"OIT3"	"EPHB3"	"IRS4"	0.88757960811808	"LRRN4CL"	"RELN"	"NGEF"	"TPO"	"SCEL"	"PNPLA5"	"RXRG"	"FIBCD1"	"EPHB3"	"KCTD16"	"PLEKHN1"	"B4GALNT2"	"LINC02408"	"WSCD2"	"TPO"	"KLK13"	"TGFB1"	"TGFB1"	"APOE"	"TGFB1"	"EGFR"	"EGFR"	"TNF"	"TGFB1"	"TGFB1"	"TNF"
"IRS4"	"KLK4"	"EPHA10"	"GPC3"	0.861717372134039	"FGF10"	"LINC01977"	"HES2"	"GLI1"	"FAM180B"	"INAVA"	"GPR142"	"AC011298.1"	"TRPC5"	"RXRG"	"STXBP5L"	"VTCN1"	"SFTPA2"	"EPHB3"	"LRP1B"	"CST5"	"TNF"	"MTHFR"	"MTHFR"	"AKT1"	"TGFB1"	"AKT1"	"MTHFR"	"MTHFR"	"TNF"	"TP53"
"HMGA2"	"LYVE1"	"DIO1"	"HMGA2"	0.856407836538759	"PLEKHN1"	"SRCIN1"	"FGF10"	"IRS4"	"CDH2"	"TMEM92"	"CHRNA4"	"WSCD2"	"B3GNT3"	"ZMAT4"	"TMPRSS11E"	"LINC02471"	"GRHL3"	"IGFL2"	"CSF2"	"MRO"	"ESR1"	"APOE"	"AKT1"	"TNF"	"AKT1"	"VEGFA"	"IL6"	"VEGFA"	"MTHFR"	"IL6"
"EPHB3"	"NRXN1"	"GPC3"	"FN1"	0.805555555555556	"HAPLN1"	"COL13A1"	"CDH19"	"KCNQ3"	"RPS29P11"	"SRCIN1"	"KLHDC8A"	"LAMB3"	"PCDH11X"	"CDH3"	"MT1G"	"AL353746.1"	"HS6ST3"	"CDH3"	"DPP4"	"EPHA5"	"IL6"	"VEGFA"	"TNF"	"APOE"	"VEGFA"	"TGFB1"	"EGFR"	"ESR1"	"IL6"	"ESR1"
"FN1"	"FGF10"	"CRLF2"	"SLC34A2"	0.794840635226581	"HAGLROS"	"HAPLN1"	"SLC6A15"	"DPP4"	"HNRNPA1P27"	"EPHA5"	"MISP"	"AC046195.1"	"AC104137.1"	"INAVA"	"AP002358.1"	"SERTM1"	"RXRG"	"UNC5B.AS1"	"GDF15"	"TSPAN19"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"CRLF2"	"GRHL3"	"MUC21"	"CRLF2"	0.767045454545455	"AP000997.4"	"CHRDL1"	"TRPC5"	"DIO1"	"CNMD"	"MAN1A2P1"	"CLDN16"	"BMP8A"	"CHI3L1"	"TCEAL5"	"ODAM"	"PPP1R1B"	"ZNF536"	"FOXJ1"	"DCHS2"	"NRXN1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"EPHA10"	"PTCHD4"	"IRS4"	"DPP4"	0.759259259259259	"PTCHD4"	"LRRN4CL"	"IPCEF1"	"TFF3"	"DCSTAMP"	"GPC3"	"SLC25A47P1"	"MYOC"	"TSPAN19"	"C1QL1"	"LAMB3"	"TMEM92"	"SLC25A47P1"	"GLI1"	"GLI1"	"ZCCHC12"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
