"mrmr"	"da"	"newDa"	"newDaScores"	"rf"	"MI"	"limma"	"daLFC"	"daRedMrmr"	"random.1"	"random.2"	"random.3"	"random.4"	"random.5"	"random.6"	"random.7"	"random.8"	"random.9"	"random.10"	"relief"	"top-random-1"	"top-random-2"	"top-random-3"	"top-random-4"	"top-random-5"	"top-random-6"	"top-random-7"	"top-random-8"	"top-random-9"	"top-random-10"
"HOXA13.HOXA13"	"GDF2"	"HOXA13"	"HOXA13"	1	"GABRD"	"CLEC4M"	"CFTR"	"GABRD"	"GABRD"	"SLC6A19"	"RSPO3"	"KIF20A"	"KIF18B"	"GPR182"	"LINC01018"	"HOXD9"	"COL9A1"	"CYP2C8"	"GNG4"	"GDF2"	"MTHFR"	"EGFR"	"TP53"	"EGFR"	"TP53"	"TNF"	"ESR1"	"TNF"	"AKT1"	"MTHFR"
"GPC3"	"GABRD"	"GYS2"	"GYS2"	0.967032967032967	"VIPR1"	"VIPR1"	"ANLN"	"TOP2A"	"RSPO3"	"ZIC5"	"IGFALS"	"CDC20"	"BUB1"	"AC104809.1"	"LINC01287"	"GYS2"	"GCGR"	"CFP"	"HAMP"	"CXCL14"	"VEGFA"	"TNF"	"IL6"	"TP53"	"APOE"	"MTHFR"	"VEGFA"	"EGFR"	"VEGFA"	"APOE"
"TERT"	"CYP2C19"	"ADRA1A"	"ADRA1A"	0.958333333333333	"COLEC10"	"GABRD"	"MARCO"	"RSPO3"	"TOP2A"	"C7"	"TIMD4"	"UROC1"	"CD5L"	"HHIP"	"BMP5"	"FOLH1B"	"CYP4A22"	"HAO2"	"MYBL2"	"EBF2"	"EGFR"	"AKT1"	"ESR1"	"IL6"	"ESR1"	"IL6"	"AKT1"	"APOE"	"APOE"	"EGFR"
"TOP2A"	"EBF2"	"AKR1D1"	"AKR1D1"	0.950354609929078	"FCN2"	"ANGPTL6"	"DEPDC1"	"CDKN2A"	"GYS2"	"APOF"	"COL6A6"	"AC104809.2"	"SLCO1B3"	"FCN3"	"BCO2"	"GPM6A"	"CDC25C"	"HAMP"	"COL9A1"	"CLEC4G"	"APOE"	"TP53"	"EGFR"	"ESR1"	"TNF"	"TP53"	"TP53"	"TP53"	"TP53"	"TGFB1"
"CDKN2A"	"ANGPTL6"	"SSX1"	"TOP2A"	0.950248756218905	"CLEC4M"	"STAB2"	"ZIC2"	"ANGPTL6"	"ANGPTL6"	"THBS4"	"GYS2"	"ISX"	"CYP2C8"	"KIF2C"	"FCN2"	"EPS8L3"	"UGT1A4"	"SLC7A11"	"GPC3"	"CLEC1B"	"TP53"	"IL6"	"TGFB1"	"VEGFA"	"IL6"	"APOE"	"TGFB1"	"AKT1"	"EGFR"	"AKT1"
"SCG2"	"NOX4"	"TOP2A"	"GPC3"	0.876	"NOX4"	"FCN3"	"NGFR"	"UBE2C"	"ADRA1A"	"HJURP"	"NUDT10"	"HAMP"	"COL6A6"	"MT1G"	"GNG4"	"SLCO1B3"	"GLYAT"	"DNER"	"IL1RL1"	"CRHBP"	"AKT1"	"ESR1"	"VEGFA"	"MTHFR"	"MTHFR"	"ESR1"	"APOE"	"IL6"	"ESR1"	"VEGFA"
"ADRA1A"	"NUF2"	"RSPO3"	"TERT"	0.833333333333333	"CLEC1B"	"FCN2"	"CDH19"	"PTH1R"	"CDKN2A"	"THRSP"	"HOXA13"	"STAB2"	"DBH"	"CYP39A1"	"BMPER"	"FAM83F"	"GPM6A"	"CYP2C19"	"BCO2"	"CFP"	"TGFB1"	"TGFB1"	"APOE"	"TGFB1"	"EGFR"	"EGFR"	"TNF"	"TGFB1"	"TGFB1"	"TNF"
"UGT1A4"	"ITLN1"	"GPC3"	"CDKN2A"	0.851531786053522	"BMP10"	"CLEC1B"	"SPP2"	"HJURP"	"TERT"	"TROAP"	"HJURP"	"RDH16"	"ASPG"	"EPS8L3"	"TAT"	"CYP2C8"	"AC104809.1"	"NEIL3"	"LINC00844"	"ZIC2"	"TNF"	"MTHFR"	"MTHFR"	"AKT1"	"TGFB1"	"AKT1"	"MTHFR"	"MTHFR"	"TNF"	"TP53"
"AKR1D1"	"C14orf180"	"CDKN2A"	"UGT1A4"	0.818181818181818	"GDF2"	"CLEC4G"	"CD5L"	"ADRA1A"	"TTC36"	"CLEC4G"	"CHST4"	"CTHRC1"	"C14orf180"	"KCNN2"	"MME"	"HAMP"	"SLITRK3"	"AC092384.2"	"SSX1"	"COLEC10"	"ESR1"	"APOE"	"AKT1"	"TNF"	"AKT1"	"VEGFA"	"IL6"	"VEGFA"	"MTHFR"	"IL6"
"SSX1"	"COL15A1"	"TERT"	"GABRD"	0.796296296296296	"CLEC4G"	"GDF2"	"KCNN2"	"BUB1"	"UBE2C"	"SRD5A2"	"F9"	"E2F8"	"SRD5A2"	"CDH19"	"EBF2"	"RDH16"	"LYVE1"	"SLC22A1"	"FOLH1B"	"GABRD"	"IL6"	"VEGFA"	"TNF"	"APOE"	"VEGFA"	"TGFB1"	"EGFR"	"ESR1"	"IL6"	"ESR1"
