"mrmr"	"da"	"newDa"	"newDaScores"	"rf"	"MI"	"limma"	"daLFC"	"daRedMrmr"	"random.1"	"random.2"	"random.3"	"random.4"	"random.5"	"random.6"	"random.7"	"random.8"	"random.9"	"random.10"	"relief"	"top-random-1"	"top-random-2"	"top-random-3"	"top-random-4"	"top-random-5"	"top-random-6"	"top-random-7"	"top-random-8"	"top-random-9"	"top-random-10"
"ESR1.ESR1"	"ANGPTL6"	"ESR1"	"ESR1"	1	"VIPR1"	"VIPR1"	"ANLN"	"GABRD"	"GABRD"	"GCGR"	"VIPR1"	"SPP2"	"KCNN2"	"MUC6"	"NTF3"	"AVPR1A"	"UROC1"	"FXYD1"	"TTK"	"EBF2"	"APOE"	"APOE"	"EGFR"	"IL6"	"TGFB1"	"AKT1"	"MTHFR"	"TP53"	"ESR1"	"IL6"
"TERT"	"GABRD"	"HOXA13"	"GYS2"	0.969298245614035	"GABRD"	"GABRD"	"MARCO"	"BUB1B"	"RSPO3"	"EBF2"	"SLC10A1"	"ISX"	"HGFAC"	"BMP5"	"MDK"	"TOP2A"	"BUB1"	"LINC02428"	"CCBE1"	"HOXA13"	"AKT1"	"VEGFA"	"ESR1"	"MTHFR"	"EGFR"	"IL6"	"EGFR"	"ESR1"	"AKT1"	"TNF"
"GPC3"	"BMP10"	"GYS2"	"ADRA1A"	0.95970695970696	"COLEC10"	"MARCO"	"DEPDC1"	"TOP2A"	"TOP2A"	"ANLN"	"ASPG"	"SKA3"	"GDF2"	"E2F8"	"IQGAP3"	"SLC6A19"	"NAT2"	"SLITRK3"	"FAM72D"	"AL021328.1"	"MTHFR"	"EGFR"	"IL6"	"AKT1"	"ESR1"	"TGFB1"	"AKT1"	"EGFR"	"VEGFA"	"AKT1"
"TOP2A"	"COL15A1"	"ADRA1A"	"AKR1D1"	0.946808510638298	"EBF2"	"CLEC4M"	"ZIC2"	"KIFC1"	"CDKN2A"	"DLGAP5"	"CHRM2"	"ADRA1A"	"CNDP1"	"SCARA5"	"SLC5A1"	"PITPNM3"	"HAMP"	"CDC20"	"OXT"	"GRIN2B"	"ESR1"	"TNF"	"MTHFR"	"EGFR"	"AKT1"	"VEGFA"	"ESR1"	"TNF"	"MTHFR"	"EGFR"
"CDKN2A"	"CYP2C8"	"AKR1D1"	"GPC3"	0.946517412935323	"ANGPTL6"	"ANGPTL6"	"PRSS8"	"CDKN2A"	"GYS2"	"MFSD2A"	"MT1X"	"COL15A1"	"CYP2A7"	"DLGAP5"	"FAM99A"	"ANGPTL6"	"CDKN2B.AS1"	"LINC01612"	"IL13RA2"	"CFP"	"TP53"	"ESR1"	"APOE"	"ESR1"	"TP53"	"TNF"	"APOE"	"APOE"	"APOE"	"ESR1"
"UGT1A4"	"ESM1"	"TOP2A"	"TERT"	0.884494306803981	"GDF2"	"FCN2"	"ASPM"	"ANGPTL6"	"KIFC1"	"AC008549.1"	"FOXM1"	"HJURP"	"PRSS8"	"CYP2A6"	"BIRC5"	"TTK"	"FAM99A"	"FOSB"	"PVALB"	"CCBE1"	"TNF"	"AKT1"	"TP53"	"TGFB1"	"MTHFR"	"APOE"	"TP53"	"TGFB1"	"TP53"	"TGFB1"
"GRIN2B"	"THBS4"	"RSPO3"	"GRIN2B"	0.880952380952381	"NTF3"	"PTH1R"	"PITX1"	"PTH1R"	"ANGPTL6"	"GPM6A"	"CTHRC1"	"E2F8"	"FCN3"	"NEIL3"	"SYT9"	"LPA"	"HEPACAM"	"FAM83A.AS1"	"SPP2"	"PVALB"	"TGFB1"	"TGFB1"	"TGFB1"	"APOE"	"VEGFA"	"MTHFR"	"VEGFA"	"IL6"	"EGFR"	"VEGFA"
"HOXA13"	"AC107396.1"	"GPC3"	"CDKN2A"	0.891865079365079	"PTH1R"	"CLEC4G"	"CDH19"	"UBE2C"	"ADRA1A"	"HJURP"	"ITLN1"	"MARCO"	"SYT9"	"ESM1"	"LINC01018"	"DIRAS3"	"HAND2.AS1"	"DNASE1L3"	"DEPDC1"	"PTH1R"	"VEGFA"	"IL6"	"VEGFA"	"VEGFA"	"APOE"	"TP53"	"TGFB1"	"AKT1"	"TGFB1"	"APOE"
"BUB1B"	"C14orf180"	"CDKN2A"	"TOP2A"	0.866185897435897	"CLEC1B"	"NTF3"	"SPP2"	"HJURP"	"TERT"	"HMMR"	"KIF18A"	"MT1F"	"CKAP2L"	"ESR1"	"SLC22A1"	"SHBG"	"FOLH1B"	"CHST4"	"LINC01419"	"GDF2"	"EGFR"	"MTHFR"	"TNF"	"TP53"	"TNF"	"EGFR"	"TNF"	"MTHFR"	"TNF"	"MTHFR"
"AKR1D1"	"CXCL14"	"BUB1B"	"UGT1A4"	0.797979797979798	"CLEC4G"	"GDF2"	"HMMR"	"ESR1"	"ESR1"	"RSPO3"	"LINC00844"	"CTHRC1"	"LINC01093"	"MARCO"	"TROAP"	"CYP1A2"	"APOF"	"FCN2"	"DIRAS3"	"CLEC4M"	"IL6"	"TP53"	"AKT1"	"TNF"	"IL6"	"ESR1"	"IL6"	"VEGFA"	"IL6"	"TP53"
"ADRA1A"	"CDK1"	"TERT"	"HOXA13"	0.766666666666667	"RSPO3"	"MELK"	"CD5L"	"CDKN3"	"TTC36"	"SLC25A47"	"MFSD2A"	"RAB3B"	"HAND2.AS1"	"TTK"	"MT1F"	"APOF"	"PRSS8"	"IGFALS"	"BBOX1"	"COL15A1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"CYP2C8"	"ASS1P2"	"GABRD"	"GABRD"	0.727764152502683	"BMP10"	"HMMR"	"PPP2R2C"	"DLGAP5"	"GRIN2B"	"FAM111B"	"CYP4A22"	"EPS8L3"	"BIRC5"	"FAM180A"	"KIF18B"	"GPR182"	"PTH1R"	"APLN"	"CXCL14"	"VIPR1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"GABRD"	"RSPO3"	"GRIN2B"	"KIFC1"	0.633333333333333	"AC107396.1"	"BIRC5"	"KCNN2"	"ADRA1A"	"BUB1B"	"CDC25C"	"NTF3"	"UROC1"	"ZIC2"	"CHRM2"	"SCARA5"	"CKAP2L"	"ESM1"	"DLGAP5"	"APLN"	"FCN2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ISX"	"EBF2"	"UGT1A4"	"BUB1B"	0.610858652706552	"FCN2"	"HJURP"	"BIRC5"	"BUB1"	"AKR1D1"	"C3orf85"	"HMMR"	"FOSB"	"FCN2"	"THBS4"	"ANGPTL6"	"PTH1R"	"CDKN2A"	"EPS8L3"	"SLC5A1"	"INS.IGF2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
