"mrmr"	"da"	"newDa"	"newDaScores"	"rf"	"MI"	"limma"	"daLFC"	"daRedMrmr"	"random.1"	"random.2"	"random.3"	"random.4"	"random.5"	"random.6"	"random.7"	"random.8"	"random.9"	"random.10"	"relief"	"top-random-1"	"top-random-2"	"top-random-3"	"top-random-4"	"top-random-5"	"top-random-6"	"top-random-7"	"top-random-8"	"top-random-9"	"top-random-10"
"ESR1.ESR1"	"PTH1R"	"ESR1"	"ESR1"	1	"PTH1R"	"VIPR1"	"CFTR"	"GABRD"	"GABRD"	"RETREG1"	"SLC22A10"	"TICRR"	"AC087164.2"	"LPA"	"DNASE1L3"	"RSPO3"	"CDC25C"	"CLTRN"	"UGT1A4"	"GDF2"	"AKT1"	"AKT1"	"MTHFR"	"MTHFR"	"AKT1"	"TP53"	"IL6"	"ESR1"	"ESR1"	"EGFR"
"TERT"	"STC2"	"HOXA13"	"GYS2"	0.969298245614035	"VIPR1"	"FCN2"	"ANLN"	"BUB1B"	"RSPO3"	"AL161668.4"	"FOLH1B"	"AKR1D1"	"KIF4A"	"AMHR2"	"CYP1A1"	"SFRP5"	"C3orf85"	"STC2"	"SLITRK6"	"MFSD2A"	"IL6"	"IL6"	"EGFR"	"VEGFA"	"TNF"	"ESR1"	"EGFR"	"EGFR"	"TGFB1"	"ESR1"
"GPC3"	"GABRD"	"SFRP4"	"ADRA1A"	0.95970695970696	"COLEC10"	"PTH1R"	"MARCO"	"TOP2A"	"TOP2A"	"HOXA13"	"ANXA10"	"FAM163B"	"C7"	"VIPR1"	"UROC1"	"TAT"	"TROAP"	"AC112206.2"	"ZG16"	"CLEC4G"	"APOE"	"TGFB1"	"VEGFA"	"AKT1"	"APOE"	"MTHFR"	"TP53"	"AKT1"	"APOE"	"IL6"
"TOP2A"	"ANGPTL6"	"GYS2"	"AKR1D1"	0.946808510638298	"GABRD"	"BMPER"	"CYP3A43"	"PTH1R"	"GYS2"	"AC099508.2"	"SLC22A1"	"CCNB2"	"AC004160.1"	"PLGLA"	"PZP"	"LINC01370"	"SLC22A10"	"COL9A1"	"SFRP4"	"CRHBP"	"VEGFA"	"ESR1"	"TGFB1"	"ESR1"	"TGFB1"	"TNF"	"ESR1"	"TNF"	"EGFR"	"MTHFR"
"CDKN2A"	"ESM1"	"ADRA1A"	"GPC3"	0.946517412935323	"ANGPTL6"	"COLEC10"	"DEPDC1"	"ANGPTL6"	"ANGPTL6"	"CYP2C8"	"SIX1"	"RETREG1"	"UBE2C"	"NXF3"	"CLTRN"	"PCDH9.AS2"	"SLITRK6"	"RETREG1"	"HAGLR"	"CLEC4M"	"TP53"	"VEGFA"	"APOE"	"EGFR"	"IL6"	"AKT1"	"AKT1"	"APOE"	"IL6"	"VEGFA"
"UGT1A4"	"RSPO3"	"AKR1D1"	"TERT"	0.884494306803981	"EBF2"	"GABRD"	"ZIC2"	"CDKN2A"	"ESR1"	"NUF2"	"SMUG1P1"	"COLEC10"	"GDF2"	"GBA3"	"BMPER"	"PRSS8"	"PCDH9.AS2"	"LINC01370"	"FCN3"	"CLEC1B"	"MTHFR"	"MTHFR"	"TNF"	"TP53"	"TP53"	"EGFR"	"MTHFR"	"TGFB1"	"MTHFR"	"TP53"
"SIX1"	"VIPR1"	"SIX1"	"GRIN2B"	0.893162393162393	"BMPER"	"GDF2"	"PRSS8"	"ESR1"	"ADRA1A"	"VIPR1"	"RDH16"	"RSPO3"	"LINC00844"	"MT1H"	"ISX"	"IGF2"	"C14orf180"	"CLEC4G"	"CYP2E1"	"CCBE1"	"TNF"	"APOE"	"TP53"	"IL6"	"ESR1"	"VEGFA"	"TNF"	"MTHFR"	"AKT1"	"TNF"
"HOXA13"	"EBF2"	"TOP2A"	"CDKN2A"	0.883928571428571	"CLEC1B"	"MARCO"	"FSTL4"	"UBE2C"	"CDKN2A"	"BIRC5"	"TOP2A"	"BMP10"	"TRIM71"	"KANK4"	"LINC02027"	"COL6A6"	"LINC01419"	"FCN3"	"LINC00885"	"FCN3"	"TGFB1"	"TP53"	"IL6"	"TNF"	"EGFR"	"TGFB1"	"TGFB1"	"IL6"	"TP53"	"TGFB1"
"GRIN2B"	"BIRC5"	"RSPO3"	"TOP2A"	0.892857142857143	"FCN2"	"CLEC4M"	"PITX1"	"DLGAP5"	"BUB1B"	"GPM6A"	"THBS4"	"C14orf180"	"SFRP4"	"COLEC10"	"CXCL14"	"NTF3"	"CLEC4M"	"FREM2"	"GDF2"	"INS.IGF2"	"ESR1"	"TNF"	"ESR1"	"TGFB1"	"VEGFA"	"APOE"	"VEGFA"	"VEGFA"	"TNF"	"AKT1"
"SFRP4"	"MARCO"	"GPC3"	"UGT1A4"	0.87962962962963	"CLEC4G"	"ANGPTL6"	"SPP2"	"ADRA1A"	"TERT"	"OXT"	"GBA3"	"GLS2"	"SLC7A11"	"IQGAP3"	"TIMD4"	"TPPP2"	"SLCO1B3"	"SLC25A47"	"OXT"	"VIPR1"	"EGFR"	"EGFR"	"AKT1"	"APOE"	"MTHFR"	"IL6"	"APOE"	"TP53"	"VEGFA"	"APOE"
"BUB1B"	"COL9A1"	"CDKN2A"	"HOXA13"	0.876282051282051	"RSPO3"	"FCN3"	"CD5L"	"HJURP"	"UBE2C"	"TRIM71"	"MT1L"	"PZP"	"FAM151A"	"MT1JP"	"MT1L"	"GBA3"	"TPPP2"	"E2F8"	"TICRR"	"SMUG1P1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
