"mrmr"	"da"	"newDa"	"newDaScores"	"rf"	"MI"	"limma"	"daLFC"	"daRedMrmr"	"random.1"	"random.2"	"random.3"	"random.4"	"random.5"	"random.6"	"random.7"	"random.8"	"random.9"	"random.10"	"top.random.1"	"top.random.2"	"top.random.3"	"top.random.4"	"top.random.5"	"top.random.6"	"top.random.7"	"top.random.8"	"relief"
"FGFR2.FGFR2"	"SPINT2"	"FGFR2"	"FGFR2"	1	"CCNB2"	"SNCA"	"PARK7"	"PSMB2"	"FGFR2"	"TUBA4A"	"USP22"	"ZNF750"	"ROBO1"	"BCAS2"	"CDC20"	"CRCT1"	"CPE"	"MANSC1"	"HEBP2"	"TNF"	"TNF"	"AKT1"	"TP53"	"TNF"	"TNF"	"EGFR"	"VEGFA"	"LAMB2"
"TGM3"	"KIF2C"	"TGM3"	"TGM3"	1	"EIF4EBP1"	"TPP1"	"SRP14"	"KRT14"	"TGM3"	"CDSN"	"SPATA20"	"ESRP1"	"AHSA1"	"PFDN2"	"GAS7"	"PFDN2"	"ZDHHC7"	"UBE2S"	"PHC2"	"IL6"	"IL6"	"IL6"	"AKT1"	"VEGFA"	"APOE"	"IL6"	"APOE"	"S100A4"
"ATRX"	"CPQ"	"ATRX"	"ATRX"	1	"KIF2C"	"PPL"	"PSMB2"	"AHCY"	"PSMB2"	"MTHFD1"	"TUBB"	"TIMM13"	"IVL"	"KLK11"	"PTPRK"	"TSEN34"	"UBQLN2"	"CPE"	"HIGD2A"	"APOE"	"TP53"	"VEGFA"	"IL6"	"EGFR"	"IL6"	"ESR1"	"EGFR"	"S100A2"
"PTPRK"	"EIF4EBP1"	"PTPRK"	"PTPRK"	0.996527777777778	"H2AX"	"RNASEH2A"	"ERH"	"FGFR2"	"FGFR3"	"HIGD2A"	"PABPC3"	"TSPAN5"	"CD24"	"C14orf132"	"STK26"	"MELK"	"LAMB2"	"CDC34"	"CDKN1B"	"EGFR"	"APOE"	"ESR1"	"APOE"	"IL6"	"ESR1"	"VEGFA"	"IL6"	"KRT1"
"SET"	"MGST3"	"SET"	"SET"	0.96875	"ACOT7"	"SRPX"	"YY1"	"FEN1"	"CDSN"	"POLR2F"	"GJB3"	"RTRAF"	"ANAPC5"	"LAMA4"	"PCBP1"	"CPQ"	"PUM1"	"CDV3"	"PRKDC"	"VEGFA"	"AKT1"	"APOE"	"TNF"	"TP53"	"AKT1"	"TP53"	"ESR1"	"KRT14"
"TUBB"	"SNCA"	"TUBB"	"TUBB"	0.948658924009646	"BBOX1"	"DAAM2"	"TAF10"	"DSC3"	"BCL11B"	"CYFIP2"	"SLC30A1"	"NIPA2"	"GJB3"	"ROBO1"	"ATP6V1B2"	"LEMD3"	"SOX15"	"WDR47"	"NFIB"	"AKT1"	"VEGFA"	"TP53"	"VEGFA"	"ESR1"	"TP53"	"TNF"	"TNF"	"KRT5"
"FGFR3"	"HSD17B11"	"FGFR3"	"FGFR3"	0.900751736111111	"PSMB2"	"PLP1"	"NPM1"	"CCT3"	"UBE2C"	"QPCT"	"CCN3"	"MANSC1"	"CCNB2"	"CCNB1"	"LY6D"	"XRCC6"	"HYOU1"	"YY1"	"IFITM3"	"TP53"	"ESR1"	"TNF"	"ESR1"	"AKT1"	"EGFR"	"APOE"	"TP53"	"TRIM29"
"TOP2B"	"PDZD2"	"TOP2B"	"TOP2B"	0.886111111111111	"NUTF2"	"PDZD2"	"HSP90AB1"	"PPL"	"SFN"	"SARAF"	"ODC1"	"CPE"	"EBAG9"	"SHROOM2"	"ATP6V0E2"	"CMC2"	"SNRNP25"	"GNPTAB"	"ID4"	"ESR1"	"EGFR"	"EGFR"	"EGFR"	"APOE"	"VEGFA"	"AKT1"	"AKT1"	"KRT10"
"CEBPA"	"FEN1"	"CEBPA"	"CEBPA"	0.875	"RNASEH2A"	"EMP3"	"OAZ1"	"TAF10"	"FEN1"	"LIMK2"	"TAF10"	"DEFB1"	"UCP2"	"CDC42EP3"	"FGFR3"	"S100A10"	"TIMM13"	"LRRFIP2"	"ZWINT"	NA	NA	NA	NA	NA	NA	NA	NA	"FCGRT"
"CDSN"	"TUFT1"	"CDSN"	"CDSN"	0.85689167799832	"UBE2C"	"PSMB2"	"USP22"	"CCNB1"	"CCT3"	"ZNF106"	"DEFB1"	"CAB39"	"NFIB"	"CCNB2"	"ILK"	"LDHB"	"SELENBP1"	"HSPA2"	"RPS16"	NA	NA	NA	NA	NA	NA	NA	NA	"OAZ1"
