"mrmr"	"da"	"newDa"	"newDaScores"	"rf"	"MI"	"limma"	"daLFC"	"daRedMrmr"	"random.1"	"random.2"	"random.3"	"random.4"	"random.5"	"random.6"	"random.7"	"random.8"	"random.9"	"random.10"	"top.random.1"	"top.random.2"	"top.random.3"	"top.random.4"	"top.random.5"	"top.random.6"	"top.random.7"	"top.random.8"	"relief"
"FGFR2.FGFR2"	"HSD17B11"	"FGFR2"	"FGFR2"	1	"EXPH5"	"FEN1"	"PARK7"	"PSMB2"	"FGFR2"	"CACYBP"	"POLR2H"	"CCNB2"	"ILK"	"DPYSL2"	"TMEM30B"	"COPG1"	"CD24"	"KRT15"	"ARPC4"	"VEGFA"	"IL6"	"IL6"	"AKT1"	"ESR1"	"IL6"	"TP53"	"TNF"	"KRT14"
"PTPRK"	"PSMB2"	"PTPRK"	"PTPRK"	0.996527777777778	"NEBL"	"PLP1"	"RPL19"	"FEN1"	"FEN1"	"DSC3"	"SPARCL1"	"TULP4"	"ELL3"	"ORAI3"	"TPD52L1"	"DAAM2"	"CCT5"	"WDR82"	"RPN1"	"TNF"	"VEGFA"	"AKT1"	"EGFR"	"EGFR"	"VEGFA"	"IL6"	"TP53"	"EPB41L4B"
"SDHC"	"DSC3"	"SDHC"	"SDHC"	0.96875	"CKS2"	"HSD17B11"	"RPL10A"	"FGFR2"	"PSMB2"	"HMMR"	"HLA.DPB1"	"PRKDC"	"CRELD2"	"AHCY"	"DPYSL2"	"PLTP"	"RFX5"	"IFNGR2"	"HLA.DPB1"	"IL6"	"TNF"	"ESR1"	"VEGFA"	"VEGFA"	"TNF"	"EGFR"	"EGFR"	"CDS1"
"TUBB"	"CPQ"	"TUBB"	"TUBB"	0.948658924009646	"PTGIS"	"CCN3"	"PSMB2"	"CCNB1"	"DSC3"	"PPP1R13L"	"GNAI1"	"CPQ"	"CUTA"	"KDELR3"	"ACYP1"	"JARID2"	"RPS16"	"VPS4A"	"ESYT1"	"APOE"	"AKT1"	"VEGFA"	"APOE"	"IL6"	"EGFR"	"AKT1"	"AKT1"	"TRIM29"
"CSNK2B"	"MGST3"	"FGFR3"	"CSNK2B"	0.901944444444444	"APOD"	"APOD"	"YY1"	"KRT14"	"FGFR3"	"UBE2C"	"DAAM2"	"ZWINT"	"LDHB"	"SNRPD3"	"DCLK1"	"RBBP7"	"CLIC1"	"KTN1"	"RHOT1"	"AKT1"	"APOE"	"APOE"	"TNF"	"AKT1"	"AKT1"	"APOE"	"VEGFA"	"ATP6V1B2"
"FGFR3"	"MATN2"	"CSNK2B"	"FGFR3"	0.895604583333333	"DSC3"	"DAAM2"	"TAF10"	"ATIC"	"CCNB1"	"OSBPL8"	"RAB27A"	"LPCAT1"	"YME1L1"	"DIO2"	"SLC38A1"	"RRM2"	"SNRPD1"	"CFAP298"	"RWDD1"	"EGFR"	"EGFR"	"TP53"	"TP53"	"APOE"	"TP53"	"VEGFA"	"IL6"	"TMEM30B"
"TCF25"	"NEBL"	"TCF25"	"TCF25"	0.830410826271892	"EIF4EBP1"	"DSC3"	"NPM1"	"RFC4"	"COLEC12"	"EMP3"	"NDUFA8"	"CACYBP"	"ESD"	"FANCI"	"CANX"	"STXBP1"	"ECM1"	"HEBP1"	"LRBA"	"TP53"	"ESR1"	"TNF"	"IL6"	"TP53"	"APOE"	"ESR1"	"APOE"	"DSG1"
"KIF5B"	"FEN1"	"KIF5B"	"KIF5B"	0.8125	"LPAR1"	"SRPX"	"CANX"	"NPM1"	"UBE2C"	"FGFR2"	"ITGB5"	"TBCB"	"MRPL57"	"CCT3"	"ATP5MPL"	"S100A6"	"ESD"	"GPX1"	"GINS1"	"ESR1"	"TP53"	"EGFR"	"ESR1"	"TNF"	"ESR1"	"TNF"	"ESR1"	"PIK3CD"
"RFC4"	"TPP1"	"RFC4"	"RFC4"	0.811021405018343	"DSG1"	"ITGB5"	"MSN"	"CCT3"	"CDKN2A"	"RBM47"	"KTN1"	"PLPP1"	"SMS"	"RACGAP1"	"TENT4A"	"NIPA2"	"KRT5"	"CCN3"	"SNRNP25"	NA	NA	NA	NA	NA	NA	NA	NA	"CXCL14"
"JUP"	"EPB41L4B"	"JUP"	"JUP"	0.793048248995856	"CCN3"	"CKS2"	"DSP"	"AHCY"	"HSD17B11"	"CDH3"	"HDDC2"	"MYCL"	"TRIM29"	"NEBL"	"HSD17B11"	"LDHB"	"PSMD8"	"DCLK1"	"SLC38A2"	NA	NA	NA	NA	NA	NA	NA	NA	"KRT5"
"CLIC1"	"PRELP"	"CLIC1"	"CLIC1"	0.785905277777778	"ACKR1"	"TPP1"	"MLEC"	"CKS1B"	"JUP"	"NIPA2"	"KIF2C"	"TPP1"	"PARP4"	"VPS4A"	"NDUFA8"	"MCM7"	"ATP6V1B2"	"HNRNPA0"	"FANCI"	NA	NA	NA	NA	NA	NA	NA	NA	"PPP2R5E"
"ATIC"	"CCNB2"	"ATIC"	"ATIC"	0.78125	"PIK3CD"	"QPCT"	"CSRP1"	"POLR2H"	"RFC4"	"CD24"	"PKIG"	"TENT4A"	"OSBPL8"	"BCHE"	"CYFIP2"	"ZFAND6"	"SNRNP25"	"POMP"	"SCNN1A"	NA	NA	NA	NA	NA	NA	NA	NA	"PPP4R1"
"JAG2"	"NPC2"	"JAG2"	"JAG2"	0.777482156346406	"CCNB2"	"CPQ"	"PHB"	"COLEC12"	"CCT3"	"CTNNBIP1"	"ARL6IP1"	"SPARCL1"	"YY1"	"ATP5MPL"	"SPINT2"	"LDB2"	"SNRPE"	"PPP3CA"	"SERINC3"	NA	NA	NA	NA	NA	NA	NA	NA	"GAPDH"
"PSMB5"	"TUFT1"	"PSMB5"	"PSMB5"	0.770694444444444	"EPB41L4B"	"ACKR1"	"CTSA"	"PPP1R13L"	"AFF1"	"SMARCA2"	"CCT5"	"PPP4R1"	"S100A10"	"TULP4"	"CDH3"	"CCT7"	"NRDC"	"EIF3H"	"RRM2"	NA	NA	NA	NA	NA	NA	NA	NA	"PLPP1"
"CCNB1"	"EIF4EBP1"	"CCNB1"	"CCNB1"	0.769229455479633	"PPP1R13L"	"FGFR2"	"YWHAQ"	"CCNB2"	"KRT15"	"HAX1"	"RWDD1"	"PPP1R13L"	"COPS7A"	"SLK"	"CKAP4"	"SMARCA2"	"CKAP4"	"MYCL"	"SMARCA2"	NA	NA	NA	NA	NA	NA	NA	NA	"CXCL12"
"YWHAQ"	"OXA1L"	"YWHAQ"	"YWHAQ"	0.767777949455837	"NUTF2"	"MGST3"	"NPC2"	"HSD17B11"	"PTPRK"	"H2AX"	"KRT15"	"MARCHF2"	"RPL3"	"FARP1"	"HEBP1"	"FBXO7"	"IFNGR2"	"MTX2"	"PTPRM"	NA	NA	NA	NA	NA	NA	NA	NA	"UCHL3"
"CDKN2A"	"CKS2"	"CDKN2A"	"CDKN2A"	0.756622453993056	"LDB2"	"EXPH5"	"GPX1"	"CDKN2A"	"CPQ"	"TAF10"	"PLP1"	"GJB3"	"ADIPOR1"	"TCF25"	"NR2F2"	"BCAS2"	"JUP"	"EPPK1"	"CCN3"	NA	NA	NA	NA	NA	NA	NA	NA	"TMSB10"
"PSMA1"	"UBL3"	"PSMA1"	"PSMA1"	0.75375820537289	"CDKN2A"	"PTGIS"	"TPP1"	"DSG1"	"SLK"	"CCNB1"	"ZNHIT1"	"COL4A5"	"HAX1"	"ZNF106"	"KRT5"	"CPE"	"ZWINT"	"RRM2"	"ADIPOR1"	NA	NA	NA	NA	NA	NA	NA	NA	"PLSCR4"
"RANBP2"	"DAAM2"	"RANBP2"	"RANBP2"	0.752543813322829	"INAVA"	"RNASEH2A"	"DPYSL2"	"UBE2C"	"CCNB2"	"LDHB"	"EIF3K"	"COLEC12"	"CCT3"	"STXBP1"	"ELL3"	"LRIG1"	"STXBP1"	"EIF3K"	"HSPA2"	NA	NA	NA	NA	NA	NA	NA	NA	"NUTF2"
"PSMB2"	"HEBP2"	"PSMB2"	"PSMB2"	0.745694444444444	"ACOT7"	"EMP3"	"SPARCL1"	"TUBB"	"TUBA4A"	"MTX2"	"SDHC"	"FANCI"	"COX8A"	"LRBA"	"EFNB2"	"UCHL3"	"S100A6"	"CLIC1"	"PRELP"	NA	NA	NA	NA	NA	NA	NA	NA	"DPYSL2"
"USP7"	"ACKR1"	"DROSHA"	"USP7"	0.731423255668934	"TUFT1"	"CCNB2"	"LMAN2"	"DSC3"	"ATIC"	"USP7"	"CDH3"	"HNRNPA0"	"LMAN2"	"INAVA"	"ST6GALNAC2"	"BET1"	"MYL6B"	"SNRPE"	"SNAP23"	NA	NA	NA	NA	NA	NA	NA	NA	"PPP1R13L"
"NPM1"	"NUTF2"	"AHCY"	"NPM1"	0.72695	"CPQ"	"LPAR1"	"CCT7"	"HDAC1"	"KRT14"	"TERF2IP"	"CCN3"	"SNAP23"	"FARP1"	"YPEL5"	"EPB41L4B"	"ANK2"	"ACOT7"	"TIMM9"	"HEBP2"	NA	NA	NA	NA	NA	NA	NA	NA	"GNAI1"
"DROSHA"	"HDAC1"	"USP7"	"DROSHA"	0.726444762961627	"TMEM30B"	"TUFT1"	"PSMD8"	"DSP"	"DSG1"	"ENSA"	"RAB25"	"TRIM29"	"PLTP"	"UBL3"	"YY1"	"RFC4"	"RTRAF"	"CD24"	"EIF3K"	NA	NA	NA	NA	NA	NA	NA	NA	"LPAR1"
"AFF1"	"NDUFS3"	"LPCAT1"	"AFF1"	0.722757987731726	"FGFR2"	"PRELP"	"S100A10"	"TAF10"	"TUBB"	"C1orf116"	"ACYP1"	"RBPJ"	"PUM1"	"PTPRK"	"RANBP2"	"SLC38A1"	"NPM1"	"CADPS2"	"IFNGR2"	NA	NA	NA	NA	NA	NA	NA	NA	"HSD17B11"
"CCT5"	"FGFR2"	"NPM1"	"CCT5"	0.721005555555556	"COLEC12"	"EIF4EBP1"	"PSMB1"	"AFF1"	"AHCY"	"CANX"	"TLE4"	"HMMR"	"SLC38A2"	"PRC1"	"RAB25"	"CD164"	"POMP"	"PIGB"	"USP47"	NA	NA	NA	NA	NA	NA	NA	NA	"CHN1"
"HSPA2"	"SPRED2"	"AFF1"	"HSPA2"	0.712942438076973	"PSMB2"	"C14orf132"	"AHCY"	"ZWINT"	"USP7"	"HEBP1"	"ATP5MPL"	"PLEKHB2"	"AHCY"	"RAB8A"	"MARCHF2"	"LAMA4"	"KTN1"	"DSP"	"BPTF"	NA	NA	NA	NA	NA	NA	NA	NA	"DYNC1I2"
"CCT7"	"PIK3CD"	"CCT5"	"CCT7"	0.711805555555556	"AKR1B1"	"MELK"	"CCT3"	"AKR1B1"	"DSP"	"MRPS33"	"ESD"	"CDKN3"	"RBBP7"	"MELK"	"CD24"	"AHCY"	"RORA"	"PRC1"	"ASAH1"	NA	NA	NA	NA	NA	NA	NA	NA	"RAB25"
