"mrmr"	"da"	"newDa"	"newDaScores"	"rf"	"MI"	"limma"	"daLFC"	"daRedMrmr"	"random.1"	"random.2"	"random.3"	"random.4"	"random.5"	"random.6"	"random.7"	"random.8"	"random.9"	"random.10"	"top.random.1"	"top.random.2"	"top.random.3"	"top.random.4"	"top.random.5"	"top.random.6"	"top.random.7"	"top.random.8"	"relief"
"PPP2R1A.PPP2R1A"	"PSMB2"	"PPP2R1A"	"PPP2R1A"	1	"NEBL"	"PLP1"	"SRP14"	"SET"	"FGFR2"	"CYB5R3"	"PCLAF"	"DSG1"	"APOD"	"LIMK2"	"UBE2V2"	"SNRNP25"	"SELENBP1"	"IQGAP1"	"EMP1"	"VEGFA"	"IL6"	"ESR1"	"ESR1"	"TP53"	"TP53"	"EGFR"	"APOE"	"RPL3"
"FGFR2"	"S100A13"	"FGFR2"	"FGFR2"	1	"CCNB2"	"SNCA"	"TARDBP"	"PSMB2"	"FGFR3"	"RANBP2"	"TPI1"	"USP7"	"RBBP7"	"BRD1"	"PTBP1"	"HNRNPA0"	"TMEM258"	"TMEM43"	"PTPRM"	"AKT1"	"TNF"	"IL6"	"TNF"	"IL6"	"APOE"	"APOE"	"AKT1"	"CDSN"
"PTPRK"	"HSD17B11"	"PTPRK"	"PTPRK"	0.996527777777778	"EIF4EBP1"	"EIF4EBP1"	"NARS1"	"FGFR2"	"PSMB2"	"PLEKHB2"	"APOD"	"PLEKHB2"	"EEF1A1"	"RORA"	"NARS1"	"S100A2"	"TRIM8"	"LSM7"	"STAT6"	"APOE"	"AKT1"	"VEGFA"	"EGFR"	"TNF"	"IL6"	"TP53"	"VEGFA"	"FBXO7"
"SET"	"CCNB2"	"SET"	"SET"	0.96875	"CKS2"	"RNASEH2A"	"PSMB2"	"KRT14"	"SET"	"ST3GAL6"	"ATP6V0E2"	"CCN3"	"ENTPD6"	"USP47"	"NDRG2"	"ASS1"	"FCGRT"	"RPA1"	"ZDHHC7"	"TP53"	"EGFR"	"EGFR"	"IL6"	"APOE"	"EGFR"	"IL6"	"ESR1"	"AP3D1"
"FGFR3"	"EPB41L4B"	"FGFR3"	"FGFR3"	0.9264875	"NUTF2"	"CCNB2"	"ERH"	"CCNB1"	"UBE2C"	"HEXB"	"FANCI"	"NCAPG"	"USP47"	"CCNB1"	"APOD"	"SACM1L"	"TPD52L1"	"TLCD3A"	"FCGRT"	"EGFR"	"ESR1"	"TP53"	"AKT1"	"VEGFA"	"ESR1"	"VEGFA"	"EGFR"	"RPS15"
"RPA1"	"QPCT"	"RPA1"	"RPA1"	0.861025302705897	"UBE2C"	"SRPX"	"ABCF1"	"FEN1"	"FEN1"	"S100A13"	"GPR87"	"BCAS2"	"LRBA"	"CRYAB"	"CERS6"	"PPP2R1A"	"RHOB"	"APOD"	"AHSA1"	"ESR1"	"APOE"	"APOE"	"VEGFA"	"EGFR"	"VEGFA"	"ESR1"	"TP53"	"EEF1A1"
"CDSN"	"EIF4EBP1"	"CDSN"	"CDSN"	0.85689167799832	"FGFR3"	"HSD17B11"	"YY1"	"FGFR3"	"CDSN"	"DNMT1"	"PTPRK"	"ERH"	"PTBP1"	"NISCH"	"MGST3"	"AHCYL2"	"HSPA2"	"CKS2"	"COPE"	"TNF"	"TP53"	"AKT1"	"TP53"	"ESR1"	"AKT1"	"AKT1"	"IL6"	"ISG20L2"
"RFC4"	"MGST3"	"RFC4"	"RFC4"	0.811021405018343	"APOD"	"PPL"	"ILF2"	"AHCY"	"ST3GAL6"	"SPINK5"	"LIMK2"	"UBE2E1"	"TSPYL5"	"VAT1"	"ABCF1"	"NELFCD"	"MANSC1"	"CYFIP2"	"HYOU1"	"IL6"	"VEGFA"	"TNF"	"APOE"	"AKT1"	"TNF"	"TNF"	"TNF"	"CDH3"
"ST3GAL6"	"NEBL"	"ST3GAL6"	"ST3GAL6"	0.809715480222265	"ACOT7"	"APOD"	"TAF10"	"RFC4"	"CCNB1"	"NELFCD"	"ATIC"	"NSA2"	"TPI1"	"NUSAP1"	"KPNB1"	"PTPRK"	"TSPYL5"	"RANBP2"	"HSD17B11"	NA	NA	NA	NA	NA	NA	NA	NA	"UQCR11"
"CLIC1"	"NUTF2"	"CLIC1"	"CLIC1"	0.785905277777778	"H2AX"	"DAAM2"	"NONO"	"PPL"	"PTPRK"	"PUM1"	"CRYAB"	"HEBP2"	"VAT1"	"SLC7A5"	"UBQLN2"	"GJA1"	"TPT1"	"ORAI3"	"PGK1"	NA	NA	NA	NA	NA	NA	NA	NA	"SPINT2"
"ATIC"	"LSR"	"ATIC"	"ATIC"	0.78125	"EXPH5"	"EPB41L4B"	"NPM1"	"SPINK5"	"KRT15"	"PPP4R1"	"KIF2C"	"KRT1"	"PUM1"	"NUTF2"	"SLC38A1"	"ILF2"	"ELOVL4"	"GJA1"	"SPRED2"	NA	NA	NA	NA	NA	NA	NA	NA	"CERS6"
"CCNB1"	"TUFT1"	"CCNB1"	"CCNB1"	0.769229455479633	"RNASEH2A"	"UBE2C"	"USP22"	"CCT3"	"CCNB2"	"MLEC"	"UBE2C"	"SPINT2"	"IRF6"	"TUFM"	"S100A4"	"ATIC"	"CTNNBIP1"	"POLR2H"	"SLC38A1"	NA	NA	NA	NA	NA	NA	NA	NA	"DSG1"
"EIF5A"	"SNRPD1"	"EIF5A"	"EIF5A"	0.767392970521542	"KRT14"	"TUFT1"	"ELOB"	"CCT7"	"CCT3"	"RHOB"	"CHN1"	"NDUFS3"	"HSD17B11"	"SEPTIN7"	"MLANA"	"LIMK2"	"TRIM29"	"KIF2C"	"UBQLN2"	NA	NA	NA	NA	NA	NA	NA	NA	"CXCL14"
"AKT1"	"CPQ"	"DUSP22"	"AKT1"	0.7570275	"PSMB2"	"FEN1"	"DSP"	"PPP1R13L"	"KRT14"	"AKR1B1"	"RORA"	"TENT4A"	"SAE1"	"IRF6"	"TLE4"	"DIO2"	"PPP4R1"	"NPM1"	"ILF2"	NA	NA	NA	NA	NA	NA	NA	NA	"MRC1"
"CDKN2A"	"SNCA"	"CDKN2A"	"CDKN2A"	0.755771360119048	"KIF2C"	"FGFR2"	"NCL"	"CCNB2"	"HSD17B11"	"NISCH"	"UPP1"	"DPYSL2"	"IFNGR2"	"MCM3"	"NISCH"	"ATP6V0E2"	"AHCYL2"	"GANAB"	"CDH2"	NA	NA	NA	NA	NA	NA	NA	NA	"SNCA"
"MSH6"	"PPP1R13L"	"AKT1"	"MSH6"	0.7547	"SELENBP1"	"NEBL"	"MLEC"	"KANK1"	"SPINK5"	"CYCS"	"GJA1"	"C14orf132"	"PA2G4"	"FANCI"	"PPP2R1A"	"PPP1R13L"	"HEXB"	"TSPYL5"	"HNRNPA0"	NA	NA	NA	NA	NA	NA	NA	NA	"ATP5PD"
"RANBP2"	"H2AX"	"MSH6"	"RANBP2"	0.752543813322829	"UBE2S"	"PSMB2"	"WARS1"	"ATIC"	"PPL"	"SPRED2"	"USP7"	"RWDD1"	"BRD4"	"CPE"	"TMA7"	"ATRAID"	"GDI1"	"DDX46"	"NISCH"	NA	NA	NA	NA	NA	NA	NA	NA	"PPP4R1"
"MAFB"	"SELENBP1"	"RANBP2"	"MAFB"	0.75	"CDKN3"	"CKS2"	"PHB"	"TLE4"	"RFC4"	"SERINC3"	"MYL6B"	"SRM"	"DSP"	"DPYSL2"	"ADRM1"	"RNASEH2A"	"PTPRK"	"INAVA"	"ANK3"	NA	NA	NA	NA	NA	NA	NA	NA	"MLANA"
"PSMB2"	"CKS2"	"MAFB"	"PSMB2"	0.745694444444444	"KRT15"	"CDKN3"	"LAPTM4A"	"UBE2C"	"DSC3"	"SACM1L"	"S100A13"	"ZNF185"	"DNMT1"	"LAGE3"	"SRD5A1"	"LAMB2"	"PPP3CA"	"TMEM258"	"SRD5A1"	NA	NA	NA	NA	NA	NA	NA	NA	"ZNF106"
"NONO"	"FBXO7"	"STAT6"	"NONO"	0.738464124176121	"PPP1R13L"	"CDC20"	"CD81"	"COLEC12"	"COLEC12"	"PTDSS1"	"ABCF1"	"PCLAF"	"TRIM8"	"MAFB"	"TMEM258"	"S100A4"	"ARHGEF4"	"PDZD2"	"PTDSS1"	NA	NA	NA	NA	NA	NA	NA	NA	"SEPTIN7"
"USP7"	"CTNNBIP1"	"PSMB2"	"USP7"	0.731423255668934	"SPARCL1"	"ACOT7"	"PPP2R1A"	"PTBP1"	"AHCY"	"ZFP36L1"	"KLK11"	"UBE2C"	"AP3D1"	"ATP5PD"	"FGFR3"	"YBX1"	"GNAI1"	"PSMA4"	"FBXO3"	NA	NA	NA	NA	NA	NA	NA	NA	"NSA2"
"NPM1"	"CDC20"	"NONO"	"NPM1"	0.72695	"PPL"	"KIF20A"	"NPC2"	"NPM1"	"DEFB1"	"PPIC"	"FBXO7"	"NISCH"	"FCGRT"	"RAB25"	"MYCL"	"XRCC6"	"MRC1"	"NONO"	"CPQ"	NA	NA	NA	NA	NA	NA	NA	NA	"GPM6B"
"STAT6"	"ACOT7"	"AHCY"	"STAT6"	0.726436648391257	"EPB41L4B"	"MLANA"	"LITAF"	"YWHAH"	"CDKN2A"	"GPR87"	"SELENBP1"	"RAB14"	"FANCI"	"HDAC1"	"CRTAP"	"YME1L1"	"GTF2A2"	"CDSN"	"BCAS2"	NA	NA	NA	NA	NA	NA	NA	NA	"UBE2V2"
