"mrmr"	"da"	"newDa"	"newDaScores"	"rf"	"MI"	"limma"	"daLFC"	"daRedMrmr"	"random.1"	"random.2"	"random.3"	"random.4"	"random.5"	"random.6"	"random.7"	"random.8"	"random.9"	"random.10"	"relief"	"top-random-1"	"top-random-2"	"top-random-3"	"top-random-4"	"top-random-5"	"top-random-6"	"top-random-7"	"top-random-8"	"top-random-9"	"top-random-10"
"HLF.HLF"	"VEGFD"	"HLF"	"HLF"	1	"VEGFD"	"VEGFD"	"PDK4"	"BUB1B"	"TOP2A"	"GRM4"	"PTGDS"	"HLF"	"CENPF"	"ANLN"	"ADAMTS8"	"CKAP2L"	"CDCA2"	"S100P"	"CD36"	"LAMP5"	"APOE"	"APOE"	"EGFR"	"IL6"	"TGFB1"	"AKT1"	"MTHFR"	"TP53"	"ESR1"	"IL6"
"TUBB3"	"COL10A1"	"ZBTB16"	"TUBB3"	1	"COL10A1"	"MMP11"	"ANLN"	"TOP2A"	"SSTR1"	"OVCH2"	"ITLN2"	"HBA1"	"ABCA12"	"CST2"	"PLPP4"	"ASPA"	"CRABP2"	"GPIHBP1"	"LINC00968"	"COL10A1"	"AKT1"	"VEGFA"	"ESR1"	"MTHFR"	"EGFR"	"IL6"	"EGFR"	"ESR1"	"AKT1"	"TNF"
"EXO1"	"KIF14"	"HOXC13"	"EXO1"	0.973214285714286	"CA4"	"GPIHBP1"	"ATP1A2"	"VEGFD"	"BUB1B"	"PCOLCE2"	"PLIN4"	"PKHD1L1"	"SLC34A2"	"AGER"	"MIR4653"	"MMP1"	"IGFL2"	"ADRA1A"	"SCGB3A1"	"CTHRC1"	"MTHFR"	"EGFR"	"IL6"	"AKT1"	"ESR1"	"TGFB1"	"AKT1"	"EGFR"	"VEGFA"	"AKT1"
"SLC34A2"	"HLF"	"HOXC11"	"TOP2A"	0.955555555555556	"SLC24A2"	"CA4"	"MARCO"	"MMP11"	"VEGFD"	"MARCO"	"ADH1B"	"CST2"	"FHL1"	"MMP13"	"FOXD3.AS1"	"UBE2C"	"CD300LG"	"KCNJ16"	"ACADL"	"COMP"	"ESR1"	"TNF"	"MTHFR"	"EGFR"	"AKT1"	"VEGFA"	"ESR1"	"TNF"	"MTHFR"	"EGFR"
"NKX2.1"	"LINC00968"	"TOP2A"	"SLC34A2"	0.950396825396825	"GPIHBP1"	"BTNL9"	"SYT13"	"SSTR1"	"TUBB3"	"ANGPTL7"	"CDCA2"	"KLF15"	"LPL"	"KLK4"	"DEPDC1"	"TTK"	"TNNT1"	"PI16"	"KIF2C"	"CST1"	"TP53"	"ESR1"	"APOE"	"ESR1"	"TP53"	"TNF"	"APOE"	"APOE"	"APOE"	"ESR1"
"WIF1"	"CSMD2"	"SCN7A"	"HOXC11"	0.943333333333333	"MMP11"	"CAV1"	"FHL1"	"CLDN5"	"MMP11"	"EPYC"	"ZG16B"	"EPN3"	"HOXC12"	"PI16"	"TMEM63C"	"PIGR"	"NDNF"	"COL1A1"	"MCM10"	"CST2"	"TNF"	"AKT1"	"TP53"	"TGFB1"	"MTHFR"	"APOE"	"TP53"	"TGFB1"	"TP53"	"TGFB1"
"TOP2A"	"BTNL9"	"WIF1"	"WIF1"	0.93287037037037	"KIF26B"	"COL11A1"	"DEPDC1"	"TPX2"	"CLDN5"	"DNASE1L3"	"C7"	"GPX3"	"CST4"	"FABP4"	"PKMYT1"	"ACADL"	"CDK1"	"CXCL13"	"SKA1"	"LINC01614"	"TGFB1"	"TGFB1"	"TGFB1"	"APOE"	"VEGFA"	"MTHFR"	"VEGFA"	"IL6"	"EGFR"	"VEGFA"
"SSTR1"	"SLC24A2"	"BUB1B"	"SSTR1"	0.91469585260771	"CAV1"	"SLC24A2"	"IBSP"	"HMMR"	"FOXM1"	"OR2B6"	"AC044784.1"	"COMP"	"SERTM1"	"MCM10"	"TUBB3"	"BIRC5"	"COL6A6"	"CENPA"	"NEK2"	"HOXC11"	"VEGFA"	"IL6"	"VEGFA"	"VEGFA"	"APOE"	"TP53"	"TGFB1"	"AKT1"	"TGFB1"	"APOE"
"BUB1B"	"IBSP"	"SLC34A2"	"BUB1B"	0.925154320987654	"TNXB"	"NPR1"	"MYOC"	"FOXM1"	"HLF"	"FOS"	"PKHD1L1"	"CRABP2"	"ECRG4"	"AC044810.2"	"EEF1A2"	"CST4"	"SYT13"	"KIF2C"	"NKX2.1"	"SLC24A2"	"EGFR"	"MTHFR"	"TNF"	"TP53"	"TNF"	"EGFR"	"TNF"	"MTHFR"	"TNF"	"MTHFR"
"HOXC11"	"CLEC3B"	"EXO1"	"MMP3"	0.909465020576132	"PLPP4"	"UHRF1"	"DEPDC1B"	"TUBB3"	"AURKB"	"CAV1"	"NDNF"	"G0S2"	"MYBL2"	"BMP3"	"CHRDL1"	"SCN7A"	"CSMD2"	"FAM111B"	"FGFBP2"	"KCNA4"	"IL6"	"TP53"	"AKT1"	"TNF"	"IL6"	"ESR1"	"IL6"	"VEGFA"	"IL6"	"TP53"
"MMP3"	"CST1"	"TUBB3"	"MMP1"	0.892381868422548	"BTNL9"	"TNXB"	"ADRB1"	"EXO1"	"IL33"	"CNTNAP2"	"PITX1"	"EXO1"	"ATP1A2"	"NMUR1"	"PDK4"	"ABCA8"	"HBA2"	"MELK"	"KLK4"	"MMP11"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"COL1A1"	"SCARA5"	"COL1A1"	"HOXC13"	0.869168446227638	"COL11A1"	"FHL1"	"EPN3"	"NEK2"	"HMMR"	"SFTPB"	"HSD17B13"	"CARMN"	"NUF2"	"CDC25C"	"CCL14"	"LGI3"	"PEBP4"	"FNDC1"	"PLAC1"	"CST4"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"MMP1"	"GRM4"	"SSTR1"	"COL1A1"	0.867590126691367	"HLF"	"CAVIN2"	"COL11A1"	"COL11A1"	"MMRN1"	"FGFBP2"	"B4GALNT4"	"AOC3"	"EEF1A2"	"ADH1B"	"MASP1"	"HOXC.AS3"	"KIF20A"	"FXYD1"	"AC007906.2"	"COL1A1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"HOXC13"	"IQGAP3"	"MMP3"	"SPP1"	0.851648351648352	"LINC01614"	"COL10A1"	"MCM10"	"AURKB"	"TPX2"	"COL10A1"	"KIF4A"	"GPD1"	"DES"	"AQP4"	"HBA2"	"LINC02544"	"FOSB"	"FHL1"	"DMBT1"	"ADAMTS14"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"TFAP2A"	"GPIHBP1"	"MMP1"	"TFAP2A"	0.805178601118634	"FHL1"	"SCARA5"	"ASPM"	"CDC25C"	"MMP1"	"MAP1LC3C"	"ABCA12"	"TNXB"	"CSMD2"	"GRM4"	"CLDN5"	"C4BPA"	"NKAIN1"	"C7"	"SFTPC"	"PKHD1L1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SPP1"	"KIF26B"	"GTSE1"	"AQP4"	0.801863410381541	"NPR1"	"CLEC3B"	"CLDN18"	"NPR1"	"COL11A1"	"CST2"	"HBA1"	"CDK1"	"CLDN18"	"PRAME"	"ACKR1"	"PPP2R2C"	"IBSP"	"CDH19"	"ANGPTL7"	"COL11A1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"ZBTB16"	"ARC"	"COMP"	"ZBTB16"	0.802083333333333	"CENPF"	"CLDN5"	"PITX1"	"CENPF"	"MYBL2"	"AURKB"	"FXYD1"	"ITIH5"	"IGSF9"	"TNNT1"	"FOLR1"	"MAP1LC3C"	"KCNJ16"	"SSTR1"	"COL1A1"	"CNTD2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"SCN7A"	"LYVE1"	"UBE2T"	"SCN7A"	0.760348583877996	"CLEC3B"	"LINC01614"	"CDH19"	"CKAP2L"	"HOXC13"	"SERTM1"	"MIR4653"	"SFTA1P"	"LAMP5"	"C7"	"EPN3"	"CLDN18"	"PIGR"	"KCNA4"	"C7"	"LYVE1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"IL6"	"MMP13"	"HBB"	"IL6"	0.7557190892576	"FMO2"	"NUF2"	"HMMR"	"UBE2T"	"CDC25C"	"SPP1"	"PARAL1"	"COL10A1"	"MFAP4"	"UBE2C"	"ESCO2"	"TMEM63C"	"HOXC12"	"MASP1"	"PITX1"	"PTPRQ"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"AQP4"	"FMO2"	"TFAP2A"	"HBB"	0.752780030552572	"IL33"	"ABCA8"	"PPP2R2C"	"MYBL2"	"UBE2T"	"NCAPG"	"TMEM100"	"ADAMTS14"	"SFTPC"	"CNTN6"	"ATOH8"	"KCNJ16"	"BIRC5"	"PITX1"	"FAM111B"	"NMUR1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"HBB"	"NEK2"	"SPP1"	"AURKB"	0.752106763889862	"NEK2"	"KIF4A"	"GTSE1"	"RRM2"	"HOXC11"	"RRM2"	"PEBP4"	"FXYD1"	"SFTA1P"	"GDF10"	"RRM2"	"UBE2T"	"SFTPA2"	"TNNT1"	"CDCA5"	"VEGFD"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"AURKB"	"TUBB3"	"ADRB1"	"BMP5"	0.721956799709945	"UHRF1"	"NEK2"	"UBE2T"	"BUB1"	"CDC20"	"ATP1A2"	"SFTPA1"	"CNTN6"	"SCGB3A1"	"DSCAM.AS1"	"FAM111B"	"LINC01614"	"ABCA12"	"TESMIN"	"MMP10"	"CILP2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"UBE2T"	"FXYD1"	"AC007906.2"	"MMRN1"	0.722075588208207	"IQGAP3"	"HJURP"	"NDC80"	"KIF4A"	"WIF1"	"CAVIN2"	"PGC"	"TPX2"	"NPR1"	"PTPRQ"	"SCEL"	"CST2"	"BUB1B"	"ACADL"	"TNXB"	"PLPP4"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"BMP5"	"MMP11"	"AQP4"	"UBE2T"	0.719004005791259	"ABCA9"	"ABCA10"	"CXCL2"	"UBE2C"	"NPR1"	"LINC00968"	"FOS"	"PTGDS"	"SYT13"	"PEBP4"	"ECRG4"	"TPX2"	"LINC01561"	"DMBT1"	"HOXC13"	"PITX1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"MMRN1"	"CA4"	"CNTNAP2"	"TPX2"	0.703509408103123	"CAVIN2"	"BUB1"	"EPYC"	"GTSE1"	"COL10A1"	"HBB"	"PRAME"	"LINC01705"	"HBB"	"MYBL2"	"HMMR"	"COL22A1"	"FENDRR"	"KLK4"	"DLGAP5"	"AC007906.2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"VEGFD"	"COMP"	"AURKB"	"FOXM1"	0.698325430152576	"CLDN5"	"TOP2A"	"NKAIN1"	"CDC20"	"SPP1"	"BMP5"	"CAVIN2"	"MFAP4"	"AC087482.1"	"SLC24A2"	"BUB1B"	"GPD1"	"FABP4"	"CES1"	"TPX2"	"MMP3"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"TPX2"	"MYOC"	"CDC25C"	"VEGFD"	0.693240453009295	"ABCA8"	"CDC25C"	"IGSF9"	"TNXB"	"HBB"	"FOXM1"	"HIF3A"	"HSD17B13"	"PKHD1L1"	"ZG16B"	"NDNF"	"SLC34A2"	"PKHD1L1"	"CD36"	"AURKB"	"IQGAP3"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"COMP"	"PLAC1"	"TPX2"	"GTSE1"	0.676979974947051	"ANLN"	"DLGAP5"	"PPEF1"	"KIF26B"	"RRM2"	"MMP10"	"GRIA1"	"AC007906.2"	"COMP"	"MIR4653"	"UBE2C"	"IL6"	"KLF15"	"MFAP4"	"BUB1B"	"LRRC15"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"FOXM1"	"UHRF1"	"BMP5"	"CD36"	0.673913823625968	"FXYD1"	"FMO2"	"TPX2"	"MMRN1"	"ADRB2"	"AC044784.1"	"ITIH5"	"UBE2C"	"TMEM100"	"PKHD1L1"	"LRRC15"	"SOX11"	"KIF14"	"OVCH2"	"HOXC11"	"MMP13"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"CD36"	"ABCA10"	"ADRA1A"	"CLDN5"	0.662780238175898	"MMP13"	"CKAP2L"	"BIRC5"	"TTK"	"GTSE1"	"BUB1"	"GPIHBP1"	"KIF20A"	"INMT"	"UBE2T"	"CR381670.1"	"EPN3"	"PDK4"	"AC093895.2"	"TFF1"	"MYOC"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
