"mrmr"	"da"	"newDa"	"newDaScores"	"rf"	"MI"	"limma"	"daLFC"	"daRedMrmr"	"random.1"	"random.2"	"random.3"	"random.4"	"random.5"	"random.6"	"random.7"	"random.8"	"random.9"	"random.10"	"top.random.1"	"top.random.2"	"top.random.3"	"top.random.4"	"top.random.5"	"top.random.6"	"top.random.7"	"top.random.8"	"top.random.9"	"top.random.10"	"relief"
"KNL1.KNL1"	"CAVIN2"	"TUBB3"	"TUBB3"	0.875	"CD300LG"	"CAVIN2"	"PDK4"	"KNL1"	"TUBB3"	"AP005131.4"	"ARC"	"AC104984.2"	"ACOXL"	"COMP"	"PITX1"	"EGR1"	"FHL1"	"FREM1"	"UHRF1"	"APOE"	"APOE"	"EGFR"	"IL6"	"TGFB1"	"AKT1"	"MTHFR"	"TP53"	"ESR1"	"IL6"	"MMP11"
"POLQ"	"AC112721.2"	"ROS1"	"ROS1"	0.25	"ITM2A"	"MMP11"	"ANLN"	"TUBB3"	"KNL1"	"HSD17B13"	"ERCC6L"	"G0S2"	"LINC01235"	"ESCO2"	"EPYC"	"IL33"	"MCEMP1"	"CFD"	"EXO1"	"AKT1"	"VEGFA"	"ESR1"	"MTHFR"	"EGFR"	"IL6"	"EGFR"	"ESR1"	"AKT1"	"TNF"	"ROS1"
"HLF"	"IBSP"	"KNL1"	"KNL1"	0.270085782060126	"CAVIN2"	"ITIH5"	"ATP1A2"	"POLQ"	"ROS1"	"PLAC9"	"ACKR1"	"BTNL9"	"SVEP1"	"CARMN"	"H4C5"	"PCLAF"	"MMP1"	"ANLN"	"LINC02544"	"MTHFR"	"EGFR"	"IL6"	"AKT1"	"ESR1"	"TGFB1"	"AKT1"	"EGFR"	"VEGFA"	"AKT1"	"SLC24A2"
"MELK"	"ERCC6L"	"POLQ"	"KLF4"	0.104660964133653	"ADH1C"	"CD300LG"	"FHL1"	"SALL4"	"KLF4"	"KCNJ16"	"FXYD1"	"KRT6B"	"IGSF10"	"CFD"	"MELK"	"SRGAP3.AS2"	"LCN6"	"HLF"	"IL33"	"ESR1"	"TNF"	"MTHFR"	"EGFR"	"AKT1"	"VEGFA"	"ESR1"	"TNF"	"MTHFR"	"EGFR"	"ECRG4"
"MMP11"	"ADH1C"	"SALL4"	"SALL4"	0.0690918781778092	"COL11A1"	"AVPR2"	"IBSP"	"KLF4"	"SALL4"	"MYOC"	"CCL14"	"AQP4"	"ECRG4"	"ADH1C"	"EGR1"	"TNXB"	"CCL21"	"CST1"	"DEPDC1B"	"TP53"	"ESR1"	"APOE"	"ESR1"	"TP53"	"TNF"	"APOE"	"APOE"	"APOE"	"ESR1"	"RN7SL3"
"VEGFD"	"NAT8L"	"KLF4"	"HLF"	0.0462776736137206	"ECRG4"	"ITM2A"	"MYOC"	"MELK"	"HLF"	"MMP11"	"SPC24"	"DTL"	"KLK6"	"AGR3"	"MMP1"	"FAM72D"	"ARC"	"MASP1"	"ADAM33"	"TNF"	"AKT1"	"TP53"	"TGFB1"	"MTHFR"	"APOE"	"TP53"	"TGFB1"	"TP53"	"TGFB1"	"MS4A15"
"HJURP"	"AVPR2"	"HLF"	"POLQ"	0.0428	"AP001528.2"	"AP001528.2"	"DEPDC1B"	"HLF"	"MELK"	"AKR1B15"	"SRGAP3.AS2"	"HBA2"	"LINC01705"	"CENPF"	"CDC45"	"CLPSL2"	"SCN2B"	"BIRC5"	"AC092801.1"	"TGFB1"	"TGFB1"	"TGFB1"	"APOE"	"VEGFA"	"MTHFR"	"VEGFA"	"IL6"	"EGFR"	"VEGFA"	"MCEMP1"
"G0S2"	"TDO2"	"MYH11"	"MYH11"	0.0318698640088638	"ITIH5"	"ERCC6L"	"ROS1"	"HJURP"	"POLQ"	"LINC01561"	"ALDH3A1"	"ADAMDEC1"	"PBOV1"	"MMP1"	"MYOC"	"ESCO2"	"KIF20A"	"CADM3"	"RN7SL3"	"VEGFA"	"IL6"	"VEGFA"	"VEGFA"	"APOE"	"TP53"	"TGFB1"	"AKT1"	"TGFB1"	"APOE"	"CAVIN2"
"ID4"	"MMP11"	"CNTNAP2"	"MELK"	0.0275889394745801	"NAT8L"	"CHRDL1"	"POLQ"	"ITIH5"	"MMP11"	"G0S2"	"RN7SL3"	"ASPM"	"ACADL"	"TWIST1"	"ZBBX"	"SIM1"	"H1.4"	"TNXB"	"CCL14"	"EGFR"	"MTHFR"	"TNF"	"TP53"	"TNF"	"EGFR"	"TNF"	"MTHFR"	"TNF"	"MTHFR"	"VEGFD"
"PCOLCE2"	"ECRG4"	"MELK"	"CNTNAP2"	0.0266941468660539	"LINC01614"	"FXYD1"	"COL11A1"	"CAV1"	"MYH11"	"EPYC"	"KIF18B"	"RASD1"	"ALDH3A1"	"CD300LG"	"CDO1"	"GPD1"	"HOXA5"	"ANGPTL1"	"LINC00968"	"IL6"	"TP53"	"AKT1"	"TNF"	"IL6"	"ESR1"	"IL6"	"VEGFA"	"IL6"	"TP53"	"UBE2C"
"ABCA8"	"EGR1"	"COL11A1"	"MMP11"	0.0244188802609876	"MMP11"	"LINC01614"	"ASPM"	"MYH11"	"CAV1"	"HOXA5"	"FOXJ1"	"EPYC"	"CA3"	"TRHDE.AS1"	"ITIH5"	"NUSAP1"	"PBOV1"	"CES1"	"ABCA8"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"HJURP"
"CAVIN2"	"MMP1"	"MMP11"	"CAV1"	0.0218949966628386	"CAV1"	"KNL1"	"PITX1"	"ADAM33"	"HJURP"	"CDO1"	"SIM1"	"CADM3"	"CEP55"	"HAPLN1"	"MAOA"	"ASPM"	"GRM4"	"AC092801.1"	"H4C5"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"NDC80"
"ADAM33"	"ITM2A"	"CAV1"	"HJURP"	0.0219658199450443	"IBSP"	"NEIL3"	"HMMR"	"MMP13"	"CNTNAP2"	"ARC"	"KLF15"	"AGR3"	"CCNB2"	"HLF"	"AP001528.2"	"FAM107A"	"CKAP2L"	"LINC01561"	"TNNT1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"PLPP4"
"FMO2"	"AP001528.2"	"ABCA8"	"COL11A1"	0.0216007378096448	"VEGFD"	"ECRG4"	"ITM2A"	"MMP11"	"ADAM33"	"MS4A8"	"HAPLN1"	"SALL4"	"PITX1"	"NUF2"	"LINC01561"	"RN7SL4P"	"CARMN"	"FABP4"	"KIF18B"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"CXCL2"
"KIF4A"	"LINC01614"	"G0S2"	"MMP1"	0.0209537713526306	"MS4A15"	"IBSP"	"NDC80"	"RBP4"	"MMP1"	"KIF4A"	"CES1"	"ALDH3A1"	"CNTNAP2"	"ATP1A2"	"SPC24"	"DEPDC1B"	"ID4"	"AQP4"	"CASQ2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"KLK6"
"ITIH5"	"MS4A15"	"ID4"	"MMP13"	0.0203610250382816	"UHRF1"	"ADAM33"	"CXCL2"	"VEGFD"	"MMP13"	"PI16"	"AC104984.2"	"ZBBX"	"CASQ2"	"RGN"	"SCARA5"	"DLGAP5"	"PTTG1"	"HIF3A"	"KLF15"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"H4C5"
"MKI67"	"ITIH5"	"RBP4"	"H4C3"	0.020095480880712	"AVPR2"	"CCL14"	"EPYC"	"TOP2A"	"ITIH5"	"AC093895.2"	"PLAC1"	"ADH1C"	"CYP2B7P"	"CLEC3B"	"UHRF1"	"CDC45"	"POLQ"	"ANGPTL7"	"ADH1B"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"KIF4A"
"NEK2"	"KNL1"	"MMP1"	"ADAM33"	0.0193346553354199	"MAMDC2"	"SCN4B"	"RAD54L"	"MMP1"	"CAVIN2"	"CCNB2"	"VEGFD"	"H4C3"	"NEIL3"	"RAD54L"	"LBP"	"CA4"	"EPYC"	"TNNT1"	"CDO1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"ANLN"
"ECRG4"	"TUBB3"	"COMP"	"G0S2"	0.0193722243761517	"HJURP"	"ADH1C"	"PPEF1"	"CD300LG"	"ECRG4"	"ADAMDEC1"	"MYOC"	"LINC01705"	"COL11A1"	"RN7SL4P"	"ROS1"	"MMRN1"	"CENPF"	"ABCA8"	"CA4"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"H4C3"
