"mrmr"	"da"	"newDa"	"newDaScores"	"rf"	"MI"	"limma"	"daLFC"	"daRedMrmr"	"random.1"	"random.2"	"random.3"	"random.4"	"random.5"	"random.6"	"random.7"	"random.8"	"random.9"	"random.10"	"relief"	"top-random-1"	"top-random-2"	"top-random-3"	"top-random-4"	"top-random-5"	"top-random-6"	"top-random-7"	"top-random-8"	"top-random-9"	"top-random-10"
"ZBTB16.ZBTB16"	"MMP11"	"ZBTB16"	"ZBTB16"	1	"COL10A1"	"MMP11"	"PDK4"	"BUB1B"	"TOP2A"	"KIF26B"	"CAV1"	"CXCL13"	"KLF15"	"COMP"	"IGSF10"	"AL031777.1"	"HOXC11"	"CLIC5"	"HOXC11"	"SLC24A2"	"VEGFA"	"TNF"	"ESR1"	"IL6"	"APOE"	"AKT1"	"IL6"	"ESR1"	"AKT1"	"TP53"
"TUBB3"	"GPIHBP1"	"HOXC13"	"TUBB3"	1	"MMP11"	"VEGFD"	"ANLN"	"TOP2A"	"SSTR1"	"TMEM63C"	"OR2B6"	"ABCA8"	"ASPA"	"S100P"	"PARAL1"	"ECRG4"	"GPD1"	"AL117329.1"	"TOP2A"	"PLPP4"	"TGFB1"	"VEGFA"	"TGFB1"	"APOE"	"VEGFA"	"TP53"	"VEGFA"	"EGFR"	"EGFR"	"TNF"
"EXO1"	"IQGAP3"	"HOXC11"	"EXO1"	0.982142857142857	"CA4"	"GPIHBP1"	"ATP1A2"	"MMP11"	"VEGFD"	"LPL"	"LINC02544"	"ADRB1"	"SFTA3"	"BIRC5"	"AQP4"	"TMEM63C"	"GPX3"	"ADH1B"	"HBA1"	"COL10A1"	"AKT1"	"AKT1"	"AKT1"	"VEGFA"	"ESR1"	"IL6"	"MTHFR"	"MTHFR"	"ESR1"	"MTHFR"
"NKX2.1"	"CST2"	"TOP2A"	"TOP2A"	0.970899470899471	"VEGFD"	"CA4"	"MARCO"	"VEGFD"	"BUB1B"	"GPR17"	"CRABP2"	"NDC80"	"UHRF1"	"KCNA4"	"BUB1"	"CCDC141"	"ATP1A2"	"NKX2.1"	"SPP1"	"LINC01561"	"APOE"	"MTHFR"	"IL6"	"AKT1"	"IL6"	"MTHFR"	"EGFR"	"TP53"	"TGFB1"	"IL6"
"WIF1"	"KIF26B"	"SCN7A"	"HOXC11"	0.940277777777778	"GPIHBP1"	"SLC24A2"	"FHL1"	"SSTR1"	"TUBB3"	"CA4"	"COL10A1"	"LINC01614"	"MYH11"	"COL11A1"	"TPX2"	"LHFPL3.AS2"	"SYNDIG1"	"PLAC1"	"CES1"	"SYNDIG1"	"MTHFR"	"TP53"	"EGFR"	"EGFR"	"EGFR"	"TGFB1"	"TNF"	"VEGFA"	"APOE"	"APOE"
"TOP2A"	"VEGFD"	"WIF1"	"SLC34A2"	0.919444444444445	"BTNL9"	"COL10A1"	"DEPDC1"	"CLDN5"	"MMP11"	"GPD1"	"HIF3A"	"FGFBP2"	"EPYC"	"HBB"	"SKA1"	"MMP3"	"SSTR1"	"SSTR1"	"COMP"	"AC134312.5"	"TNF"	"ESR1"	"MTHFR"	"TGFB1"	"TP53"	"APOE"	"ESR1"	"TNF"	"MTHFR"	"VEGFA"
"HOXC11"	"SLC24A2"	"BUB1B"	"WIF1"	0.925925925925926	"KIF26B"	"CAV1"	"IBSP"	"TUBB3"	"CLDN5"	"KRT4"	"TROAP"	"SCGB1A1"	"ECRG4"	"SFTPA2"	"NXPH1"	"SFTPD"	"DMBT1"	"SFTPA2"	"CLIC5"	"VEGFD"	"EGFR"	"TGFB1"	"TNF"	"MTHFR"	"TNF"	"ESR1"	"TGFB1"	"IL6"	"VEGFA"	"EGFR"
"SSTR1"	"S100P"	"SLC34A2"	"SSTR1"	0.91469585260771	"SLC24A2"	"BTNL9"	"MYOC"	"HMMR"	"MYH11"	"HAPLN1"	"CD300LG"	"CKAP2L"	"GTSE1"	"SFTPD"	"FMO2"	"HMMR"	"MMP3"	"SFTPA1"	"GRM4"	"COL11A1"	"ESR1"	"APOE"	"VEGFA"	"TP53"	"TGFB1"	"EGFR"	"APOE"	"TGFB1"	"IL6"	"TGFB1"
"BUB1B"	"FXYD1"	"EXO1"	"BUB1B"	0.925154320987654	"CAV1"	"UHRF1"	"DEPDC1B"	"TPX2"	"FOXM1"	"RRM2"	"PEBP4"	"AC096531.2"	"AP001542.1"	"C7"	"CILP2"	"HOXC12"	"IQGAP3"	"CARMN"	"MCM10"	"COMP"	"TP53"	"EGFR"	"TP53"	"ESR1"	"AKT1"	"VEGFA"	"AKT1"	"AKT1"	"TNF"	"AKT1"
"SLC34A2"	"CST1"	"TUBB3"	"MMP3"	0.903703703703704	"IQGAP3"	"LINC01614"	"ADRB1"	"FOXM1"	"MMP1"	"PKMYT1"	"AOC3"	"CNTD2"	"TTK"	"DEPDC1B"	"ADM2"	"G0S2"	"TOP2A"	"FOXM1"	"PLAC1"	"CTHRC1"	"IL6"	"IL6"	"APOE"	"TNF"	"MTHFR"	"TNF"	"TP53"	"APOE"	"TP53"	"ESR1"
