"mrmr"	"da"	"newDa"	"newDaScores"	"rf"	"MI"	"limma"	"daLFC"	"daRedMrmr"	"random.1"	"random.2"	"random.3"	"random.4"	"random.5"	"random.6"	"random.7"	"random.8"	"random.9"	"random.10"	"top.random.1"	"top.random.2"	"top.random.3"	"top.random.4"	"top.random.5"	"top.random.6"	"top.random.7"	"top.random.8"	"top.random.9"	"top.random.10"	"relief"
"FOXA1.FOXA1"	"CAVIN2"	"ESR1"	"ESR1"	1	"CAVIN2"	"CAVIN2"	"TNMD"	"TUBB3"	"TUBB3"	"DPT"	"MCEMP1"	"ATP1A2"	"ABCA13"	"ANKRD30A"	"HNRNPRP1"	"FOS"	"E2F2"	"SH3GL3"	"PDK4"	"VEGFA"	"TNF"	"ESR1"	"IL6"	"APOE"	"AKT1"	"IL6"	"ESR1"	"AKT1"	"TP53"	"ANGPTL7"
"POLQ"	"HNRNPA1P57"	"TUBB3"	"FOXA1"	0.75	"COL11A1"	"KIF4A"	"PDK4"	"POLQ"	"ESR1"	"MTCO1P53"	"BX842568.2"	"AC090125.1"	"TFAP2B"	"AC090125.1"	"FREM1"	"FOXM1"	"OR2B6"	"LINC02568"	"AL157387.1"	"TGFB1"	"VEGFA"	"TGFB1"	"APOE"	"VEGFA"	"TP53"	"VEGFA"	"EGFR"	"EGFR"	"TNF"	"S100A7"
"GATA3"	"DLGAP5"	"AR"	"TUBB3"	0.499702777777778	"GPIHBP1"	"CLDN5"	"E2F2"	"ZBTB16"	"FOXA1"	"ABCA13"	"CDC20"	"GP2"	"FOXA1"	"CHRDL1"	"MMP13"	"C7"	"DLX2"	"COL22A1"	"IBSP"	"AKT1"	"AKT1"	"AKT1"	"VEGFA"	"ESR1"	"IL6"	"MTHFR"	"MTHFR"	"ESR1"	"MTHFR"	"NAT1"
"HLF"	"COL11A1"	"FOXA1"	"AR"	0.411559286948763	"BTNL9"	"CEP55"	"TFAP2B"	"MELK"	"POLQ"	"ZPLD1"	"LINC01087"	"PDK4"	"LINC01087"	"CILP"	"CYP4F8"	"LINC01929"	"CDH2"	"H2AC12"	"E2F8"	"APOE"	"MTHFR"	"IL6"	"AKT1"	"IL6"	"MTHFR"	"EGFR"	"TP53"	"TGFB1"	"IL6"	"S100A7A"
"ORC1"	"HLF"	"GATA3"	"GATA3"	0.208333333333333	"HLF"	"GPIHBP1"	"ANLN"	"GATA3"	"HLF"	"FOS"	"PPP2R2C"	"MUC5AC"	"MTCO2P12"	"FAM72D"	"LUCAT1"	"ZNF695"	"KCNJ16"	"PPP2R2C"	"CCNE1"	"MTHFR"	"TP53"	"EGFR"	"EGFR"	"EGFR"	"TGFB1"	"TNF"	"VEGFA"	"APOE"	"APOE"	"WT1"
"MELK"	"CFD"	"ROS1"	"ROS1"	0.141292301580432	"TNXB"	"TPX2"	"GABRA3"	"ESR1"	"GATA3"	"LINC01087"	"KIF14"	"FAM72D"	"LINC00337"	"CA12"	"MMRN1"	"TREM1"	"SOWAHA"	"POLQ"	"RAB6C.AS1"	"TNF"	"ESR1"	"MTHFR"	"TGFB1"	"TP53"	"APOE"	"ESR1"	"TNF"	"MTHFR"	"VEGFA"	"SCGB1D2"
"HJURP"	"LAMP5"	"ZBTB16"	"ZBTB16"	0.0428	"CLDN5"	"CDCA5"	"ATP1A2"	"HLF"	"ROS1"	"ZBTB16"	"PYDC1"	"AC090015.1"	"S100A8"	"KIF4A"	"CENPE"	"IBSP"	"VSIG2"	"S100A7"	"TPX2"	"EGFR"	"TGFB1"	"TNF"	"MTHFR"	"TNF"	"ESR1"	"TGFB1"	"IL6"	"VEGFA"	"EGFR"	"PPP2R2C"
"ABCA8"	"H4C14"	"POLQ"	"WT1"	0.0421015176913579	"LAMP5"	"TNXB"	"VSIG2"	"MYBL2"	"ZBTB16"	"CCL21"	"F7"	"ACTL8"	"GSTA2"	"TUBB3"	"TUBB3"	"PTPRQ"	"ALDH1L1"	"APOBEC3B"	"SCN2B"	"ESR1"	"APOE"	"VEGFA"	"TP53"	"TGFB1"	"EGFR"	"APOE"	"TGFB1"	"IL6"	"TGFB1"	"ECRG4"
"ECRG4"	"GPIHBP1"	"WT1"	"HLF"	0.0331644058613466	"IL33"	"MELK"	"MARCO"	"FOXM1"	"AR"	"ORC1"	"MTCO1P40"	"CDH18"	"LAMP5"	"PI16"	"AC011352.1"	"RRM2"	"LINC01087"	"TMEM100"	"AC099850.4"	"TP53"	"EGFR"	"TP53"	"ESR1"	"AKT1"	"VEGFA"	"AKT1"	"AKT1"	"TNF"	"AKT1"	"KCNJ16"
"CAVIN2"	"SCARA5"	"HLF"	"POLQ"	0.0313480745871118	"SCARA5"	"UBE2C"	"DEPDC1"	"MYH11"	"MYH11"	"SOWAHA"	"CENPA"	"AC023301.1"	"AC004947.1"	"CCL14"	"KIF4A"	"CLDN5"	"HPX"	"NCAPG"	"UBE2C"	"IL6"	"IL6"	"APOE"	"TNF"	"MTHFR"	"TNF"	"TP53"	"APOE"	"TP53"	"ESR1"	"AC055854.1"
"ITIH5"	"YWHAZP2"	"MYH11"	"MYH11"	0.0278857516828639	"PLK1"	"BTNL9"	"IBSP"	"HJURP"	"MELK"	"H4C2"	"TUBB3"	"LINC00993"	"AC005077.4"	"AC005077.4"	"TPX2"	"YWHAZP2"	"ERICH3"	"AC112777.1"	"PTGDS"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"BTNL9"
"MKI67"	"IBSP"	"WIF1"	"MELK"	0.026364124649205	"HJURP"	"DEPDC1"	"C6"	"COL11A1"	"MYBL2"	"AL157387.2"	"S100A8"	"C1QTNF7"	"PRR15"	"PYDC1"	"NAT1"	"NXNL2"	"TREM1"	"ANKRD30A"	"ZNF695"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"SCGB2A2"
"CEP55"	"AURKA"	"MELK"	"WIF1"	0.0245991885800602	"DEGS2"	"TTK"	"ROS1"	"AURKA"	"WIF1"	"ALDH1L1"	"KLHL1"	"CCNE1"	"H3C7"	"AC023301.1"	"C6"	"FAM83D"	"WT1"	"MYH11"	"PRR15"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"DEGS2"
"ADAM33"	"PGM5"	"COL11A1"	"MYBL2"	0.0238542841032155	"ANGPTL7"	"CDCA3"	"POLQ"	"CAVIN2"	"FOXM1"	"PGM5"	"DEPDC1"	"WNK4"	"COL22A1"	"HNRNPA3P5"	"LNCAROD"	"DLX2"	"NXPH1"	"GAPDHP35"	"PIMREG"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"ADAM33"
"KIF4A"	"MMP13"	"MYBL2"	"CCL18"	0.0231594314950128	"LINC02568"	"ANLN"	"F7"	"WIF1"	"WT1"	"KIF18A"	"CAVIN2"	"ASPM"	"CA12"	"ADH1B"	"DNAH11"	"SCN2B"	"AC093642.2"	"REEP6"	"S100A7A"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"IBSP"
"CHRDL1"	"TNXB"	"FOXM1"	"FOXM1"	0.0197547528855424	"CDCA3"	"KIF2C"	"COL11A1"	"KIF4A"	"COL11A1"	"VSIG2"	"RN7SL3"	"CFD"	"CASQ2"	"CADM3.AS1"	"CKAP2L"	"TNNT3"	"CDC20"	"CILP"	"ESR1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"COL11A1"
"THBS4"	"TUBB3"	"CCL18"	"COL11A1"	0.0172	"CYP4F23P"	"AURKA"	"MCM10"	"MMP13"	"AURKA"	"C5orf46"	"ABI3BP"	"AL157778.1"	"FABP4"	"MMRN1"	"ITIH5"	"LINC00536"	"AQP7"	"SYT9"	"KIF14"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"GNG13"
"BTNL9"	"SCN2B"	"AURKA"	"AURKA"	0.0185305298815178	"SFRP2"	"CKAP2L"	"ASPM"	"RRM2"	"HJURP"	"LINC01705"	"SLC16A12"	"GNGT1"	"CDC25A"	"CYP21A2"	"ERICH3"	"VGF"	"NXPH4"	"TPX2"	"CDH2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"ITIH5"
"KIF20A"	"HNRNPUP1"	"ABCA8"	"CDH2"	0.016840812093964	"TPX2"	"HJURP"	"PRR11"	"CEP55"	"ABCA8"	"SKA1"	"AC013726.2"	"RASD1"	"PI16"	"ABCA10"	"SCGB1D2"	"GPIHBP1"	"ATP1A2"	"AC023301.1"	"SCGB2A2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"ABCA10"
"SCARA5"	"BTNL9"	"RBP4"	"HJURP"	0.0163297549461511	"PGM5"	"GTSE1"	"GAL"	"ABCA8"	"CAVIN2"	"HNRNPUP1"	"DLGAP5"	"MTCO2P12"	"SCGB1D2"	"SLC19A3"	"GATA3.AS1"	"AR"	"AURKA"	"CLSPN"	"CENPI"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"MYH11"
"TSPAN7"	"OR2B6"	"MMP1"	"MMP1"	0.0144471930706705	"ATP1A2"	"ABCA8"	"TRIP13"	"CDH2"	"CDH2"	"ORC6"	"PIGR"	"LNCAROD"	"AP001528.2"	"AC011352.1"	"MCM10"	"MCM10"	"VN1R53P"	"SCN7A"	"VN1R53P"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AC112721.2"
"TTK"	"CEP55"	"CDH2"	"SOX11"	0.0137106286900035	"F2RL2"	"KIF18B"	"PPP2R2C"	"ROS1"	"ADAM33"	"PLCXD3"	"GNG4"	"H4C14"	"CDCA3"	"MEOX2"	"MYH11"	"S100A7A"	"POTEKP"	"GNGT1"	"CILP"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"CYP4B1"
"CDCA3"	"CLDN5"	"CFD"	"ABCA8"	0.0134596658915723	"PRR15"	"IL33"	"CA12"	"UBE2C"	"MMP13"	"CILP"	"MAPT.AS1"	"RAB6C.AS1"	"SOX11"	"BTNL9"	"BX842568.2"	"FOXA2"	"MTCO1P40"	"AC090125.1"	"SCARA5"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"CD300LG"
"CD300LG"	"PRR15"	"ECRG4"	"ADAM33"	0.0131478260869565	"KIF4A"	"DLGAP5"	"GTSE1"	"AR"	"RRM2"	"EWSAT1"	"AC079160.1"	"KIF14"	"POTEKP"	"AC112777.1"	"OBP2B"	"ORC6"	"SCGB3A2"	"ADH1C"	"PVALB"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"MAPT.AS1"
"OGN"	"ANGPTL7"	"ADAM33"	"MUC5AC"	0.0132895666338145	"NAT1"	"FOXM1"	"NDC80"	"TPX2"	"MMP1"	"C6orf223"	"C6"	"ABCA10"	"CCNO"	"ERCC6L"	"PLK1"	"RASD1"	"JCHAIN"	"MMP13"	"SPDEF"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"TNXB"
"SHCBP1"	"ABCA10"	"TTK"	"RBP4"	0.013248	"MELK"	"BIRC5"	"EPYC"	"ADAM33"	"KIF4A"	"RBP4"	"PI16"	"ADH1B"	"VGF"	"MTCO2P12"	"PIMREG"	"MUC5AC"	"PGM5"	"POTEKP"	"ABCA13"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"ADH1C"
"LRRN4CL"	"PIGR"	"HJURP"	"MMP13"	0.0132430241400873	"PTPRQ"	"NDC80"	"ORC1"	"BIRC5"	"SOX11"	"PIGR"	"GATA3.AS1"	"LINC01705"	"NDC80"	"SLC26A9"	"AC023301.1"	"CDH18"	"ORC1"	"FAM72D"	"GP2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"TDO2"
"DEPDC1"	"EPYC"	"FABP4"	"S100A8"	0.0128280717901398	"FOXA1"	"NCAPG"	"AURKA"	"PLK1"	"BTNL9"	"PTGDS"	"GP2"	"MTCO1P40"	"SHCBP1"	"GDF10"	"H1.3"	"AC004947.1"	"ERCC6L"	"AC093809.1"	"HNRNPRP1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"OR2B6"
"GPD1"	"TPTE2P2"	"CHRDL1"	"H4C14"	0.0119793234332921	"MMP13"	"HLF"	"TPX2"	"SOX11"	"ITIH5"	"ZNF695"	"H4C14"	"CCL14"	"H4C2"	"LINC00634"	"BTNL9"	"CENPE"	"AC112777.1"	"AC011352.1"	"BTNL9"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"WIF1"
"KIF2C"	"GDF10"	"CAVIN2"	"TFF1"	0.011212693733964	"AC093642.2"	"SCARA5"	"BIRC5"	"BTNL9"	"CEP55"	"MMP13"	"SPDEF"	"TCEAL2"	"FOSB"	"PRR11"	"ADH1C"	"PIGR"	"IL33"	"FAM111B"	"E2F2"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"LRRN4CL"
