"mrmr"	"da"	"newDa"	"newDaScores"	"rf"	"MI"	"limma"	"daLFC"	"daRedMrmr"	"random.1"	"random.2"	"random.3"	"random.4"	"random.5"	"random.6"	"random.7"	"random.8"	"random.9"	"random.10"	"top.random.1"	"top.random.2"	"top.random.3"	"top.random.4"	"top.random.5"	"top.random.6"	"top.random.7"	"top.random.8"	"top.random.9"	"top.random.10"	"relief"
"FOXA1.FOXA1"	"CAVIN2"	"ESR1"	"ESR1"	1	"CAVIN2"	"CAVIN2"	"TNMD"	"TUBB3"	"TUBB3"	"VSIG2"	"LINC01096"	"HNRNPRP1"	"AL031777.1"	"COL11A1"	"RRM2"	"WNK4"	"EDN3"	"PIGR"	"PPP2R2C"	"MTHFR"	"EGFR"	"TP53"	"EGFR"	"TP53"	"TNF"	"ESR1"	"TNF"	"AKT1"	"MTHFR"	"ANGPTL7"
"POLQ"	"HNRNPA1P57"	"TUBB3"	"FOXA1"	0.75	"COL11A1"	"GPIHBP1"	"PDK4"	"POLQ"	"ESR1"	"PRAME"	"RRM2"	"AC093642.2"	"CDC45"	"TMEM100"	"TMEM100"	"SLC22A31"	"CENPA"	"LINC01705"	"VSIG2"	"VEGFA"	"TNF"	"IL6"	"TP53"	"APOE"	"MTHFR"	"VEGFA"	"EGFR"	"VEGFA"	"APOE"	"EDN3"
"MELK"	"COL11A1"	"AR"	"TUBB3"	0.15699144620048	"GPIHBP1"	"KIF4A"	"E2F2"	"MELK"	"FOXA1"	"APOBEC3B"	"ITIH5"	"DPT"	"MMP1"	"MTND4P24"	"ACKR1"	"MEX3A"	"CYP21A2"	"TRHDE.AS1"	"ROS1"	"EGFR"	"AKT1"	"ESR1"	"IL6"	"ESR1"	"IL6"	"AKT1"	"APOE"	"APOE"	"EGFR"	"H1.12P"
"HJURP"	"AURKA"	"FOXA1"	"AR"	0.0428	"SCARA5"	"CLDN5"	"TFAP2B"	"ESR1"	"POLQ"	"MFAP4"	"HJURP"	"S100A8"	"RN7SL314P"	"RBP4"	"AC099850.4"	"MMP1"	"TTK"	"AC004947.1"	"FOXA2"	"APOE"	"TP53"	"EGFR"	"ESR1"	"TNF"	"TP53"	"TP53"	"TP53"	"TP53"	"TGFB1"	"PPP2R2C"
"ABCA8"	"CFD"	"ROS1"	"ROS1"	0.0442065935759258	"BTNL9"	"AURKA"	"ANLN"	"MYH11"	"ROS1"	"ALDH1L1"	"SH3GL3"	"GPIHBP1"	"AC005077.4"	"SH3GL3"	"RBP4"	"SCN2B"	"SH3GL3"	"MFAP4"	"ANGPTL7"	"TP53"	"IL6"	"TGFB1"	"VEGFA"	"IL6"	"APOE"	"TGFB1"	"AKT1"	"EGFR"	"AKT1"	"PRAME"
"CAVIN2"	"IBSP"	"POLQ"	"POLQ"	0.0330301663942251	"DEGS2"	"DEPDC1"	"GABRA3"	"MYBL2"	"MYH11"	"SLC19A3"	"UBE2C"	"SOWAHA"	"POTEKP"	"WNK4"	"CENPA"	"PCAT18"	"AC008663.1"	"AC027228.2"	"FOXA1"	"AKT1"	"ESR1"	"VEGFA"	"MTHFR"	"MTHFR"	"ESR1"	"APOE"	"IL6"	"ESR1"	"VEGFA"	"AC093895.2"
"ECRG4"	"HBA2"	"MYH11"	"MYH11"	0.0303217425018026	"KIF4A"	"ANLN"	"ATP1A2"	"COL11A1"	"AR"	"CFD"	"LINC02568"	"PRAME"	"VN1R53P"	"SYT9"	"LNCAROD"	"CKAP2L"	"H1.3"	"TNMD"	"RRM2"	"TGFB1"	"TGFB1"	"APOE"	"TGFB1"	"EGFR"	"EGFR"	"TNF"	"TGFB1"	"TGFB1"	"TNF"	"TRHDE.AS1"
"ITIH5"	"SCN2B"	"MELK"	"MELK"	0.0265578587455847	"CLDN5"	"CDCA5"	"VSIG2"	"HJURP"	"MELK"	"TDO2"	"MCM10"	"CDC45"	"ANGPTL7"	"FAM72D"	"PI16"	"ANLN"	"AC112777.1"	"VN1R53P"	"MCEMP1"	"TNF"	"MTHFR"	"MTHFR"	"AKT1"	"TGFB1"	"AKT1"	"MTHFR"	"MTHFR"	"TNF"	"TP53"	"ECRG4"
"ADAM33"	"SCARA5"	"COL11A1"	"MYBL2"	0.0232579270006351	"MELK"	"BTNL9"	"MARCO"	"AURKA"	"MYBL2"	"MYH11"	"H1.12P"	"DIAPH3"	"LINC00511"	"HNRNPA1P57"	"CDCA5"	"ANKRD1"	"NPY2R"	"NETO1"	"SCUBE2"	"ESR1"	"APOE"	"AKT1"	"TNF"	"AKT1"	"VEGFA"	"IL6"	"VEGFA"	"MTHFR"	"IL6"	"SCN2B"
"KIF4A"	"TUBB3"	"MYBL2"	"CCL18"	0.0234453504023586	"PGM5"	"MELK"	"DEPDC1"	"CAVIN2"	"COL11A1"	"CDC45"	"C6"	"PCAT18"	"CASP14"	"ABCA13"	"TDO2"	"TDO2"	"POLQ"	"ANKRD1"	"LCN6"	"IL6"	"VEGFA"	"TNF"	"APOE"	"VEGFA"	"TGFB1"	"EGFR"	"ESR1"	"IL6"	"ESR1"	"AL031777.1"
"CHRDL1"	"GPIHBP1"	"CCL18"	"COL11A1"	0.0197547528855424	"ANGPTL7"	"TTK"	"IBSP"	"KIF4A"	"AURKA"	"POLQ"	"BX842568.2"	"AC027228.2"	"CST4"	"F2RL2"	"SYT9"	"NAT1"	"VGF"	"SCN7A"	"NAT1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"MMP1"
"BTNL9"	"HNRNPUP1"	"AURKA"	"S100A9"	0.017552378744077	"IL33"	"CKAP2L"	"C6"	"ROS1"	"HJURP"	"NAT1"	"LINC01929"	"C1QTNF7"	"ASPM"	"CYP4F23P"	"ELOVL2.AS1"	"C7"	"HNRNPRP1"	"CKAP2L"	"CCL18"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"SRARP"
"THBS4"	"ANLN"	"S100A9"	"AURKA"	0.0172	"CST4"	"KIF2C"	"ROS1"	"ABCA8"	"ABCA8"	"LINC00993"	"PLAC9"	"FAM83D"	"BIRC5"	"AURKA"	"C1QTNF7"	"SOX11"	"OGN"	"CST4"	"MSLN"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"MYH11"
"SCARA5"	"CST4"	"ABCA8"	"CDH2"	0.0156624332296017	"CKAP2L"	"HJURP"	"POLQ"	"RRM2"	"CAVIN2"	"KIF2C"	"ESR1"	"MMP13"	"AC004947.1"	"AC008663.1"	"MFAP4"	"FABP4"	"NXPH4"	"CCL18"	"SLC22A31"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"C14orf180"
"TSPAN7"	"ANGPTL7"	"RBP4"	"MMP1"	0.0144911055116148	"CHRDL1"	"ABCA8"	"F7"	"MMP13"	"ADAM33"	"AC099850.4"	"MMP13"	"GTSE1"	"C6"	"SCGB3A2"	"TNNT3"	"MAPT.AS1"	"CYP4F8"	"GP2"	"PI16"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"CHRDL1"
"TTK"	"CYP21A2"	"MMP1"	"HJURP"	0.0132887631918495	"LINC02568"	"UBE2C"	"COL11A1"	"UBE2C"	"CDH2"	"AC023301.1"	"BTNL9"	"ANLN"	"PGLYRP2"	"PEBP4"	"KLK11"	"TTK"	"TNMD"	"MAPT.AS1"	"MAPT.AS1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AC055854.1"
"DEPDC1"	"CLDN5"	"CDH2"	"SOX11"	0.0130349761738517	"ANLN"	"IL33"	"MCM10"	"AR"	"MMP13"	"CST4"	"F2RL2"	"PEBP4"	"NAT1"	"GPIHBP1"	"HNRNPA3P5"	"MFAP4"	"GPD1"	"VGF"	"NEIL3"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"F7"
"CD300LG"	"H4C14"	"CFD"	"ABCA8"	0.0127058823529412	"CFD"	"GTSE1"	"ASPM"	"CDH2"	"RRM2"	"MAPT.AS1"	"PGLYRP2"	"SEC14L4"	"CYP4B1"	"CDC25A"	"STK19B"	"PLAC9"	"GTSE1"	"ZPLD1"	"SUSD3"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"KIF18A"
"OGN"	"SKA1"	"ECRG4"	"ADAM33"	0.0127216364357882	"SCN2B"	"CENPE"	"PRR11"	"ADAM33"	"KIF4A"	"ANGPTL7"	"ANKRD30A"	"TPTE2P2"	"CLSPN"	"MFAP4"	"MYH11"	"SLC44A5"	"MFAP4"	"AR"	"LNCAROD"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"AC112721.2"
